GSM1437844	GSM1437861	GSM1437885	GSM1437907	GSM1437921	GSM1437927	GSM1437936	GSM1437942	GSM1437959	GSM1437960	GSM1437968	GSM1437986	GSM1437991	GSM1437992	GSM1438013	GSM1438026	GSM1438031	GSM1438045	GSM1438048	GSM1438051	GSM1438056	GSM1438058	GSM1438061	GSM1438074	GSM1438078	GSM1438096	GSM1438107	GSM1438108	GSM1438121	GSM1437811	GSM1437814	GSM1437826	GSM1437827	GSM1437830	GSM1437834	GSM1437835	GSM1437846	GSM1437847	GSM1437848	GSM1437849	GSM1437858	GSM1437859	GSM1437865	GSM1437871	GSM1437873	GSM1437877	GSM1437882	GSM1437883	GSM1437890	GSM1437892	GSM1437904	GSM1437905	GSM1437911	GSM1437912	GSM1437913	GSM1437914	GSM1437917	GSM1437922	GSM1437923	GSM1437925	GSM1437928	GSM1437934	GSM1437954	GSM1437955	GSM1437957	GSM1437964	GSM1437966	GSM1437974	GSM1437975	GSM1437982	GSM1437989	GSM1437993	GSM1437998	GSM1437999	GSM1438000	GSM1438003	GSM1438005	GSM1438015	GSM1438016	GSM1438019	GSM1438040	GSM1438043	GSM1438044	GSM1438063	GSM1438068	GSM1438070	GSM1438079	GSM1438080	GSM1438085	GSM1438086	GSM1438089	GSM1438094	GSM1438102	GSM1438104	GSM1438106	GSM1438114	GSM1438118
ACBD3	-0.289300775108511	-0.258892361718473	-1.37830507414368	-0.0128648587149387	-1.00345071449752	-0.669804613664577	-0.0770486160587067	-0.302492585513314	0.573087599384437	-2.26626086929051	-1.38457507297909	-0.892529362065506	-0.878659144817215	-0.860903591070234	-1.47559453559956	-1.76331497869792	0.919930194154878	0.958849141972763	0.42259568590292	1.07909897741736	-2.1710497469108	-0.614221874154432	-0.963193714704693	-0.741522298744771	-0.750122618097452	0.825346234745877	-1.91402319091387	-1.55560812306627	0.358902739256736	-1.40619436365836	-1.26087100473685	-0.369895650577167	0.771045833488566	0.642763818620417	1.22532463407439	0.591694647750443	1.05539788006506	-0.0615757876038676	2.1156565038617	-0.750145874535627	-0.647408321470393	-0.646671874359349	-0.190612837676419	0.247265365515071	-1.13415621844191	-0.747361664301167	0.520234642128094	1.86031954541543	1.2190035270189	0.62075518375204	0.898073206297916	-0.365370767469254	1.05967005355604	0.600274875110217	0.895018209325245	-0.513329823705324	1.48948795034026	-0.12855719677289	1.00807724337389	0.377612043018414	0.775489177531909	0.275724972864798	0.148531024335908	-0.495976249482287	0.556952892852757	0.422200664028389	0.803348622713976	1.61547729706866	-1.66024759844942	-1.26365724617079	-0.406072267450541	-0.0564373660174181	2.07120371313373	1.72191960857519	0.475056514805931	0.4997484887505	0.482866075169099	2.07159481125547	1.15245237629345	-0.976433506222989	-0.312467844947253	-0.310985042210282	0.304105023984437	0.232591796601416	-0.814034160127587	1.86611800079126	-0.571725262045786	-0.725155219325871	-0.058250884299945	1.31208436293836	-0.315671549549458	-1.05005816168708	-0.103256025775427	-0.170327265687478	-0.146485228255279	-0.254036194839068	-0.219093718793608
GRWD1	0.30792967531949	-0.899479483457721	-1.46270262773792	-0.906509075012516	-2.09040958743497	-0.0261134177975764	-0.357144861184941	0.187777985510983	-2.08755472913209	-2.30509397732237	-1.17146202439783	-1.31817589743217	-1.99697049638945	-0.0296003394066752	-1.22704910068971	-1.18642667517402	0.89114666495291	1.34278637485972	0.500124723182714	0.528001433702681	-0.11619646391756	-2.03847051071394	-1.83281467836928	-0.366419968618048	-1.81384882333671	0.0430110442266782	-0.967003827436069	-0.60948811856471	0.237810949364595	-0.902968872417458	-1.46202315901751	-1.32180403823503	1.61397472009538	-0.207560681134871	1.89048431743575	0.72245794094632	-0.0808351409526647	0.667723595513949	1.42874543362952	1.12643043628771	-0.544948247931897	-0.373156470039588	-0.907191941910882	-0.236244485102141	-1.34315185086961	-0.117030537129756	-0.29440752982834	0.322963195856176	1.59213961764494	-0.904561598215	0.962087480521474	1.05513218623178	0.68725221649734	0.321071746383388	0.485449300364346	-0.429155130937804	1.84508222364417	0.0250689885676345	-0.755825286476705	0.306171013130322	1.34664167994271	2.2721220879313	0.615235353838428	0.689373680446845	1.28586684078906	-0.0278037402726194	0.891546625464962	-0.346223376065977	0.455980460606808	-0.956686682529729	-1.31651448407777	0.738163432213682	2.45487008421945	2.0359869303633	0.944266766485561	-0.329544319972082	0.592604094254039	1.04846224186424	1.39147825751237	-0.0443504437220159	0.0946187075255977	0.475299317566447	0.598793978719262	0.223712482035549	-0.0137249580935413	0.600350742466259	-1.38557414377629	0.517461765344491	0.630080936471809	-0.817935625092809	-0.444726677420838	0.0569720598227903	0.885622627459498	0.947616053408176	0.575752273592427	-0.340359950819252	0.367782258147766
PLEC	-0.451333712944491	0.836755748951088	-1.53532740340501	-0.393264032858699	1.36859013313961	0.242380841356614	-0.410135265726814	0.630486365111437	1.67572308137808	3.07737294143324	2.65462328828085	0.693283518648874	0.62091574730812	1.11107174867588	1.06632636176584	0.0785270382088465	0.0434905393989525	1.25252811970444	0.876912153567107	0.204655910922124	-1.32601201605066	0.264786419796683	-0.733417576047459	1.10242886323945	0.460275233056602	-0.264489698155584	0.621302703546055	0.85985597239178	0.603867825263581	1.31868004656386	-0.673719752459079	0.690278859221423	1.50167195923253	0.0362251314370454	0.885375612494283	0.988397093274455	0.0745233386673518	-0.30628534186114	0.0807662069909588	-0.188832955465211	-0.392362760864494	-1.08473706577843	0.646688126372253	1.00582708339526	-1.52769204466759	-0.789104227888775	0.309010041009769	0.574421010792344	-1.23881080312876	0.312140611608559	-0.234077513190149	-0.341563201917755	-0.466891153549968	-0.235667841366228	0.0467604413391528	1.14682229659352	-0.409942700691215	-0.998190155449816	-0.639873117493587	1.7091368931134	-0.0243760384583523	-0.986608957153065	-0.0482592823659933	-0.700109219507293	-0.329069968311272	0.526363880802064	-0.391247428526691	-0.929927163646137	-0.693557661557568	0.0841976661846269	-1.64816823735971	-2.29589574478893	-0.342594764444627	-1.06857554962506	0.504704457187997	-0.511552903798659	-0.335463473807488	-1.00298904493207	-1.54906788511186	-0.296579361629537	-1.32953638426637	0.218460490677824	0.204913074222304	0.928228062961938	-0.879150681295157	0.418782509294288	0.843185395996786	-0.346671748323577	-0.22326292290908	-0.369329069684843	0.186491973009032	-0.0358894215224386	-1.46332727104099	-1.40255943966233	-0.322182061802116	1.8228383264788	-0.147679578548787
CSTF1	-1.02918775129135	-1.57327311617123	-2.98524232252388	-0.636955659756324	-1.58180955567198	-1.35593403044772	-0.144965990766242	-0.116588745496311	-0.509357232009178	-1.07353198059168	-0.204280974701981	-0.144062198960255	0.361742864224339	-0.748629432779111	-1.04925822455701	-1.92104521436268	1.37466741860605	1.52152710367101	0.530814670964342	0.129015230876968	-2.64095724978908	-0.375900224266781	-0.279966261181248	-0.468090656108691	-1.49936772215766	0.921352542677512	-1.05507463345409	0.00915568382324145	0.754400622072455	-0.638384397067151	-1.29598941919438	1.08900310368034	-0.225158601935947	0.47017632697851	1.38088911161905	0.791846619830961	0.834813731303692	-0.330184002875996	1.18550018307474	0.671513859114555	0.960112268742343	0.596290092998886	1.2631655661367	1.22244176945978	1.47830640733587	0.378493737031813	0.461475003037515	1.20237087306594	-0.787799412434951	0.599937281166305	1.63450394209682	-0.0286181017566841	0.61149148182861	1.04674711032673	0.0515974573429352	-0.770767222395403	0.300346089127043	-0.255411869819172	0.564003553499709	0.00819338191991552	1.55804953715885	1.4168404380836	-0.175313760839782	1.37194067510145	1.42578238289187	-0.253984603692691	-0.660224496199768	0.895576908098477	-0.0162653657005047	0.550722006430723	-2.72535683681502	-0.497506613553758	-0.913656628467342	0.754303463965358	0.0387401299196891	-1.12860296119626	-0.160712742271188	0.957999450282089	0.894297512995039	-0.14608759693012	-1.64936442452128	0.650328943181005	0.684562880481382	0.62951848846094	-1.96249890569641	-0.326581464665956	0.279315000826667	0.0985009050023661	-0.00907547170726009	-0.867171986753518	-1.69129853916375	-1.03974644689662	-1.93036096334786	-0.0188251642912186	1.30803942005851	-0.229111163826307	1.46192928788787
MRPL49	0.0303152600111365	-0.867455483849178	-2.39397825902477	-0.31255728970671	-1.92302182928868	-1.79678224271002	-0.541197122669154	0.763755745210088	-3.13329093773223	-2.34895935141265	-2.18474290764811	-0.479673510076632	-0.555372062305232	-0.851010145727203	-1.20056430927757	-0.507763998402154	1.11831063016794	0.238685586612815	0.285110705549262	0.243927781443814	-0.843274351462319	-2.33372506435542	0.304940229789198	-0.195594829060511	-1.00029450794658	1.52615139683834	-0.16925631141146	-1.59363369048281	0.603857032380841	-1.60594564152508	-0.913603180832991	-0.781098281489241	0.463461826779999	-0.230681258947159	1.87442192283373	1.47585087348268	0.998657797488289	0.239113586385419	0.652497723425758	1.07843255335698	-0.454754309842428	-0.0404022202928339	-0.0817161149709524	-0.246279786036639	-0.626617912217767	0.390539007726497	0.814955871174183	1.72701860164551	-0.426052448282631	0.0382681829191363	1.04508723580415	1.96516483124648	0.0257662832091512	-0.334612639181552	1.41301470363993	0.632611764572476	0.213401881028618	-0.671380402928095	1.18761093710757	0.350630567576307	0.964644374171362	-0.216376553236429	0.760622432024222	-1.53304096525705	2.79155186365842	0.529714356905731	0.885970573538024	1.75436097279818	0.75336841581048	0.0428417109644698	-1.24202183516087	-0.348787714056311	-0.701132593027345	0.948881300336901	1.46141738428376	0.914622919672258	0.41994515712855	1.0291120411169	1.05686735646654	0.0854347698426945	-0.50167426533519	0.646271458796053	-0.836161355526184	0.0249133294168475	-0.02574849701275	0.162232043766048	0.763445851927061	-0.377042339546704	0.724921119391758	-0.859287024267205	1.40037921360264	-1.24058118559612	0.391199685995733	0.611297853061602	0.49913657599473	-0.0876852516589193	0.149651412802456
PCDHGA12	-1.29480861103806	0.3292657215061	-0.245658954922456	-1.84689167339357	-0.279108218509855	-0.676818069416663	0.221119114861267	-0.521871861911588	-0.727844731360735	-1.00358302350039	-1.72511251430485	-0.855651441273632	-1.08485895009106	-0.658935416016022	-0.147278278599136	0.727068905335137	0.333676127789495	-0.874654620034598	-1.49220298413955	-0.547985782830478	-0.999054472516571	1.06266327070115	-0.280620952426696	-1.3526637589857	1.59649549179068	0.945265807710252	-0.802110416071932	-0.878075822527179	-1.89535752553541	-1.33204149415311	-0.608026422979501	2.08684297595808	1.16165899244557	1.43286025530535	-0.503675469362795	-0.284103621444415	-0.612276833516906	-0.824239363400607	1.4682885074001	0.0793801741352795	1.7700523493262	1.36909314043293	0.464522897410128	0.254708013777012	0.521421372862699	-1.75299821658073	0.670194534837236	2.60554489852953	-0.265548611512018	0.168098569991037	-0.293326793480484	-0.0906109167258942	-1.68261152427528	0.369851551085417	1.65369190495313	2.14379430506736	0.401244490000198	1.73633933194153	0.594880006758327	-0.944768168003419	1.37029969899139	0.0076520309638637	0.499828783058008	0.310632210271638	1.61449511249992	-0.868387140450871	0.168209934855644	-0.777022007161245	-0.835287113199457	-0.361438137033252	0.114447604073626	0.250071463484587	0.205829659712491	1.72745009162967	-0.303538740120566	1.21902758358481	-2.90046020417577	0.640230313561114	0.38597532256671	-0.124462567638669	-0.661148320654797	0.99214288450778	0.345335946623522	0.379217879778686	0.438834538704496	-0.635073475583716	-0.22087800773501	0.992616085840428	-1.01355707393258	-1.30482873886681	0.0642991246338043	-0.641482007610377	-1.06313723737498	0.474502043505801	0.982587252972569	0.0614080395371653	0.974006399116189
MRPL51	-1.25001132034512	0.941535477603859	-1.51796197586909	0.705895816045418	-0.960411981695967	-0.710755049791596	-0.747980258395604	0.341552116062611	-1.49636362227686	-3.75361122390163	-2.68460147946364	-1.3789382086015	0.468332756072785	0.24335753902596	-1.07807998416271	-1.41573380192936	1.27088067525925	0.458850294112192	-0.89761794008255	-0.512791361721571	1.02216780015656	-1.36006816886409	-2.69905000119938	0.503577157727661	0.878855296477996	2.47573811656078	-1.1950229943295	-0.346290654470376	-0.246006591544806	-0.138244316446889	-0.0219335490405974	0.25740389966678	1.21152505866534	0.744483408956701	1.44455805854909	1.07282582374747	0.749962697798909	1.38451280010055	1.00864802126978	0.219252644899408	0.670128789874912	0.504408633558488	1.63694646039359	0.0495987408916762	-0.0410274062037536	-0.777308706934348	-0.0469821771054074	-0.580397369121061	-0.53011063009328	1.27915717057445	1.05029719496493	0.0232080233776586	-0.588484978396452	-1.3666925384496	1.55144880487299	0.177608683891343	0.435480891965974	-0.648891475157161	-0.362218399184209	0.420670120926717	-0.385627625047648	-0.883663729624115	0.0523906522747929	-0.715823435234489	0.654389120413631	0.636715193909416	-0.333733943733916	1.6343819707005	-0.891876297701601	-0.013361029358422	-2.1435983519042	0.356637313690323	0.244018309185592	1.40132702099246	-0.133811307406918	-0.0639378821345424	0.769962736803836	0.88261403031918	1.02068867245622	0.439512183219868	1.03374229723226	1.25162345232447	0.456385444325748	-0.876026844896875	-0.755969800412297	-0.837205640125257	-0.0663200435424477	-0.830472471654751	0.382753114139566	0.689181246281665	1.26432778287111	-0.0404103260990316	0.151269772327329	0.234350443445129	0.962835442994451	0.22185819491716	0.557844238162533
RUVBL2	0.344962048470831	-2.50429979795225	-3.68767505449712	-1.99305726033267	0.577129054590979	-0.695180830822269	-0.194880018943871	-1.85952747364073	-1.24382067868331	-1.09782746516182	-1.21409813241088	-0.319671317137878	-0.633208848217719	0.0297010669983446	-2.17726042785114	-0.69175294804461	0.981264058725828	-0.157539871776161	0.769941919552405	-0.567391298741606	-1.55645263194165	-2.0531124386016	-1.82445102218657	0.442017255472473	0.178280175954057	-0.48645216056671	-0.634827262238598	-0.635208991015847	0.808850036406816	-0.00893529754766771	-1.14817848049845	-1.09236637542029	0.731996956932485	0.0650897919778189	1.92080585193443	0.803766713686379	0.101695908720459	0.867427685725444	1.60455801552581	0.443969150692618	0.0470989798264465	-1.44716635607065	0.426502111913154	0.611923075584411	-1.81882170619351	0.0811933746100598	0.230912883320613	0.662949566717383	0.464624631557535	0.959182214067685	0.91801151582229	-0.480870557053205	1.53220196762921	0.238541856029837	0.903522815641788	0.831834518557912	1.13388147779488	-0.315293808738842	-1.36780955445541	-0.210205216836384	0.434313941652797	2.83250490443826	1.19719776173074	1.01229400686846	0.468614255753639	0.146265121008143	-0.308940271044279	0.369016576449839	1.0836092039783	-1.67673614364323	-2.57856101019987	-0.210844846600454	0.23051784564541	0.932770345160024	1.86845648720304	0.549037421677267	1.25285291854296	1.67813271240266	0.602778842195039	-0.760316169909645	-0.710355391790336	0.995923479389427	-0.700918904102234	-1.92638785579694	0.587443473772559	0.3851694464084	0.145361213042747	-1.87756167201017	-0.550063182538154	-0.0923212010292201	0.993564398473738	1.00335952574979	1.23645026789595	-0.0340455623452638	0.677125162230851	0.896487873156776	0.223404742004026
C1orf123	0.64736815493347	0.00359572721981287	-1.93851555417898	1.2254603077597	-0.345301867760051	-0.181779884950093	-1.43246398580778	0.583175576816017	-0.705941152873862	-1.21144030846475	0.237960988814249	-1.54593497177642	-0.480905470487907	-0.281659327041957	-0.71426839018777	-1.81156723994757	-0.696757179470849	1.21924471178894	-0.156235404861709	0.155733950485825	-2.36182225160376	-2.44674444514092	-0.739627385579926	-0.0300209733490291	-1.85763707841229	0.0416751050544164	-1.17616249726147	-1.07698725617903	0.356076791099572	0.147757345761912	-0.494108520012515	-0.132663326245383	1.02901184481751	1.1354275473676	1.27045941053279	-0.551744389865823	1.7923427480489	1.28466348452878	2.10808997989709	1.52231366560852	-0.721272599934431	-1.02368221701366	0.44731803415949	-0.881464553357065	0.239306555111208	-1.35529716062978	1.05721795379907	-0.85622670982463	-0.128352431552025	-0.402620878180525	1.7706828443368	0.209065270037697	0.446944202862388	-0.197143050531731	0.65294427223081	0.678594639924505	1.756615627052	0.315978342334967	0.575420051347779	0.721276196965055	-1.32514504030022	0.30492375221314	0.577893462068905	0.2987751581414	1.69821220750044	0.351053825133275	-0.40212529510472	-0.443938224361984	0.865307463626392	-0.813717788375489	-1.54166495707819	0.404760633609051	-0.81767048128715	0.63384204653403	-0.194809288731459	0.252224124954056	-0.881807278583073	0.7877899877244	0.728864608695981	1.04571121074501	-0.167671070160495	-1.05131616608028	-1.35822446742978	-1.46130682320183	-0.732677516100505	0.885619376079388	0.390947991180759	0.594672207978216	0.962965715994906	1.49115547414111	1.1083413351955	0.139921864057047	-0.823907114796037	-0.0880981010560471	0.422325314744022	0.511200696178488	0.590212207585367
WDR3	1.06550286360116	-3.7479931490376	-2.41196947687668	0.0454820220761996	-2.54730748501144	-0.610036763928833	-0.187916569881202	-1.55400741846096	-1.83756179672077	-0.631066040958439	-1.57715056037022	-0.198586060694395	-0.0271430467197258	-1.25033704767119	-1.71284237998016	-1.71635273072395	-0.381610463356523	1.6139116575676	-0.638340388276764	0.224912288464581	-0.634475702128057	-0.0867078382349519	-0.766558697554132	-1.33404661922889	0.262752698977037	0.654291493142204	-0.737211362561173	-1.06324532956813	1.29032120530395	-0.893232426280124	-1.92938384716228	0.104817036398057	1.6654424119177	1.31323633103633	1.19583378617426	1.70099200060234	-0.0259939526580519	1.49751043281148	0.778152473491602	1.6004065121143	0.814577396898675	-0.00253549477699209	-0.708211142941892	0.459590000533944	-0.844605146862668	-0.298787874221132	0.661357268631692	1.20906283913469	0.449444072743295	0.120634121982419	0.583620404620588	0.759895663214973	-0.0123094764595012	0.19077075356965	0.0540767486922565	0.653406936272097	1.34609922763559	1.16468757561198	0.503622844470817	-0.572344213114705	1.56832529118956	-0.281485418776761	0.238585073229275	0.274019061209099	1.90452124321446	1.00773265984328	0.668402966972381	1.37227956494961	0.0551777320012323	-0.304570974669783	-3.47626769711685	0.521922637078183	-0.753385509002431	0.59871370537725	0.582748134467195	0.0825091955684508	-0.149649409482267	0.892699015586121	0.2043867336137	0.0519068058419364	0.377846607174806	-1.07355867379649	0.219520559240941	-1.93004917120943	-1.45695539282103	-0.420017638523146	0.239607484655654	-0.763048582331502	0.497445649071584	0.845259959214335	-0.923405481756155	0.399117083093063	-0.211080730673473	0.0905675119034321	0.91889236185003	0.382654534469162	0.887101727267894
