"Var1","Freq"
"ACADVL",3
"FADS2",3
"FASTKD5",3
"GLYR1",3
"LINC01268",3
"MFSD4A",3
"PLA2G4C",3
"PLEC",3
"PRKAG1",3
"STX19",3
"VNN1",3
"ANKRD54",2
"CXCL14",2
"FNBP1L",2
"GOLGA7",2
"LOC101928461",2
"MIR601",2
"PKHD1L1",2
"SGSH",2
"SLC12A4",2
"UTP25",2
"VAMP2",2
"ZNF284",2
"ZNF500",2
"ADAMTS9-AS2",1
"ANGPT1",1
"ASRGL1",1
"ATP8A2",1
"BLID",1
"CASC20",1
"CCND2",1
"CDK2AP2",1
"DRG2",1
"GUCY1B1",1
"LINC02035",1
"LINC02081",1
"LOC101927699",1
"MAP3K9",1
"MCM2",1
"MIR3117",1
"MIR3151",1
"MIRLET7E",1
"MMRN1",1
"MYCT1",1
"NANOG",1
"NDUFS5",1
"OR51A7",1
"PCDHGA12",1
"PLD4",1
"RAB26",1
"RPA4",1
"RRP1B",1
"SIPA1L2",1
"SKOR2",1
"SYT15",1
"TCEA1",1
"THBS3",1
"WIF1",1
