bio,logFC
TTK,-1.849783073
UBE2C,-1.811568015
TOP2A,-1.799691877
ZHX1-C8orf76,-1.782063104
ZBBX,1.777174669
TTC25,1.750983164
WDR66,1.748379538
TPX2,-1.725915908
VNN1,1.701836368
VNN2,1.695753063
ZWINT,-1.676126934
VWA3B,1.668452575
TOMM40,-1.631934579
WDR49,1.629660736
TPPP3,1.629522881
VNN3,1.627939008
TSGA10,1.615412736
TNNT1,-1.605583155
