GSM3395860	GSM3395861	GSM3395862	GSM3395863	GSM3395864	GSM3395865	GSM3395866	GSM3395867	GSM3395868	GSM3395869	GSM3395870	GSM3395871	GSM3395872	GSM3395873
Lable	1	1	1	1	0	0	0	0	0	0	0	0	0	0
TNNT1	0.0496256702980842	1.49199357831289	-0.421811462290412	-0.533398753666778	1.64315234994717	-0.141099826612642	-1.01858851933425	-1.82163055645036	-0.695071976989306	-0.540330294309635	1.03090812273708	0.981555316174364	-0.477253609952414	0.451949962136197
TOMM40	-0.0781944744651222	-0.117299630313524	-0.764503011820724	-1.65166848096102	1.34651562401938	-0.181674336034228	0.930748503159774	0.302416078137556	1.34071977287457	-1.33182734448825	0.682187964704945	-1.22255330892291	-0.353681816788743	1.09881446089832
TOP2A	-1.33506764081493	-0.834698154743986	-0.72167894998024	0.718833728559185	-0.125154154539565	1.12123221894693	-1.45245236540937	-0.481158977251428	1.88361488307077	1.27715951990543	0.454515892687651	-0.0332084625093457	0.194834188801269	-0.666771726722372
TPPP3	0.0196517428360521	0.258689724229481	3.0587941467541	0.0459418128401236	-1.06677574711664	-0.782092379061141	-0.278907249729906	0.582387568806578	-0.6050877844564	-0.117824782248324	-0.620002977408399	-0.0130506436356579	-0.754233406320921	0.272509974511064
TPX2	-1.60319011176669	1.04645228719042	-1.24606127461535	0.218590955014694	-0.217133553058507	-0.750674840580344	-0.506565904511877	0.783495804714194	1.9190313816276	0.777983939413481	0.0888096114341232	-0.760780646974284	-0.695728054896396	0.945770407008955
TSGA10	0.159053786802416	1.0571484876691	2.55804696607547	0.816563200818808	-0.220408254482883	-1.2068547274483	-0.43983282793467	0.55865821723343	-0.910299646392347	-0.604413714053509	-0.609863152090761	0.258341143972288	-0.727679250171974	-0.688460229997064
TTC25	0.0735173034667607	1.01019861410274	1.54047742463466	-0.586810616422512	1.00533485137213	-0.673934189799016	0.10104829737996	0.759586046942203	-0.554622738703642	-1.27251894965111	1.48519672811343	-0.549050445485231	-1.30397639305752	-1.03444593289287
TTK	-0.469744710033547	-1.4245113840946	-0.260401701405202	-0.822482008580773	1.39218156439926	1.13719047516958	-0.691829404177659	0.028633061875735	0.730833954240566	2.1279630112635	0.0554868211907137	-0.552875577941772	-0.891775795700093	-0.358668306205696
UBE2C	-1.6644522074448	-0.44232708237249	-1.44988000527075	0.117950259887741	0.510348058506046	0.845524696602278	-0.830592757110338	0.195037352699031	1.38915928582452	1.18255141216986	0.202784954817618	-1.15450049055281	-0.125030302830758	1.22342682507487
VNN1	-0.752905159696443	0.490698602490558	-0.949467064495843	0.8303620506224	-0.623911386786281	-0.702913105079512	-0.88573985975833	-1.30290456621606	0.259638412759933	0.243993702466329	1.26706515445591	0.0284208968576281	2.33386262112588	-0.23620029874617
VNN2	-1.43306354226543	1.59366639795713	-0.868851377254698	1.54220406830509	0.207762777218385	-0.417418557820759	-0.0322913763789537	-0.718100710814989	-1.03752713087392	1.59291467413512	-0.427682404809359	0.00782486641492765	-0.613934524031851	0.604496840219302
VNN3	-0.17191096735616	0.737082581124265	0.951049942335777	1.15324008355822	0.745046249642797	-1.5299175980912	0.165621291400682	-1.1702328267253	0.288772786125836	1.55544661859696	-0.0707680328468022	-0.0905716242353267	-1.50497237885486	-1.05788612467489
VWA3B	0.395446359501784	1.5204728151899	-0.42929519786219	1.54053343969146	1.76484650258603	-0.83962408017575	-0.952555976882261	-1.42563229834876	-0.0972263138651012	0.266178375151618	-0.685661587502332	0.0843605059628813	-0.622642874357255	-0.519199669090026
WDR49	0.148253753183684	1.493710054591	-0.42162964346667	0.664717423513305	2.14324164241703	-0.562553049540558	-0.166653918531275	-0.935713074743293	-0.137660736459108	-0.478121305427442	0.460637019329037	0.298206415377864	-0.694568927272576	-1.81186565297099
WDR66	1.22371986119919	0.84967748135413	0.579472541495624	0.363972715181239	-1.31409248885028	-0.71065022816405	0.697426028075913	0.293850228041141	-1.75342390330938	-0.336521372815534	-0.790119583300267	1.44178096742014	0.584294984204093	-1.12938723053197
ZBBX	0.23093723785408	0.404158161423061	-1.66379460465473	1.25302993000919	1.46975318715028	0.105679547001179	0.50800113733957	-1.2276242725909	-1.3896332109936	-1.01495452372984	0.62516416124578	0.668777402512237	0.610562372847296	-0.580056525413592
ZHX1-C8orf76	-0.767510907255448	1.50622696663933	-1.82847364119601	-0.543612877794074	1.69647376073228	-0.531432702742494	-0.401037965791477	0.502260505749896	0.549111557933307	-0.900392018860673	0.32759217841909	1.07740803591278	-0.739389061794254	0.0527761700477354
ZWINT	-1.71185917865137	0.206603829986088	-1.23908332058659	-0.518645326116916	0.834272390735723	0.420081764719302	-1.17262512344482	-0.0755364795601264	1.48968969411198	1.7931766897703	0.214472632335766	0.245572120856429	-0.636874288665783	0.150754594510027
