GSM371112	GSM371113	GSM371141	GSM371142	GSM371143	GSM371144	GSM371145	GSM371146	GSM371642	GSM371643	GSM371645	GSM371647	GSM371648	GSM371649	GSM371651	GSM371653	GSM371654	GSM371655	GSM371656	GSM372253	GSM372255	GSM372258	GSM372259	GSM372260	GSM372261	GSM372262	GSM372263	GSM372264
Lable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
TNNT1	1.08614896486791	0.0803280959278419	0.334792082324457	1.28832186587436	0.473514923310119	0.0359644415775774	1.51533518326654	-0.241529641962058	1.33274764873891	0.386526435612538	0.632649015691253	-1.90807411546302	0.0717136657005072	0.818182493015686	-0.0519233692558267	-1.21608726083072	0.92868335319287	-0.125638765847848	-0.343357284907084	0.18071449286875	0.782456700881068	-0.926077853222886	-0.941645724225377	-0.470928541942914	-0.66601099241876	-2.13765496994613	-1.92526025137932	1.00610940855155
TOMM40	1.6129178989727	0.519363148868296	1.10590289454729	0.0471816137138629	-0.479189311409297	-1.00479818731302	-0.35134800787895	-0.0198296898875363	0.0217978161969523	-0.351258391619339	1.74066359162279	0.658395018214545	0.880821903204759	-0.402432069675032	-0.636449078691511	0.946605526422221	-0.237787828529057	1.82574185518843	-0.832046799302659	0.828984192140276	0.954081817160162	-1.26174125534305	-1.30294041810656	-1.04190574187706	-1.51103387948637	-1.31361882749822	-1.08463811574258	0.688560326107951
TOP2A	0.981780101193294	-0.477197525996835	0.619089054347613	0.770118526684465	-0.387681070322612	0.228975244150982	0.0272815839092106	0.663676398034817	0.15699527251443	-0.355114032552123	1.6729441342967	0.80208106078564	0.44753615378091	-0.000783249566264322	0.393304712998533	-0.184722480479413	0.723099566554558	0.527508180976752	-0.138293038583806	0.737824234174349	1.39049793002137	-0.84030089814487	-2.10095682623579	-1.0255783994692	-2.22198763735871	-1.3558246701258	-1.83190951361154	0.77763718802334
TPPP3	-0.681095585413101	-0.282555102883376	0.0676642023120091	0.436480165936469	1.30842517564662	-0.34734890719927	-0.618770573554769	-0.19876533514031	-0.831409697415042	-0.489056339727894	0.775984063995022	0.402262146767567	2.0807397877906	-0.0431054788768224	1.16979367439314	-1.68627305485987	-0.50785388294563	-0.381690879806697	0.893796930772752	2.70773870694156	-1.25244353484799	0.0241333548650249	-0.172403332708463	-0.0597367330621155	-0.357241999021957	-1.86706644365782	-0.128975877439435	0.0387745491397964
TPX2	0.910481842620964	0.0504663222421203	0.488065800598934	1.63266318656631	-0.444360125106851	-0.209866585076416	-0.207407877881601	1.07467259823777	0.0630880371935853	-0.403328867276484	1.20718381129762	0.372400029197083	0.759391216662738	-0.161137786953699	0.181585666763213	0.294672049884859	-0.0755059408272964	0.804948003006671	-0.545598985335016	0.184705941288718	1.90255844304481	-0.843324307600561	-0.828460216613323	-0.223733868472023	-0.577944331176939	-2.46565154744421	-2.59954861472803	-0.341013894112937
TSGA10	1.0658518848668	0.22044335880017	-1.06204855281698	-0.295457500434554	0.678248506271455	-1.1837616709194	0.22859805232072	-1.58933761042752	-0.293501630515031	-0.572264406072398	-0.546357390474348	-0.928459027585443	-0.558703020845689	1.34411304604996	0.626328420334267	-2.43595382149425	0.0840984497336738	-0.979911432189482	1.0213228290293	-0.529652466638209	1.27218982560209	0.47824404647585	-0.276958653869695	0.138435899717421	0.350311170423137	0.942652002456162	0.703678823013995	2.097850869188
TTC25	0.256572422078626	-1.66392974654098	-0.0396167655700319	0.335610884858912	1.27640358567114	0.282071742472837	-1.77379509112272	1.21844217093796	-0.438468004937737	-1.24967300179293	0.67127529343488	-0.239243764984829	0.453973090940849	1.14849397840971	1.73278811108685	-2.11616761794946	-0.0539061636654665	-1.87278944338929	-0.0367714626942641	0.546940173532817	-0.491191386271674	-0.117318706359202	0.138464791052993	0.407603531045779	-0.150195682375951	-0.120284623609414	0.522580953886912	1.37213073185369
TTK	0.660257738110014	-0.189704568543909	0.260473052967778	0.528555042214831	-0.326798796707862	0.549839407892797	0.339264845361117	0.179624010391423	0.546776399561267	-0.625130085612139	1.06819558721321	1.18557087585224	0.551237206758268	0.0739134551686075	0.723193151846275	0.950344632397226	0.343214229029833	0.484313605607347	-0.335983763411805	0.421724870966327	1.27777789056583	-1.38832574063137	-2.06239572912251	-0.972623520457119	-1.90047639953805	-1.52806227334699	-1.98394454291949	1.16916941838684
UBE2C	0.187338995232793	0.0267854900902966	1.07092323551359	1.39789792231194	-0.342912050779122	-0.314329644054275	0.165325540516509	0.957674566689459	-0.550905835436978	-0.7670357704071	1.05336675710812	0.476276778651636	0.928003842918959	0.740587804632199	-0.18761741054716	0.492260343093657	0.0934888830780012	1.36408961037705	-0.75768366686185	0.6304242456173	1.8265866487539	-1.39347399838991	-1.34528461668572	-0.928166850624933	-1.3194784283017	-1.67080140549037	-1.86092661686721	0.027585629860925
