"x"
"MFSD4A"
"KIR3DL1"
"PRPF38A"
"ANKRD54"
"NAE1"
"MIR4762"
"ABHD14B"
"ZNF836"
"VAMP2"
"RSL1D1"
"PLRG1"
"ACBD3"
"PDGFD"
"ASRGL1"
"TRBJ2-6"
"BCAS2"
"XPA"
"CSTF1"
"LCMT2"
"NAP1L3"
"CLIC3"
"MRPS31"
"SRP72"
"GPR18"
"RBBP7"
"PLD4"
"BRCC3"
"AES"
"FAM86EP"
"ZNF184"
"TARS"
