GSM359972	GSM359973	GSM359974	GSM359975	GSM359976	GSM359977	GSM359978	GSM359979	GSM359980	GSM359981	GSM359982	GSM359983	GSM359984	GSM360039	GSM360040	GSM360041	GSM360042	GSM360043	GSM360044	GSM360045	GSM360046	GSM360047	GSM360048	GSM360049
Lable	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ALDH1A1	0.33455839168298	0.383831085867284	1.23720240129763	0.616100848376498	0.616104159509568	0.0913897170194906	1.20079611269062	0.895052148078501	1.27198592087286	0.913182978347874	0.468362141205484	1.26471173131901	-1.68160268399997	-0.453746547276904	-2.33350514303836	-0.877242494672992	-0.991473017395588	-1.38687227175149	-0.133564026759363	-0.917498885315308	-0.245700530344821	-0.802904337758477	0.450282764810641	0.0805495372348223
ALDH1A2	1.07033143146141	1.06363028414251	1.07020690185174	1.09239522130047	0.904430460057074	1.04673984200606	0.837437917906135	0.869806277477766	0.992002139485293	0.718840155394434	0.85714374140358	0.691390522300059	-1.58762716638908	-0.667475689466852	-0.983297249540629	-0.652021845895231	-1.26267433956453	-0.938485970916851	-1.10313991402957	-0.155912375185567	-0.837946212515951	-1.44066942863995	-1.10157680520064	-0.483527897441664
CENPF	-0.602611545418573	-0.760778793607277	-0.790062620788584	-1.31696239940627	-0.449155664403671	-0.892323062924419	-1.19598134176632	-1.66740938827031	-0.732703542787815	-0.260186867557665	-0.603313419828948	-1.52647178951764	0.830513192131868	1.19595069407687	0.983762857053711	1.38358809348347	1.40401245167021	0.746639610517328	0.525431258754151	0.553459085079209	0.986707204230413	0.714404190458985	0.232068416081314	1.24142338273996
CRABP2	-0.897840157448412	-2.57972007883388	0.165635098058459	-0.772648679401921	-0.138264980190891	-0.949146506191144	-0.964601288799788	-0.918108248391827	-1.07032145081562	-0.214778794647073	-1.10183639873815	0.150485158236465	0.580612684109245	0.948429779858539	0.788075582865439	-0.403369769687723	1.03709945480259	1.18208773969253	0.816103833750658	1.44332693578684	1.28042533838239	0.595542071128804	0.3830182675354	0.639794408939057
HBB	0.112728692580898	1.23077164344257	0.40323920071871	0.926605299514046	1.30181530348495	0.177747523196818	0.527230466128906	1.38767638339901	0.733645491449437	0.747421943482358	1.33514399741131	1.43778042263386	-0.214434047434514	-0.687022639260744	-0.126381224836479	-1.64124385125274	-0.772154621116571	-1.27640193326093	-0.668877392813231	-1.35035111771479	-0.533439182452167	-1.45368033341546	-1.09597749348895	-0.501842530396307
KRT7	-0.232228357616482	0.039732552512758	-0.769990725452765	0.278275388954452	-1.08100497525633	0.942841030068063	-2.28703948274205	0.731186862862092	-1.18531328597038	0.750056340409444	-0.131718689484074	0.620356900819635	0.880925641866871	-0.963037823520369	-1.57896497657175	-0.894534583944164	0.936185200751294	0.553417635436187	-0.992586444111043	0.303504571099647	1.52218776409099	0.990425195451982	1.17006713491329	0.397257125432703
LAMA2	-1.00204766807825	1.41017294762408	-1.3008430910878	-0.317189272980684	-0.0512018384473624	1.22042114737401	1.24064373179902	1.75632831749014	0.845522897571252	0.911333549616246	0.970298244893206	-1.13794887852594	-0.0121685761245688	-0.703855313624555	-0.373389674992487	-0.963151239940299	-1.25436908403385	-1.76707865399454	-0.0452069013506013	0.394300108694516	-0.0243860751081748	0.23645055292115	0.943768253915193	-0.976403483609717
LOC101928635	1.07033143146141	1.06363028414251	1.07020690185174	1.09239522130047	0.904430460057074	1.04673984200606	0.837437917906135	0.869806277477766	0.992002139485293	0.718840155394434	0.85714374140358	0.691390522300059	-1.58762716638908	-0.667475689466852	-0.983297249540629	-0.652021845895231	-1.26267433956453	-0.938485970916851	-1.10313991402957	-0.155912375185567	-0.837946212515951	-1.44066942863995	-1.10157680520064	-0.483527897441664
RUNX1T1	0.88045657389768	1.01133124252246	0.918921449228235	0.74656892367425	1.28326023766817	0.722462903938975	1.21962776156071	0.518575075780843	1.06770532875432	0.104738039535406	0.36583258307637	-0.340310095430443	-2.67711926298963	-0.849265815793801	-1.15496129749391	-1.67846449098659	-0.0925327326183268	-1.20960501235197	-0.143664659635225	0.221881618020451	0.218887390111135	-0.757308768147983	-0.505539684607707	0.12852269228659
SESN1	0.074358563442502	0.83327410281161	0.798239182198837	0.608588458171092	0.603140029210046	0.303082596343135	0.674215269755849	0.49109518011655	0.83882854119474	1.26196275149625	0.497173346300225	1.58709922844171	0.0451712158602244	-0.0824184227557625	-0.656811535805937	-0.849964009163396	-0.371447949900638	-2.63070709552268	0.0236250343644668	0.233983850377026	-0.211885297865664	-0.451623032331009	-1.85945391541656	-1.75952609132263
TSPAN8	-0.0161910144865676	0.509900108452233	1.40476157825283	0.706875445761957	1.06969984318559	0.335967263282643	1.22952488698666	0.757248237918767	1.12218941534838	1.18844478138545	0.402792051565935	-0.089218092817892	-1.40633802268673	-2.01598083538184	-0.947032865354869	-0.86964984976457	0.120363623304181	0.182997809937228	0.621429943679635	0.12542344042142	-0.765878523808799	-0.597706232229618	-1.1590538229622	-1.91056916998982
VGLL1	-0.648221777092031	0.360394185337597	0.397944184009609	0.342201625197751	-1.53811361770694	-0.642870238030307	-1.96969029435338	0.90227991509691	-1.37138143859808	-0.399485341625915	-0.179760133450129	0.87222140533652	0.169542015079941	0.933448046834518	-0.772806940985658	-0.843675396669317	-1.20662471835183	0.697513997683111	1.55889148019528	-0.864840167812292	1.17747134535316	0.758604856961991	1.07379921775042	1.19315778983908
