GSM997591	GSM997592	GSM997593	GSM997594	GSM997595	GSM997596	GSM997597	GSM997598	GSM997636	GSM997637	GSM997638	GSM997639	GSM997640	GSM997641	GSM997642	GSM997643	GSM997644	GSM997645	GSM997646	GSM997647	GSM997648	GSM997649	GSM997650	GSM997651	GSM997652	GSM997653	GSM997654	GSM997655	GSM997656	GSM997657	GSM997658	GSM997659	GSM997660	GSM997661	GSM997662	GSM997663	GSM997664	GSM997665	GSM997666	GSM997667
Lable	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH1A1	-0.110220984388506	-0.215418863264178	0.388627890970085	1.38635197460352	1.30526134052544	3.16877226256	0.215626979128841	2.57655551952018	-0.539691111618531	-0.194213189533899	-0.915415602485141	-0.719606068783525	0.192764377361728	-0.877727387572567	0.372781428580247	-1.04198994616852	-0.0472366860862507	-0.653189297992073	-0.39761917811204	0.198005556033905	-0.961314081237133	1.13431063265346	-0.718121434909032	-0.986960773005888	-0.0654500764815624	-0.972742155438398	0.691636540893128	-0.339988279393319	-0.494577798653104	-0.875946958415671	1.46781664409847	-0.195016369195304	1.78270488515983	0.23749051673947	-0.621512612701278	-0.579283641258352	-0.641601490480949	-0.704138514943009	-0.60128332698925	-0.648440719720818
ALDH1A2	0.505747777054288	0.550331201569911	-0.477631158322257	0.715793893909678	1.02234845559016	4.30307710116736	0.0681824912300872	1.41867350880801	-0.53918447066271	-0.327039727323262	-0.293694520439525	-0.312786564313651	-0.684861512421115	-0.275246954692638	-0.531259085433405	-0.0320956567762205	-0.820460259213366	-0.622194525442483	0.609280532401775	-0.563204715268361	-0.645923038309031	0.46763959186297	-0.622805771090985	-0.893995987490361	-0.13519067427763	-0.471635250505259	-0.431931193776812	-0.268018087044619	-0.438542705972985	1.2017458507059	-0.196605545751479	2.55957315779686	-0.507503093612609	-1.09104176939863	-0.419850801155122	-0.135407557135562	-0.408454274425162	-0.301504986787062	-0.628100453897569	-0.346223221157127
CENPF	-1.81932084915641	-1.81357983406513	-0.7202054653014	-2.2301236149704	-1.65211905764471	-1.17912937022018	-1.60157715420599	-1.72079683625839	0.276525835115223	0.421840193829242	1.08505079116968	-0.877397681015219	0.901453930130898	0.883020741544828	0.21588823053129	1.33253076626166	-0.383778345502605	0.926110782295082	0.635281345927459	0.0978955330736788	1.14709763865134	0.589795227896389	-0.194528027848251	0.943605069379165	0.968790073880143	-0.800336838239792	0.713635574912174	0.43584420607319	-0.000457443645247418	-0.831158700976912	-0.60077227950887	0.429080002099486	1.30159454473863	0.973940429566712	0.0696816886808099	0.390362784168985	0.102171818099295	0.0911649306973637	1.05411311222797	0.438806247608826
CRABP2	-1.3444726058395	-0.39137194843208	-0.800577576981038	-1.37381632969159	-1.65502678495895	-0.907484795848566	-1.24320871750118	-1.07202034819171	0.246589870527531	0.427354561979174	0.54731755583219	-0.907778879386349	0.202912028234631	-0.621531911263675	0.865370422137372	1.60246117885347	1.30418651197302	0.530685826141826	0.617501277513982	1.11246739550556	0.215766112678965	-1.40065364593582	2.02556681079872	1.50218194133951	0.428969997408377	-2.01539465342267	0.572040674302874	1.00065788380819	-0.688345147547591	-1.00282990334458	-0.384046055087298	-0.316823158020315	1.38507208074943	-0.126386036946481	0.567650756061229	-0.288694737385067	0.531012189895429	1.09657460130459	-0.0273328395564459	-0.214543601705163
HBB	2.09815562022341	2.66577710863059	0.559537094427879	3.0285170028628	0.726847442867364	1.56089250459382	1.6811369852926	1.00983469022279	-0.548159809549667	-0.576204312959989	-0.559302814643982	-0.463881309612003	-0.58656056031826	-0.462460486527459	-0.504887359574655	-0.362249411360838	-0.594008034122437	-0.6747548478508	-0.275260417359847	-0.390957312266286	-0.620652738401607	-0.531350316259428	-0.152688591122737	-0.599522120952274	-0.622573808596823	-0.704315962650388	-0.529539599523517	-0.430338176366378	-0.780064388960226	-0.562406558493232	0.876023680993398	-0.515302266532285	-0.617213944364132	-0.292610450151004	-0.620187197946744	-0.648700588558696	-0.701342474373052	1.30941687295162	-0.444926246541197	-0.143716897126337
KRT7	-1.25722331677059	-1.55518897371305	-1.84278579444676	-1.98024888487895	-1.57541519314614	-2.02557679241924	-2.01718330522193	-1.7681485807465	0.717585154744773	0.188239343498872	1.23607824309662	-0.0184602646664838	0.73895721452441	0.529282134686263	0.952242613130483	0.037777319616185	0.912979866068122	0.389160240221664	0.665998998858279	1.18131679081211	0.979961022016741	-0.0706071180166418	0.7855974830156	0.526821855749202	0.425951745482648	-0.349261388871182	0.500259410176946	0.782392701817184	0.774696461631416	0.397536474169203	0.164122226699517	-0.873301509746712	0.717553990150648	1.03861442374885	0.295546242082146	-0.0466955151386305	0.234907226914813	-0.263723640042817	0.857292670620252	-0.387051575707307
LAMA2	2.11167741565632	-0.109412346633251	1.28831874603483	1.71612409708648	2.18818775239827	1.77222684391356	0.975964263821096	1.67364619773084	-0.652946190584647	0.393531791330636	-0.735098903177645	-0.915756735352957	0.0917610907839558	-0.354369405044927	1.1042296052302	-0.901477670608146	-0.893791633804875	-1.07106494792308	-0.565259807510407	-0.651984289851535	-0.74721964643669	0.773959258682847	-0.801950815076126	-0.199017048642021	-0.784964797570492	-0.487196685455672	0.679639829912019	-0.643238233903106	-0.437256398779319	-0.526009228794496	1.61764884784926	-0.478118369181291	-0.322253963223426	0.618775906045736	-1.27999354930611	-0.755403648360051	-0.708455784198255	-0.675110742854709	-0.526148466194247	-0.782192338008564
LOC101928635	0.505747777054288	0.550331201569911	-0.477631158322257	0.715793893909678	1.02234845559016	4.30307710116736	0.0681824912300872	1.41867350880801	-0.53918447066271	-0.327039727323262	-0.293694520439525	-0.312786564313651	-0.684861512421115	-0.275246954692638	-0.531259085433405	-0.0320956567762205	-0.820460259213366	-0.622194525442483	0.609280532401775	-0.563204715268361	-0.645923038309031	0.46763959186297	-0.622805771090985	-0.893995987490361	-0.13519067427763	-0.471635250505259	-0.431931193776812	-0.268018087044619	-0.438542705972985	1.2017458507059	-0.196605545751479	2.55957315779686	-0.507503093612609	-1.09104176939863	-0.419850801155122	-0.135407557135562	-0.408454274425162	-0.301504986787062	-0.628100453897569	-0.346223221157127
RUNX1T1	0.443260407267181	-0.246732315226757	0.185345999750498	2.75346886757118	2.10577322420064	2.41245858217954	-0.127115700291838	1.29956068706651	-0.677514305568974	1.07422093751014	-0.574008046550053	-1.04697655034966	0.205591055984411	-0.949208350202317	-0.539900646545388	-0.993113051389366	-0.647360070114382	0.709388225401627	-0.472653058118559	0.619826962408697	-0.89642786437999	-0.630345809279503	0.520402874816558	0.946837764524555	0.15779447735354	-0.905025806880419	-1.07651567078912	-0.728068586385713	-0.745321454183682	-0.862687860619719	1.56965363749839	-0.674071538244593	-0.864759776882288	0.153392590275843	-0.853553953433318	0.571127696033249	-0.759554777723179	-0.606823337830683	-0.413223672652188	0.562858213799139
SESN1	2.47566772829618	-0.727745849200587	-1.6627092825669	-1.18692683812838	0.752809619650475	-0.951998222719953	0.521671374057103	2.29831238181442	-0.797771861071337	0.95050671957909	0.513854395805899	-0.494950087768969	-0.287419281996882	0.646383762718878	0.628889558922208	-0.640414613696523	-0.466906615517153	-0.150268818161314	0.228271923736109	0.0321771693439935	-0.416702569789859	0.826069916152145	-1.72755131305773	-1.44707510134976	-0.0220859434020217	0.059104520465885	0.29372999645069	0.825664405764922	-0.0919515304055244	2.06360318436004	1.2731120660433	-0.479356468666917	0.37993427409615	0.281024210731575	-0.275748930222144	-1.28085654740529	-0.436030401746873	-0.684361697414816	0.519541438772552	-1.3414966724727
TSPAN8	2.13910824794278	-0.0571094034521478	1.92620285164224	0.25838430204887	0.997901710959706	-0.57516449733225	0.974240190622297	1.9639279749184	-0.936467560662919	1.25465685314403	-1.00543456637422	0.0241164385457068	-0.432763416586771	-0.759948077225084	0.918125759420618	-0.340416854488231	-0.621528066722164	-0.705148603822779	-0.953995645881286	-1.04029438531679	-0.607983848444195	2.51135193495786	-0.638072165851125	-0.779626196738401	-0.570794438465684	0.243535839363512	1.50553878420362	-0.943586176294403	0.742064380915382	-0.595348790022286	-0.792883782620069	0.470370793749319	-0.386205520395402	0.00965727765625008	-0.579356558034227	-0.873076981084253	0.560541969195669	-0.520395248659203	-1.02751194674518	-0.756612578067192
