GSM1900772	GSM1900777	GSM1900789	GSM1900798	GSM1900817	GSM1900826	GSM1900834	GSM1900849	GSM1900856	GSM1900863	GSM1900890	GSM1900895	GSM1900905	GSM1900912	GSM1900922	GSM1900944	GSM1900950
Lable	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0
ACADVL	-0.240349155342446	-2.4815272532325	-0.255519643721698	-0.483809337814997	0.0994959403672507	0.297261565600917	0.439994936438123	-1.41402183560763	0.968084868122784	1.61277831221211	-0.215762501762278	-0.494402523666027	0.479490518253074	0.619503663587792	-0.898905287088676	0.925869060805348	1.04181867284884
ANKRD54	0.77928097719437	-0.813133821866938	-0.355325802175986	-0.828360604367343	-0.203639555670228	-1.57732796860595	1.96913771390126	0.15107045750758	-0.0983738474816718	1.57562055365645	0.669679865655009	0.601476569038617	-0.743238660528282	0.904373225096994	-0.347130832427505	-1.64140734496181	-0.0427009239645701
CXCL14	0.0635909027323911	0.838317409446255	1.72551119239999	-0.351796476874418	-0.817979516409342	-1.44248187557424	0.669987266326804	2.29551017923325	-0.47989794041576	-1.12782068292951	-0.171663449270451	-0.607752223130204	-0.911352073771123	0.774668346519297	0.279132583789899	-0.515306593869305	-0.220667048203536
FADS2	-0.255563929096872	1.12132370259782	1.01097387221298	-0.730168091080337	-0.564264239858274	-0.901487737228039	1.23781143389839	-0.390681994941638	-1.80532373481795	1.07486821723568	1.10252487665594	-0.666755150051026	-0.682677587132404	-0.454720761162356	-0.542673270754727	-0.329591828180435	1.77640622170324
FASTKD5	0.742353026294339	-1.81467556406942	-0.276187633036715	-1.65273894236138	0.748330673437665	0.746098058239554	-0.270462055351243	-0.286522480808611	-0.900023531295554	-1.61910567469954	1.01350774309698	0.692983422478079	-0.321308065992055	0.488483072315766	1.38516615373711	0.662699077613402	0.661402720401598
FNBP1L	-0.579920019174629	0.0671959989244747	2.25740616361746	-1.1429305909913	-0.110703932782675	0.168128267622648	0.588626833238531	0.513522446987689	-1.35637611008434	-0.582256281571362	-0.748675561868792	-1.42801193498543	0.273675729521734	0.545441811144296	0.161721462154304	-0.42842128584039	1.80157700408778
GLYR1	0.601642154555026	-0.840254566420811	0.569572870201001	0.875484280071076	1.11028414056694	-0.540030795158616	0.0505196135170395	-3.3039660901759	-0.531643938228353	0.0127948241065895	0.188854552539169	0.490620734271298	-0.223836648822319	0.57230422207484	0.0551468449268378	0.311668986207596	0.600838815768605
GOLGA7	-0.189531343897054	0.815925714507195	-1.3418753405676	0.46582189459738	0.813181563146928	-0.181548358121714	0.267245123435764	-2.9395202625189	1.04882932450278	-0.223658608086641	0.481039461231625	0.156880345091663	0.126594892806464	-1.06591350104626	0.180031003840154	0.90533515519102	0.681162935887218
MFSD4A	1.44723706181091	0.420744363992798	-0.264113550266227	0.257471621132273	-1.34278812327038	-0.31596841280562	0.66703160300873	2.31143805470843	-0.565058617364224	-0.271821705508567	-0.200392800262865	0.370010687670472	0.456061729830438	-0.0478647586492405	-0.181519498942221	-0.553753323008789	-2.18671433207592
PKHD1L1	-0.936624540258204	0.628740778360449	0.397249740647648	0.958614433992354	0.569333473299348	-0.337572264656527	0.261093691764837	2.37417375935722	-0.12895990728879	-0.128788209875319	-0.950145711569075	-1.44450548930657	-0.328386453035809	-0.780122347879034	-1.35801291727036	-0.172571050310524	1.37648301402835
PLA2G4C	0.321137635159524	0.468486121552437	1.0900635629885	-0.711281480271676	-1.16743477325399	0.165265665843615	-0.00588979009283295	1.67744910166451	0.000135430594111637	1.40415880725425	0.941294496108422	-0.644955067181249	-1.28602875116531	-1.79018786750702	0.169870306043394	-1.15812752178636	0.52604412404967
PLEC	1.02202217054332	-0.293304145091967	0.430804634675739	-0.193904275070619	0.841737473041156	0.730141687626223	-0.726543502286081	-2.60869552300177	-1.06480637846171	-0.592072476599226	1.27763086363699	0.47775574937749	0.588719622077736	-0.392008911127151	0.895702818876012	-1.01716015977379	0.623980351557654
PRKAG1	0.298502568527113	-0.883960588974028	-1.10906166087825	-1.14203722812985	1.04205878463879	-0.709232907952534	-0.300624945563737	-2.03660655335967	1.20334999264055	0.33993615465169	0.975625864250406	1.3697267183191	-0.359135164729329	-0.718172712710684	0.518999908639708	0.354389731206781	1.15624203942397
SGSH	1.56119857592517	-0.286748797289355	0.652630934787233	-0.454036664759302	0.0721809388217426	0.256080880573008	-0.00986792454898246	-2.90122474091326	-0.463840511876144	0.103187550536522	-0.4249752608058	0.50463952830917	1.13449780141113	0.560856032610114	1.03291905211717	-0.407701815885648	-0.929795579012782
SLC12A4	1.06327498696418	0.529384630001408	-0.140829237595182	-1.3145236339612	0.107083762453562	-2.09674356396166	-0.474295915249483	-0.260437757047389	0.843897236658494	0.729704166062632	0.5557849431761	0.343801363424274	-0.859001070544609	1.80435833430584	0.153583722345079	0.499131016678928	-1.484172983711
STX19	0.346422461084945	-0.4356883239975	0.966949480999427	0.46199162362426	-1.97822564154202	0.182708072046202	-0.34400276775162	1.79565907202993	0.218550663936926	0.43171614571848	0.137793146254087	-1.1982798452315	-1.15944750694145	0.00816873914784305	-1.04552785965693	1.76156909009743	-0.150356549818513
UTP25	-0.911556957321546	-1.59646656885601	0.0738696020895065	-0.783707565305403	-1.25444908702939	0.396101945637625	0.274103646344089	-0.143646277887003	0.725572754409587	0.401772076729636	0.343411950862394	-0.775202368667386	1.37588853422843	1.10263647202832	-1.61965981784408	1.49251830514762	0.898813355433584
