GSM1437809	GSM1437810	GSM1437831	GSM1437844	GSM1437845	GSM1437856	GSM1437857	GSM1437860	GSM1437861	GSM1437878	GSM1437879	GSM1437880	GSM1437885	GSM1437886	GSM1437887	GSM1437888	GSM1437893	GSM1437894	GSM1437897	GSM1437898	GSM1437907	GSM1437908	GSM1437909	GSM1437910	GSM1437921	GSM1437926	GSM1437927	GSM1437936	GSM1437937	GSM1437942	GSM1437943	GSM1437944	GSM1437945	GSM1437946	GSM1437951	GSM1437952	GSM1437959	GSM1437960	GSM1437967	GSM1437968	GSM1437977	GSM1437978	GSM1437979	GSM1437980	GSM1437985	GSM1437986	GSM1437991	GSM1437992	GSM1438013	GSM1438014	GSM1438021	GSM1438022	GSM1438025	GSM1438026	GSM1438027	GSM1438028	GSM1438031	GSM1438032	GSM1438041	GSM1438042	GSM1438045	GSM1438046	GSM1438047	GSM1438048	GSM1438049	GSM1438050	GSM1438051	GSM1438052	GSM1438053	GSM1438054	GSM1438055	GSM1438056	GSM1438057	GSM1438058	GSM1438059	GSM1438060	GSM1438061	GSM1438062	GSM1438071	GSM1438072	GSM1438073	GSM1438074	GSM1438077	GSM1438078	GSM1438081	GSM1438082	GSM1438095	GSM1438096	GSM1438107	GSM1438108	GSM1438119	GSM1438120	GSM1438121	GSM1438122	GSM1438123	GSM1438124	GSM1438125	GSM1438126	GSM1437801	GSM1437802	GSM1437803	GSM1437804	GSM1437805	GSM1437806	GSM1437807	GSM1437808	GSM1437811	GSM1437812	GSM1437813	GSM1437814	GSM1437815	GSM1437816	GSM1437817	GSM1437818	GSM1437819	GSM1437820	GSM1437821	GSM1437822	GSM1437823	GSM1437824	GSM1437825	GSM1437826	GSM1437827	GSM1437828	GSM1437829	GSM1437830	GSM1437832	GSM1437833	GSM1437834	GSM1437835	GSM1437836	GSM1437837	GSM1437838	GSM1437839	GSM1437840	GSM1437841	GSM1437842	GSM1437843	GSM1437846	GSM1437847	GSM1437848	GSM1437849	GSM1437850	GSM1437851	GSM1437852	GSM1437853	GSM1437854	GSM1437855	GSM1437858	GSM1437859	GSM1437862	GSM1437863	GSM1437864	GSM1437865	GSM1437866	GSM1437867	GSM1437868	GSM1437869	GSM1437870	GSM1437871	GSM1437872	GSM1437873	GSM1437874	GSM1437875	GSM1437876	GSM1437877	GSM1437881	GSM1437882	GSM1437883	GSM1437884	GSM1437889	GSM1437890	GSM1437891	GSM1437892	GSM1437895	GSM1437896	GSM1437899	GSM1437900	GSM1437901	GSM1437902	GSM1437903	GSM1437904	GSM1437905	GSM1437906	GSM1437911	GSM1437912	GSM1437913	GSM1437914	GSM1437915	GSM1437916	GSM1437917	GSM1437918	GSM1437919	GSM1437920	GSM1437922	GSM1437923	GSM1437924	GSM1437925	GSM1437928	GSM1437929	GSM1437930	GSM1437931	GSM1437932	GSM1437933	GSM1437934	GSM1437935	GSM1437938	GSM1437939	GSM1437940	GSM1437941	GSM1437947	GSM1437948	GSM1437949	GSM1437950	GSM1437953	GSM1437954	GSM1437955	GSM1437956	GSM1437957	GSM1437958	GSM1437961	GSM1437962	GSM1437963	GSM1437964	GSM1437965	GSM1437966	GSM1437969	GSM1437970	GSM1437971	GSM1437972	GSM1437973	GSM1437974	GSM1437975	GSM1437976	GSM1437981	GSM1437982	GSM1437983	GSM1437984	GSM1437987	GSM1437988	GSM1437989	GSM1437990	GSM1437993	GSM1437994	GSM1437995	GSM1437996	GSM1437997	GSM1437998	GSM1437999	GSM1438000	GSM1438001	GSM1438002	GSM1438003	GSM1438004	GSM1438005	GSM1438006	GSM1438007	GSM1438008	GSM1438009	GSM1438010	GSM1438011	GSM1438012	GSM1438015	GSM1438016	GSM1438017	GSM1438018	GSM1438019	GSM1438020	GSM1438023	GSM1438024	GSM1438029	GSM1438030	GSM1438033	GSM1438034	GSM1438035	GSM1438036	GSM1438037	GSM1438038	GSM1438039	GSM1438040	GSM1438043	GSM1438044	GSM1438063	GSM1438064	GSM1438065	GSM1438066	GSM1438067	GSM1438068	GSM1438069	GSM1438070	GSM1438075	GSM1438076	GSM1438079	GSM1438080	GSM1438083	GSM1438084	GSM1438085	GSM1438086	GSM1438087	GSM1438088	GSM1438089	GSM1438090	GSM1438091	GSM1438092	GSM1438093	GSM1438094	GSM1438097	GSM1438098	GSM1438099	GSM1438100	GSM1438101	GSM1438102	GSM1438103	GSM1438104	GSM1438105	GSM1438106	GSM1438109	GSM1438110	GSM1438111	GSM1438112	GSM1438113	GSM1438114	GSM1438115	GSM1438116	GSM1438117	GSM1438118
Lable	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADVL	0.520241221435998	1.159113830859	1.30176294225044	-0.639649783573266	0.280692701851601	0.0409198637556547	0.965602278446589	1.32869361505608	1.87607263205081	-0.351341815654995	0.0509461838402	0.316061121850302	2.484610582844	2.84512919189219	1.76653419427588	0.131781827036092	-0.884430632450922	-1.34805139110246	-0.32719414135147	0.860515252505276	1.09085293614188	1.21993596094519	0.737145992597686	1.58159483739261	1.41660899041245	1.65359672732084	1.06738639237794	0.347918618851092	1.06681562688228	-0.335822789947403	-0.0814404878232339	1.6006874629223	0.973688265587821	-1.88957650892623	1.26512492199759	1.61570198107741	0.513701110324282	1.48377674454543	0.31652913265302	0.767690903072326	1.72196075995155	2.07135573502326	0.333070727932016	-0.0828407127829466	-0.656016465022626	-0.350987015311208	-1.00589946966228	-0.534789014301653	0.0740420450681061	-0.883066009318392	0.334711068843723	1.64188621687654	-1.91136316267934	-1.11137189839872	-0.658120327994472	-0.479619880530606	-0.860212663897762	-0.763970662548762	-0.280542578356495	-0.36275001105045	-1.09113205207624	-0.305997788796257	1.02237309693546	0.184845337543676	-1.7856007745531	-0.300266290929129	-0.504570247572239	-0.427841486851796	1.64257543093832	2.2170984525994	0.370356771790622	-0.610563511293001	-2.36046832489623	-0.314844531831611	-0.863350760776179	0.017754866676595	-0.754521649906285	-0.733651839448239	1.61339563684714	1.17828719943704	-0.685939874101608	-0.560837453331592	-0.0669491337745646	1.43629492268832	0.968325562721988	0.501647442209939	0.187363807128521	1.55910655784843	0.176216047692994	-0.515996792181862	1.26270659593813	1.54504021827713	-2.370610420984	0.30649825120667	0.181302947511002	1.50770424470358	1.48935594002412	1.01946282823417	-0.925216771770815	-1.85985665197307	0.555124864018976	-1.12990989618128	-0.0177974021315919	-0.933088422760533	0.181957396753087	0.90598692024224	0.0488849202728423	0.601389194041807	0.800337528776524	0.0357090372721242	-2.25560288633458	0.225613226428315	0.341463591908702	0.721011426306446	-0.0978956876799742	0.122865354975149	-0.475673895396982	0.441569533896142	-0.800336493788806	1.42780721996846	-1.09893236224861	-0.877726174647131	-1.32414174561863	-1.57373418455108	-2.25892213220011	-1.97099282781128	0.338230507928109	2.18835751356216	0.0750821140700636	0.0657028504614775	-0.413466005711854	-0.584247980270866	0.362782667789569	1.18149821778453	0.145582427186719	-0.161505999111458	-0.722422450894788	-0.952036815307794	-0.075349046977848	0.0945690196061906	-0.0235694985906157	0.00622510826742417	-0.862317360455267	0.894882585620442	-0.938174588278231	-0.418962615151901	-0.480118480812289	0.826374810741559	0.983706288294471	1.52236807320326	-1.242491148544	0.92542664240754	1.17812342606412	-1.38140500999751	-0.604454789398471	-0.233421197191225	-1.15484466853525	0.413048604013903	0.455173515534295	1.2309441423263	0.369584731594834	0.0940421398026792	0.204944482986311	-0.572079588395956	-0.2009029212514	-0.693616053192544	-1.1738286851175	-0.172632842146233	0.642765452481114	0.469814426243553	0.0168493407082907	-0.377233854605067	0.916744482180946	-0.270711184175879	-0.51656415114865	0.0273438780945741	0.72735568947268	0.737121387843816	0.517657237343232	-0.404520751659643	0.389901319715201	0.815193507918819	-0.040920362468301	-0.109475179159437	0.96885540956996	0.671077450152243	-1.51093944687697	0.194245180610765	-1.77787046891459	-0.138328202256769	-2.05364257211314	0.339471187876352	1.31246912559776	0.344866521570094	-0.0103792662915338	0.341435246982915	0.0119898758927241	-0.128607122665894	-0.489182953133678	0.448328469902701	-0.118480869536975	-1.04725788810535	1.09371496266336	-0.0436605587668534	0.195121628774342	-0.486990267399347	0.499812280309481	0.722158559322073	-2.08370995003496	-1.40054789781607	-0.820562876598892	-0.445205153747891	-1.77222532798585	-1.51860456568469	-0.456844887395185	-1.17580396485322	2.09016421824662	1.53572237270966	-0.881226484041057	0.0228751358019198	-0.425218203270366	0.514815745180359	-0.541737931543688	-0.966383932169637	-0.0849117368585022	0.0522047108253029	0.0947585960411844	0.335425386779633	-1.69528743834814	-0.375631388849723	-0.0738164001763903	-0.569605870825923	1.61757709836984	0.176852155718163	-0.745865589424552	-1.51446015503204	0.860661352759778	0.723092275090142	-0.654519084328753	-0.121636326981675	-1.29177368768429	-0.699915420902853	-1.45291593030749	-1.5377020212648	0.651007314299306	0.255950366903461	-0.341583299424452	1.29376786785549	-0.848506181830267	-1.06301013667432	0.195084746428679	1.2450557381525	-0.587395909455321	-0.29501581708416	1.26231837867899	0.816611523979105	-1.21268946634554	-0.0420742546465425	0.568879170337912	1.19082927616957	-0.251001224240571	-0.0100553036300088	-0.406306611514635	-0.184213560359662	-1.04232115720475	-0.654471328786204	1.91937594760852	0.754953978863781	-0.924921200339468	-0.815170477312603	-1.52645769782533	-1.39708722751876	0.759761231751148	-0.868484481071291	0.567507892968364	1.57928021318594	-0.822870110751255	0.293536966247198	-0.424620990755831	0.35865226012476	-1.4430925846306	0.51517753660379	-1.02209355215651	-0.445740531027235	2.04617296065676	-0.51355787587401	-0.383677017384878	0.638284713951521	-0.443939107677859	-0.0376475002617029	-1.72639904271452	-0.756012711946111	-0.443274779530421	-0.480988276969	-1.06059168499455	0.258430083988637	0.14962191723535	1.43702582591224	-1.9370201375266	-0.222579805491803	-0.843559242045551	0.735371385044595	-0.00544728784113271	0.481254093439781	0.59358956483039	-0.378542653636788	0.104617051606348	-0.394362636587105	-1.60786984756285	-0.160724613994807	-0.495400077455529	-0.900042052721338	0.00318978166801622	-0.202135597951276	-1.01837484077878	0.593275523434684	-0.587772997566786	-1.06832262692523	0.660107845786409	1.40286015115146	1.93383820800282	2.89196290655147	-1.72047203670322	-0.339210290023626	-0.449056632496539	-1.41341949290649
ANKRD54	-2.60048418332964	0.840425056181674	-1.55937882284033	1.37380714599673	-0.783504946116224	-0.882620797095075	-0.373177085912322	0.779344713286083	-0.242380314490308	-0.294675816872525	1.36130535704441	-0.238135639860143	-1.49129996657087	-1.08576878173182	1.35326241529039	-0.584934414615598	-1.5896567060961	-0.973381798026976	-2.2110021678944	-0.0683738261499511	-0.442346812186318	-0.0462615867662119	1.02145684090258	-0.298441167371974	-0.515815289029804	-0.46949781818141	0.136533934234673	-0.172708863365116	-0.521251208870594	1.37672335159225	-1.30287738013612	0.244230901496222	-0.203418466657996	1.29933834259236	-0.391338243209906	-0.717165775701657	-1.4231109882527	0.324301780208611	0.440213817420677	1.52728070602389	2.1455304191901	1.89315066290901	-1.68892654754549	1.19369533891321	0.0988932806468546	-2.14472387129965	-1.26247772943876	0.678792463526395	-0.672849650849429	0.173528872511029	-0.042018602827683	-1.4099857995942	-1.4232616597082	-0.161991583119389	1.21642964008728	0.433769705735602	-0.272062889843908	0.887082081435358	-0.108700350617048	-0.257168640491854	1.08029793660269	0.4069703086667	-0.386314049941376	-1.09660077060464	-0.296291831539662	-2.25072716345472	0.0156891194610702	-1.02734522041984	-1.07332628336924	-1.21082537544766	-0.642403997262584	-1.52161967995665	0.183490527506261	-0.55540684725715	-0.171016803109271	0.0511948882915162	-0.372079465768563	0.354256252827345	-1.87012444144894	-0.131730190411297	-0.43352827355717	0.20023723474325	1.37742954250673	1.54838290353943	-1.2941411431806	-1.68747030358551	-1.13199106750029	-0.558842293521456	0.0394052209503321	-3.44340919721211	-0.48368683765115	-0.115766212180348	0.777549958882346	-0.703763321820287	-0.814538135977487	-0.353695785170632	-0.0692482305208534	0.412444934823667	-0.283413858094101	-1.57286920365757	-0.259992190659272	0.221149524825551	-1.08991704481364	0.852528792395467	1.27427237296504	2.02389742054263	-1.02714292384437	1.30939120826468	-0.224573001016774	0.220733525059193	0.001459743912315	-0.273187049154614	-0.369704048391643	-0.559671260534443	0.403730194609599	0.470199515901932	0.759051704371825	0.277950065807711	1.07399542216561	1.28306048903316	-0.500458792914504	1.51156329553707	0.223775458484773	0.316701938483927	0.687821861742695	-0.961131390434582	1.5788155561847	3.35867556896063	-0.379231928503526	0.0751837188082347	-0.462738170051762	0.434025210721196	0.219413723436088	0.403538758300651	-1.05999395615133	-0.313698502774822	0.846612855059886	0.862785622299705	-0.579039515863875	-2.62863897076229	2.37429597327604	-0.0333301986589301	0.130026729280564	1.3505958933196	0.964574006131653	1.99296187059143	-0.778321685745103	0.2945227681137	0.411652213693228	0.421615952180213	0.242172717716515	0.136590569800876	0.31470190581003	-0.443557961525574	-0.708498094363424	-0.758362465676005	0.118883244351648	-1.02507276503146	0.356273468659323	-0.0832780110023409	-0.837425339429647	-1.31336193021561	-0.774867403788299	0.479720551877342	-0.413203316057061	0.502835819023027	0.907419928862546	-0.0456477396662951	-0.184642974768418	-0.477966453626827	-1.22625294252938	-0.912777246918435	0.099673471743592	0.608097010533104	0.346958125282618	1.02442061042103	-0.186475181354405	-0.578124418752043	0.485944800657502	0.954884955401925	1.37121726021668	-0.225709669788174	-0.505917950741532	1.92124292148184	-0.158522330183905	0.316245919931293	0.908285484002853	-0.0616059683556831	-0.841089319150858	1.16268542670824	0.904972204959299	2.03859157893718	0.901765482221642	-0.755088317932848	-0.900527363858915	-0.270437941991736	0.509436187288954	-0.913171366594695	-1.33661009937966	0.159149428223034	-1.35735994198162	-0.0352400793241067	0.519829662054065	2.59109370660956	0.290662569430777	-1.11075895082823	-0.192449999332939	-0.309161196017657	1.21893791105959	1.01018978970452	0.331340696327617	0.254396640094952	-1.16853622754049	-0.9334238071836	0.778376075201038	1.29327716120994	-0.500053798714145	-0.123436177679616	0.41840107887188	1.43823355213105	0.331907743149004	-0.770222686813026	0.785320075461396	-0.134649079453631	1.22616151851869	-1.63580555021402	0.643145362259812	-0.658765474342449	-0.78318172086142	-0.940667446015434	-1.01466371779428	0.519687201465319	0.0868967570538759	0.661876672433251	1.25586533325243	-0.000293428670723549	0.69136888143555	1.61175499875715	-0.714886501111775	0.307414324849515	-2.75312407877112	0.132329149410282	-0.651466101194034	-0.170024912429817	0.589990042524169	-0.330808708462093	-0.899259033184422	-1.83038346567286	-1.44245103723689	0.488555291624517	1.29866054702871	-0.305363010549034	0.265443578647023	-1.35585237073105	0.660182197772657	-0.290987968225762	0.230399669256191	-0.0726087187208478	1.15866428874955	1.4909454007832	0.79709210729011	-0.412908601131808	1.39280744504059	0.912463241075364	0.509192245492644	0.499812651839029	-1.68563312975391	-1.84921062538641	1.64974318192013	0.252439119654417	-0.664010028767764	-0.664364038818267	2.70617027035427	1.52626297251769	0.100035922479339	-0.79453387896624	0.72533013898158	2.00189011988304	0.248804783712609	-1.42371159731254	0.573591374442919	-0.541741996178723	-0.943532088451769	-0.448846006817219	1.01689444356946	0.70035794078526	-1.1212401491145	0.356037554571108	-0.510801586738941	-0.218185662241884	0.257989560974491	-0.169210943959282	-0.0915795470660391	-1.09591059562693	-0.0912530346640932	-0.543567777075046	0.657994169711026	-1.0309529530157	-0.125052205531714	0.509863735380856	0.179048223772697	0.878084852074883	0.725531444152054	-0.581198219476382	-0.356039698192264	-0.61323222044939	0.368274151156996	0.733795290113668	0.569604260964631	2.02369490917485	-1.36218625954779	0.376760848124228	0.729921097836267	0.211595030834908	0.175898235314509	0.153786021190344	0.846720770069249	-1.28295929029928	0.174214094308852	1.44379150091235	1.41924734850507	0.806392756031231	-2.43332168042063	0.153084614267921	-0.321657872936533	1.18632426603877
CXCL14	2.09843691018972	1.00964527119353	0.529883473976443	-0.233530394114104	-1.04857346606664	1.64033111899824	1.36960176159308	1.25206019628828	2.02272431096919	-0.29486584754508	-0.19632205414362	1.48408852379052	2.989511020988	0.297037072147462	-0.871334005368388	1.12557572166905	0.14055864010012	-2.00764869226551	0.817905326852622	-0.497477305894524	-0.362393964657381	0.781431362787436	0.61371629879228	-0.750604017627224	1.6175097478142	0.272757905293217	0.841163037446568	-0.567171824964684	3.85297807254163	-0.581395452955346	0.826104429335507	0.280638113350873	-0.443515721272032	0.810744681765463	0.625636601968116	0.359307013585997	-0.865281804093804	-1.70922720278963	-0.591003327767626	0.701186832841223	2.17521667591701	0.10345836990431	-0.550169097676368	-0.821001283678299	0.769423975780016	-0.798963630219558	-0.172695615128276	-0.904852917846826	3.26163336794826	1.36833152281216	1.08532656225006	-0.715110393600832	3.50461281240276	0.116475066381936	-0.954347250679841	2.43875503264968	1.14066922029546	-1.36672842748571	1.17412813942455	-0.190360425763528	-1.41211057082505	-0.508629306641582	-1.54297578998657	0.051975134656445	-0.806906839862592	0.031409546842927	-0.463621615958338	0.0745947911407936	2.42032314635388	0.283842880944452	0.0877030312370595	-0.595661870871547	-0.212083760727985	-0.86491160763845	0.140432878504667	-0.257731054211472	-0.351207485908681	-0.869945343916626	1.05513962215416	-0.328645504828368	0.0254166472758384	0.322810557335926	1.11956906622597	0.0129030119402264	1.69209196982189	-0.677253840541414	-0.262923244688212	-1.25217798477724	-0.166462904185506	0.742777778032207	-0.128905970512953	1.6668786285049	-0.214490248619226	1.59139878122031	0.165105751520065	-0.806030815845494	1.85699020796348	0.342573958238892	0.426589618809723	-1.67358882363664	0.561497066828402	-1.83328795138523	0.756031817350917	0.111968343459728	-0.772278095262511	-0.010540817846771	-0.693639186427077	-0.329362962854876	1.0313450690407	-0.855871943881521	2.2538998065619	0.364604176598056	-1.25136231230668	-0.332466683221911	2.42001564803781	-0.247686657190651	0.013537883037206	-1.1858701326018	1.0051709422011	0.57317913774079	-0.0432285154231989	0.993252161147213	-0.844419368952276	-1.16421835136953	-0.208060026246217	-0.0406067861241092	0.363302579765964	-0.975466196420428	-0.744592412020576	-0.934396539905526	0.653379671750217	-0.194324358563817	1.52266541524282	-1.21423075551446	0.301508779770362	-0.508264152028461	0.0621658746481809	0.773816372397335	-0.031418934449139	0.693326473291359	-1.29105974590911	-0.825822437366434	0.0210888601580173	-0.661692145848778	0.462081804678282	0.217940026158396	0.490002029602957	0.289720637621828	1.1866163900647	0.715346341268871	-0.483956636582831	1.11244405907712	-0.181375408872594	1.40001482864525	-0.990466240685023	-0.566025064565304	-0.147809938165024	-0.722851808959391	-0.643231744494976	-0.690852820800328	-0.354446780475678	-0.406118421996068	-0.589257245239323	0.345349554530185	-1.213228695384	-0.32003221123873	0.854846812716122	0.750926167960668	0.0990187865706092	0.69331622362594	0.691785393188973	-0.471543169774549	0.136990497885092	0.313351962307109	-1.53737187857193	-1.39262073565531	-0.703130396383091	0.803756880336319	0.930180965786838	-1.46277225991235	0.650715016363398	-0.495054525064847	-0.315100196192807	-0.602919745020968	-0.090561752784449	0.768684224578448	0.390827552054768	-0.573820226681808	1.86942199152819	-0.458056266029047	-1.85387738223953	-0.569081647938151	0.3984762130884	-1.75783322238411	-0.0355958948380786	-0.504327240540152	-0.00470562982496269	-0.163474991603308	-1.09347809072166	-0.444711406315157	1.39367495699665	-0.8994361213602	0.612279333479559	-0.27576126965603	1.84963629362543	0.57076677033859	-1.64096492512208	-0.249556644500105	-0.654779174306185	-1.19868596338788	0.186582852368288	-0.989109888907951	-0.696483021603358	0.299168637801522	-0.430740538630521	-0.139160363227029	0.16709949476191	1.18564319543482	-0.160487348427642	-0.334514191550936	0.309845473400388	-0.0977057670536878	1.23869588154794	-0.282518812715719	-0.740881705298221	-0.616636314977538	-0.0582441793591907	-0.842347619914869	-0.898137975210403	-1.46993152848926	0.813139092646192	-0.106869657335137	-0.145441329932742	-0.20520972507526	0.975862361834042	0.18755093122085	1.1252383011205	1.17508447616145	0.552038407867898	-1.44548924406155	1.13565549133994	-1.26199849408098	0.0498916888676608	-0.00817015678225468	-2.56023077018548	-2.53334241561519	-1.56358408041344	0.390827552054768	-0.303641198945573	-1.10590086264582	0.557753716266078	-0.855956662825228	2.06038524093216	-1.02209052461687	-0.258931483010143	-0.541611746372912	-0.870228862861281	-0.223921542722165	-0.110996591295236	-1.52295084823626	0.115068173276727	-0.492897959753894	0.0634475698311734	-1.17123911213245	-0.264379202737828	-0.885385385880913	0.684503961380685	0.89610627729886	1.21652509456925	0.0151615370792998	-0.430740538630521	-0.676900302216735	-0.78604430299769	0.506690070927546	-0.469621708062775	-1.0248628118237	-0.0573019366823952	-1.00857769211186	-1.20688571039212	1.55459731395046	0.240792875528327	0.422697427384278	1.76336017754939	0.0917274061100468	-1.23121392386741	0.910355109067927	1.05832821041845	-0.544754375528208	-0.299106745107692	0.0193271301705183	-1.88613567235931	-0.138807178333189	-1.34755312731913	-0.848301792431004	0.301571417230747	-0.274109528948003	-0.210268228188357	-0.820907184530421	1.43528656409599	0.470895492685274	-1.03953347222616	-0.593080892013151	0.113680586564115	-0.549474641671569	0.413138407841153	-0.228729593807164	-2.00778066772181	-1.17140698599667	1.07035036170676	-1.48745437219961	1.1455697095111	-0.079751480900671	0.418909591095384	-1.08138813631753	-0.99130915438689	0.483435522734272	1.09677284640784	-1.09196723945947	0.913547477076622	-0.000775357322211109	-1.10380105201896	1.04857893122733	0.278157928618247	1.18357253840106	0.0843194875506691	0.239835882844013
