"p","outcome"
2.22044604925031e-16,0
2.22044604925031e-16,0
1,1
1,1
1,1
1,1
1,1
1.06146742790559e-06,0
9.63259068216166e-14,0
1.23539818816345e-12,0
2.22044604925031e-16,0
5.29720635666458e-07,0
2.22044604925031e-16,0
1.98179128400528e-11,0
