"p","outcome"
0.135373086152376,1
0.999998910135329,1
0.999999685141842,1
2.59835570850842e-06,1
0.00189599931475098,1
0.677160533542836,1
0.0807893395718497,1
0.0190002504484169,1
0.155394110344361,1
0.999571702929474,1
0.999996040350462,1
0.99999692760596,1
0.999509766152041,1
0.932463565186704,1
0.000542997326699969,1
0.999970324591715,1
0.228312224497327,1
0.999621307724071,1
0.885566894856735,1
0.99623634196697,1
0.0085216647580734,1
0.996818817648721,1
0.995909026858251,1
0.999786457968759,1
0.998733565175907,1
0.0798138627574876,1
0.999604744960653,1
0.197334645280523,1
0.958394941910409,1
0.162107465704716,0
0.0110984903390675,0
0.995384706525677,0
1.53010197793779e-05,0
0.0738339794787547,0
1.44809284116703e-06,0
8.37218826642725e-06,0
0.00014215357270059,0
0.0635243062449829,0
1.86233584118001e-05,0
4.47721793712268e-05,0
0.920468439110267,0
0.07299720407379,0
0.309159218870142,0
0.000118403747954005,0
0.000704116601615561,0
0.010508405717075,0
0.00603194396648938,0
0.000139625925340596,0
0.543874582670235,0
2.91701645144871e-05,0
1.14948687118722e-05,0
0.00154919538706712,0
0.127583070196907,0
0.00944203990060063,0
0.000556474061795134,0
0.531587672844005,0
2.35455478988104e-06,0
0.000517199234704108,0
0.000136483926952385,0
0.984868215796144,0
8.17929390535519e-07,0
2.44736441139711e-06,0
6.45300451171027e-06,0
0.000557788488802603,0
3.08299224394547e-07,0
5.59531506986721e-05,0
0.997425518718518,0
1.63260989512036e-05,0
0.988564345800214,0
0.00154223069985313,0
0.00278114998966258,0
8.64699467729227e-05,0
0.108393173467932,0
0.000249769573004834,0
0.000290974075109705,0
0.0567681562183923,0
0.0400170337850675,0
8.57445107631448e-05,0
0.0238506105353358,0
0.232837077532387,0
1.74488135947318e-05,0
0.40336221960097,0
0.996472317738111,0
3.4139031799189e-05,0
4.95636942809416e-05,0
8.84788593609548e-05,0
0.00583981417039496,0
1.24370342768567e-07,0
1.46219069267333e-07,0
3.24146728262305e-07,0
0.978795310473814,0
0.00479987893394026,0
0.00354837292656036,0
9.31418317596266e-05,0
0.00219494965610028,0
0.961355284389087,0
1.0594281402848e-05,0
