"p","outcome"
0.0216728770887861,1
0.923984338777596,1
0.995968002685243,1
0.0274460878620481,1
0.986186014067464,1
0.376057341845179,1
0.0812146457124696,1
0.717705819047844,1
0.607547019464193,1
0.879939012943438,1
0.394551067065639,1
0.362761939394321,1
0.922798403373258,1
0.754492668138151,1
0.734759389929751,1
0.980792215164122,1
0.17245765175729,1
0.167271273788527,1
0.329178177252925,1
0.00589426661349613,1
0.14512704445074,1
0.756753739955563,1
0.417812111366693,1
0.492596493693867,1
0.738470472719231,1
0.00314213347507029,1
0.450302886214132,1
0.228696487985628,1
0.389131388921632,1
0.789604598436563,0
0.146631878143572,0
0.457328880775603,0
0.468808224829465,0
0.0263679056317996,0
0.0192630076787066,0
0.00935752528138169,0
0.00755714086192383,0
0.741839339232852,0
0.00130533484589435,0
0.00624946492751561,0
0.00346628079525671,0
0.00179252602310685,0
0.111214643502414,0
0.0316750976013935,0
0.226065439777096,0
0.0139302608307889,0
0.252783495970466,0
0.000524219535711514,0
0.0205400282928138,0
0.0694008551465616,0
0.00251692715579198,0
0.0128401467780203,0
0.0638725063629381,0
0.0621999388622809,0
0.0248159827523645,0
0.267644706701308,0
0.00217918138750855,0
0.103716412852259,0
0.0291013901708403,0
0.684705208851306,0
0.00845577513605841,0
0.143543804463906,0
0.0573941288405495,0
0.0744946422243199,0
0.00082834342917751,0
0.0461955083911244,0
0.559526394807519,0
0.0121736441978924,0
0.377069859886428,0
0.0962242308482773,0
0.952196413233141,0
0.428515851048278,0
0.938235983110248,0
0.221630770075645,0
0.0126177848098671,0
0.151558997159338,0
0.352240070132168,0
0.0914925651900914,0
0.0464480385061738,0
0.0937062624670778,0
0.527634103820006,0
0.160633766557924,0
0.561948983333102,0
0.362534670102975,0
0.0118711105560016,0
0.42387874674646,0
0.0312607802542222,0
0.00510164790763833,0
0.0048291888987722,0
0.0368518272623956,0
0.103970040276511,0
0.0242310716031778,0
0.83115237994357,0
0.306249115770232,0
0.237819132726245,0
0.621022266341534,0
0.00755033262577255,0
