GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044	GSM1701045	GSM1701046	GSM1701047	GSM1701048	GSM1701049	GSM1701050	GSM1701051	GSM1701052	GSM1701053
EIF5A	5.85274	5.92872	3.539	3.17821	3.40258	3.58673	2.82807	4.34185	5.31154	3.36765	3.43316	4.00492	4.03024	4.32816	4.13831	2.76422	3.45534	3.76868	3.44625	4.32082	10.4119	10.4467	9.51809	9.52127	10.298	10.4867	9.74415	9.6741	9.69582
BNC1	2.25646	1.79248	4.19761	1.95841	1.87392	1.91864	1.94012	1.93783	2.42552	1.72562	2.07608	1.91636	3.25202	2.67781	1.96276	2.1286	2.12615	1.68395	1.67521	1.88646	9.06815	9.04571	9.00102	9.12877	8.76047	8.37801	8.3942	7.96531	7.40539
GYG2	8.63367	4.22217	7.59699	9.84147	8.19122	8.33849	7.2043	8.04061	9.00485	6.92593	9.66739	9.64492	9.73692	5.83394	8.35614	9.75203	10.1678	10.4895	10.4028	7.65049	3.57753	3.62948	3.53123	2.89099	3.50825	3.58694	3.62436	3.32598	3.43287
ITGB1	3.76816	6.61344	3.23209	4.43526	2.71933	4.25123	3.62772	2.52238	5.94898	2.96404	3.06577	6.06642	5.01525	2.44323	2.1675	3.73638	3.53828	2.19052	2.66441	3.4836	10.4963	10.6035	10.8716	10.9455	10.2068	10.064	9.06623	9.09488	8.99348
SLC40A1	7.07916	10.189	10.8918	8.9395	7.33844	10.1582	7.49844	8.84698	10.7493	7.80032	11.6925	11.7601	12.3312	10.5112	10.8983	12.5591	12.2605	11.1313	12.1335	10.9929	5.16897	5.00763	4.32615	4.47712	1.65093	2.06791	2.14647	2.21039	2.08609
FOSB	12.0785	7.38115	6.04353	4.00905	4.76749	4.8261	5.8136	7.58635	5.4983	7.39418	11.5788	9.23386	10.8974	11.1548	8.02644	8.88122	10.9192	11.3988	11.8065	11.7877	7.13779	7.3928	4.82531	4.92625	5.02028	5.04499	4.83725	4.29475	4.23535
ADGB	1.93292	3.97737	2.04294	1.76433	1.76785	2.22961	2.47351	2.10013	1.92351	1.98518	8.59585	7.97507	7.82082	4.68469	9.11718	9.66121	8.46958	9.81798	8.27052	4.61165	2.01904	1.95921	1.81831	1.79152	1.7806	1.74922	1.85897	1.68555	1.87424
SAXO2	2.31963	3.74019	2.76854	2.77684	2.76078	2.59723	2.30855	2.86103	3.48136	2.85085	8.6001	9.42122	9.44008	3.32533	9.32629	10.0989	9.96363	9.75196	8.1181	5.57325	1.6583	1.98681	2.32408	1.93838	2.1658	1.86739	2.06176	2.01475	1.89835
INSR	9.81069	10.04	9.77699	9.96558	9.9371	8.47629	11.0792	10.8556	10.3671	11.1946	11.434	11.5464	11.2581	9.83826	11.6519	11.5529	10.9297	11.7356	11.5343	10.7694	5.64889	4.97701	4.65557	4.59468	4.75692	5.04873	4.59468	5.25721	4.99374
GLRX3	4.77084	7.04592	4.35547	4.84751	5.0534	3.88766	3.67296	3.72632	5.88861	3.50862	3.59608	4.34551	4.66906	3.30241	4.46891	3.06245	3.758	4.02176	3.22231	4.23965	9.98172	9.9237	9.69375	9.67743	10.2472	10.2441	9.95695	9.62748	9.88053
ANLN	6.78708	8.70112	6.7622	8.02552	7.61863	7.15452	5.31838	5.8247	8.32948	2.80417	2.10693	5.14663	2.84511	2.56236	2.45936	2.51702	3.58725	2.52374	2.65752	2.34072	8.62656	8.60207	9.89021	10.0029	8.98157	8.79679	9.41787	8.90345	9.40609
NXF3	2.03595	3.03242	3.15778	3.27166	3.01837	6.14033	2.9626	5.34331	2.27454	3.69868	9.12947	8.06749	8.87608	4.50761	9.27897	9.39481	8.84524	9.24996	9.09968	7.79129	2.55001	2.30277	2.15626	2.22217	2.28528	2.01605	2.19691	2.10579	2.22791
MGST1	2.46059	2.00917	3.01664	1.74114	1.90799	1.97078	2.0356	2.00952	2.70321	1.95917	1.67779	2.84696	2.53736	2.95215	2.02078	2.29224	2.27268	2.11998	2.04266	1.81831	8.43816	8.50269	7.74508	7.96107	9.3073	9.12931	8.33792	8.37771	7.40179
TMPRSS3	8.6335	6.60419	8.94503	8.03635	7.32583	7.95777	8.53762	8.87336	6.63576	8.93378	6.4201	8.19852	8.04361	3.51702	6.21421	7.31803	7.49205	7.02229	6.31462	6.3706	2.30758	2.17968	2.04907	2.06823	2.17774	2.37642	2.26566	2.23115	2.08956
C4A	9.55222	7.25417	10.663	8.74791	7.56035	8.3126	11.492	7.87504	10.6293	10.1438	12.3717	8.83215	11.1925	11.141	10.9115	12.1904	11.9881	12.2051	12.1758	12.1042	5.74918	5.44144	4.55774	5.107	5.21973	4.98881	5.47182	5.29133	5.31339
C4B	9.55222	7.25417	10.663	8.74791	7.56035	8.3126	11.492	7.87504	10.6293	10.1438	12.3717	8.83215	11.1925	11.141	10.9115	12.1904	11.9881	12.2051	12.1758	12.1042	5.74918	5.44144	4.55774	5.107	5.21973	4.98881	5.47182	5.29133	5.31339
C4B_2	9.55222	7.25417	10.663	8.74791	7.56035	8.3126	11.492	7.87504	10.6293	10.1438	12.3717	8.83215	11.1925	11.141	10.9115	12.1904	11.9881	12.2051	12.1758	12.1042	5.74918	5.44144	4.55774	5.107	5.21973	4.98881	5.47182	5.29133	5.31339
HSPA8	5.55813	8.53692	5.16225	5.77802	5.50487	5.18695	4.16085	4.67368	8.58607	2.74133	4.29509	7.98643	7.9077	4.89347	5.41954	6.11972	8.00834	6.08332	5.21158	5.55545	11.5858	11.7253	11.0691	11.0548	10.837	10.8987	11.7009	11.5215	11.4469
SNORD14C	5.55813	8.53692	5.16225	5.77802	5.50487	5.18695	4.16085	4.67368	8.58607	2.74133	4.29509	7.98643	7.9077	4.89347	5.41954	6.11972	8.00834	6.08332	5.21158	5.55545	11.5858	11.7253	11.0691	11.0548	10.837	10.8987	11.7009	11.5215	11.4469
SNORD14D	5.55813	8.53692	5.16225	5.77802	5.50487	5.18695	4.16085	4.67368	8.58607	2.74133	4.29509	7.98643	7.9077	4.89347	5.41954	6.11972	8.00834	6.08332	5.21158	5.55545	11.5858	11.7253	11.0691	11.0548	10.837	10.8987	11.7009	11.5215	11.4469
SLC16A1	3.48779	3.75238	3.98655	3.65573	3.50283	3.28093	3.34248	4.32096	5.14565	3.17528	2.57065	3.51086	3.18136	2.95826	2.68403	2.6444	3.30011	3.04623	3.01134	3.14563	9.14661	9.00517	8.8387	8.77996	9.81593	9.64119	9.87082	9.44754	9.82208
