GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044	GSM1701045	GSM1701046	GSM1701047	GSM1701048	GSM1701049	GSM1701050	GSM1701051	GSM1701052	GSM1701053
RBL2	8.30256	9.12493	8.63156	8.40436	7.87907	8.52613	7.52337	9.08296	8.95372	8.01853	9.87257	9.75996	10.0337	7.90092	10.3245	9.94226	10.2809	9.98189	9.90809	9.55095	7.27782	7.46218	7.91873	8.04981	7.88546	7.45517	7.67154	7.66361	7.68949
TRNT1	4.41483	4.95978	3.99106	4.06712	3.53525	3.93631	4.06934	5.95675	4.23014	4.33545	4.53651	4.17496	3.61949	3.12472	4.40979	4.24706	4.07601	4.37177	4.23825	4.36998	5.60754	5.75704	6.56811	6.55094	7.85299	7.6209	6.20775	6.04849	6.66717
DHX30	7.15342	7.70492	5.41722	5.64459	6.03701	5.34593	4.58818	5.27752	6.03693	5.51578	5.23224	4.89294	6.0706	4.6239	5.35185	6.07696	5.19628	4.72382	3.92696	5.84883	6.63611	6.6806	7.52239	7.47626	7.81318	8.04302	7.15825	7.80453	8.03973
SLC35B1	6.88257	7.37073	5.33954	6.55997	5.73123	5.09553	4.45481	6.02476	6.49624	5.52949	5.84099	7.36804	5.93718	4.21977	5.9575	6.0679	5.72561	5.55321	5.78378	6.30426	7.61174	7.57475	7.79819	7.86569	7.85038	7.79454	7.85086	7.91423	7.80447
TMEM41B	6.43819	7.19605	7.11081	7.67644	6.69833	7.2511	5.64834	6.05413	8.68287	6.6287	6.27871	8.50872	7.77669	3.57414	6.50669	7.13732	7.30841	6.63364	6.89214	6.36569	8.55079	8.55583	9.64025	9.55075	9.44312	9.51757	8.20528	8.47948	8.49764
EIF5	5.88511	6.60346	5.99858	6.37492	5.64315	5.65836	5.06942	5.83968	7.16747	5.33723	5.9359	6.54079	5.76671	3.30241	5.59962	6.36626	6.26622	6.21704	5.01766	5.36398	7.53813	7.41725	8.8685	8.91864	9.49501	9.2747	8.25809	8.15294	7.92716
MRTO4	7.40526	7.53317	6.55111	6.36847	6.64873	6.11244	7.14786	6.23929	6.37496	5.48517	6.32229	5.58328	6.26917	5.9693	4.96145	5.90222	5.81702	5.72522	5.964	6.51502	8.03216	7.98841	7.84854	7.72148	8.80192	8.99788	9.38929	9.26868	9.46147
TTC28	6.329	6.62578	7.91303	8.24106	8.50894	6.83847	7.97281	7.02136	8.71031	8.3889	8.04234	8.35888	8.01953	6.404	8.64202	7.5595	8.20811	8.18816	8.15475	8.55905	5.1868	5.00014	7.06424	7.09334	6.08253	5.84394	5.85948	5.63452	5.54557
GRHL2	6.57109	7.82581	6.9113	7.57972	8.33166	6.69305	7.22045	6.80536	7.16612	7.22477	6.66426	6.98574	7.03454	4.93135	7.54844	7.11644	7.65173	7.65452	7.08265	6.85199	7.90669	7.89382	4.28482	4.80163	4.73367	5.08289	5.66956	4.84805	4.86702
PEX13	3.91519	4.46911	2.60679	3.67067	2.04707	3.0984	2.62635	3.53072	3.96603	3.77694	3.56477	3.21458	3.42036	2.5377	3.66418	2.63158	3.63726	2.86838	3.25412	2.73438	6.27944	6.37106	5.82119	5.89265	6.20317	6.20562	5.55237	4.91134	4.9772
ZNF14	4.14505	5.27615	7.18586	6.41077	6.41528	6.36478	6.35472	5.90973	7.33118	6.69649	4.93742	5.58693	5.88803	3.50739	5.38728	5.50248	6.14937	5.73871	6.19938	5.80589	4.31019	4.57421	4.32833	4.32067	4.09606	4.29756	3.92429	4.54641	4.03107
CAND1	7.22968	7.10709	6.47537	7.79213	6.04845	6.64124	6.70655	7.96882	7.70747	6.19008	6.50768	6.64873	6.96617	5.80276	6.32846	6.95556	6.7492	6.06447	6.80715	6.77765	8.89837	8.67739	8.80827	8.93795	9.13506	8.96749	8.51984	8.48205	8.98172
TFB2M	5.22443	7.90702	7.1479	5.21217	5.18104	6.42284	5.28518	6.12592	7.68174	6.00401	4.4583	6.09781	6.47481	4.20894	5.28508	5.47439	4.70825	4.66292	5.43377	5.26939	6.66347	6.65538	7.10451	7.09788	8.82575	8.69754	8.97022	8.51163	8.81536
SLIRP	8.7371	9.30096	9.48619	9.93487	10.2109	9.14795	10.3308	8.64525	9.24812	9.31904	7.65424	8.95519	8.92449	7.94691	8.49549	8.87713	8.77701	8.25302	7.80896	8.68491	10.7058	10.6904	10.615	10.5846	11.5826	11.4761	11.6401	11.6766	11.2788
EHD4	7.32774	8.4063	6.89525	7.08357	8.22623	6.39452	5.78629	7.16802	7.40697	6.17613	7.90209	8.10194	8.18369	7.30175	8.13198	8.01472	8.26245	7.77083	7.33929	8.22165	9.31757	9.37095	10.0427	9.86895	9.09421	9.20563	10.0153	9.59638	9.56859
TMCO3	1.87546	1.79716	2.26704	3.15547	2.01053	1.90799	2.04369	1.52349	2.78952	2.23122	1.88711	1.69756	1.72236	3.17786	2.13901	1.90799	2.13143	1.89279	1.83148	1.53104	4.0291	4.0587	5.29975	5.25024	4.72882	4.62436	3.60346	3.76498	4.09335
MYO1D	4.32159	3.51166	2.35997	3.1825	2.60067	1.86857	2.34864	1.89487	2.17756	2.28134	2.3314	2.75433	2.68008	2.64591	2.5145	3.19321	3.12416	2.53889	2.32032	2.58407	5.83423	6.17299	5.07004	5.15777	4.73833	4.50092	4.14325	4.09102	4.23768
MFN1	5.11917	4.39236	3.67634	3.29811	3.68025	3.88503	3.29895	4.21477	4.70586	3.53088	2.90296	3.45332	3.50044	3.72462	2.76673	3.41088	2.65665	4.42621	3.20871	2.73165	5.61324	5.28826	5.78393	5.7546	6.16845	6.06052	5.49747	5.21164	5.37164
ATP5F1D	7.35999	8.89376	6.90084	6.17888	8.05581	4.79373	6.12992	5.98194	6.2381	7.08966	6.95123	6.1482	6.80577	4.10437	6.19107	6.34481	6.09091	6.02268	6.24221	7.07576	8.37796	8.56082	7.88501	7.93873	8.5345	8.40499	8.6447	8.71361	7.93788
TGFB1	3.0444	2.90695	3.02343	2.76339	2.86665	3.60727	3.28432	3.34845	2.58655	3.29904	2.94006	2.4096	2.6352	3.05489	3.07345	2.72537	2.34535	2.64161	2.82661	2.63569	4.86197	4.8512	5.19562	4.97153	5.47913	5.39766	4.64004	5.31743	4.49393
CHST6	2.89437	5.95032	2.90181	4.32782	3.97316	3.37992	3.47352	3.07136	5.66976	3.25099	4.49457	5.40423	5.16172	4.95219	5.41954	6.71022	6.02958	5.92265	4.40564	4.55967	3.42989	3.45217	3.31052	2.72158	2.72109	3.21848	3.40062	3.28541	3.70355
CSNK1G1	3.23894	4.02743	2.46831	3.1817	2.97722	2.47215	2.87869	2.71579	3.20761	3.25919	2.91755	2.6412	3.24403	3.1093	3.87708	2.49615	2.75412	3.34492	2.34467	2.96101	5.57028	5.92745	5.52665	5.3381	5.57913	5.57102	4.75484	4.93414	4.66506
KIAA0232	7.94822	9.49124	9.03755	9.60086	8.25012	8.67587	8.13528	9.019	9.83345	7.3017	10.0411	10.3864	10.253	7.31925	9.74361	10.2642	10.2248	10.1561	9.90589	9.5881	7.98743	7.95771	8.17783	8.04278	7.40961	7.45907	7.64238	7.82614	7.99711
XIST	10.2989	11.5679	11.8034	9.3201	5.32807	10.3647	6.30944	11.622	8.92388	6.88141	11.7457	11.5558	11.0829	9.59665	11.7116	10.9576	10.9162	11.7021	11.9454	11.2656	9.71648	9.62201	10.1571	10.139	9.68021	9.9676	9.80001	10.0586	9.99915
HOXA1	2.7435	2.5103	4.25218	5.48972	2.3882	3.47917	3.81707	2.77641	3.53254	2.86594	3.73429	3.75122	3.54399	3.17647	3.88339	4.06999	4.64981	3.431	3.1538	3.09062	6.50296	6.29742	6.33306	6.10718	5.8851	5.96727	5.05185	4.95721	4.21685
CDT1	3.51734	5.3851	3.15091	3.25104	4.83146	3.20726	3.09018	2.70513	3.70132	2.92143	2.70168	2.95156	3.22185	2.99137	2.26992	2.70513	2.86792	3.13383	3.03773	2.78716	4.6168	4.53651	4.82675	4.63441	5.68401	5.53947	5.03638	5.48013	5.34558
CSTF1	5.56712	5.7	4.91684	5.01557	4.70088	4.95375	5.17301	5.09051	5.12415	4.0916	3.08141	3.42923	4.51037	3.03481	3.55905	3.99485	4.23263	3.88243	3.89999	3.65921	5.87003	5.68522	5.88491	6.14295	6.16547	6.30402	6.54685	6.3485	6.17739
CCL8	4.1962	5.95198	4.72814	3.96412	5.59271	4.31216	5.67423	4.48947	3.68238	5.83391	7.11837	3.8495	6.37943	4.82161	4.44327	4.71877	6.53079	5.31239	4.90387	4.71548	3.18926	3.43766	2.55513	3.36282	2.99072	3.1854	3.38958	2.94216	3.80766
COPG2	6.95132	6.32432	5.04238	4.22467	5.11553	3.45952	5.88479	4.69617	4.86203	5.26504	4.79291	5.07652	3.93382	5.32688	4.48044	3.86281	5.19351	4.23071	3.78125	4.57906	6.96368	7.0388	6.4532	6.44547	6.77603	6.41508	6.4776	6.64869	6.73449
DDX39A	9.24271	9.78378	8.51231	8.84905	8.95004	8.02456	9.08261	8.06559	9.32419	8.40132	7.57736	6.61445	7.10081	7.35281	7.11386	7.03935	6.92291	7.369	6.8292	7.77489	8.10002	8.014	8.63211	8.60733	9.52547	9.56449	9.62889	9.80641	9.30536
COL15A1	3.50825	3.11544	2.28626	4.86901	2.9117	4.97217	2.26589	3.77595	3.39831	2.59273	2.52495	4.53183	3.11069	2.41096	4.22392	3.81681	4.13904	6.60313	5.00514	6.04326	1.80912	1.8951	2.30009	1.97181	1.94804	1.96792	1.96673	2.41159	1.95875
YME1L1	8.92568	8.53241	7.8451	8.98867	9.47765	7.29754	6.95887	8.52102	8.52102	7.29485	7.83009	8.82547	8.5208	3.44041	8.26875	8.25401	7.92903	7.52396	7.70885	7.92791	9.71209	9.71791	9.85217	9.85231	9.81297	10.0264	9.85703	9.79567	10.0545
NCOA3	8.38979	8.55077	8.67713	8.78704	8.25473	7.62255	7.98497	8.99928	10.2721	7.96785	8.65148	9.42331	8.94508	5.75998	8.57537	8.72029	9.02571	8.74806	8.71157	8.47066	7.37836	7.32136	6.84753	6.79465	6.40928	6.29347	6.34818	6.38389	6.05476
TPM4	4.95557	6.5993	5.71148	6.27658	6.70914	5.14986	6.05259	6.16967	7.78895	5.16838	6.51944	7.46432	7.49078	4.83017	6.16781	6.24697	5.61601	5.61946	5.18106	7.39247	8.75782	9.00999	9.64673	9.89959	8.94057	8.72324	7.37123	7.58406	7.14633
CHAF1B	4.19048	4.74161	3.68359	3.58393	4.13051	4.07456	4.03651	4.37885	5.25545	3.93297	3.51603	3.40253	3.15643	3.65036	3.58237	3.1566	4.00757	3.10147	3.20716	3.35749	5.45492	5.21375	6.50133	5.86101	6.40201	6.12101	6.13868	5.86622	6.11443
NR4A3	4.75853	4.22217	3.94822	4.00905	4.55563	5.453	4.82536	5.01932	4.67252	5.70497	9.96354	5.51687	6.93007	6.97347	5.30268	6.0723	7.98716	5.82051	6.09427	9.80192	4.43503	4.22574	3.80239	3.8795	3.56442	3.49052	3.44269	3.53076	3.51213
EGLN1	4.09462	4.52729	4.96295	5.73085	5.04174	3.93257	2.87869	5.15451	6.37334	3.69281	3.98245	3.59432	4.28208	3.97483	3.87281	3.33831	4.61169	3.62885	3.63283	4.34567	5.65345	5.64539	6.26868	6.19844	6.49645	6.39184	6.49253	6.21718	5.80436
TMEM176A	5.2743	4.56273	7.17778	6.36885	4.09852	7.52	7.02327	5.71589	5.72724	6.33273	6.00455	6.34925	6.42878	6.27209	5.65736	6.09815	6.47996	6.19129	6.55476	6.82668	4.51415	4.6671	3.94217	4.30969	3.87397	3.70802	4.49713	4.07827	4.17941
TMEM212	3.95047	3.50527	4.23001	4.03549	4.2025	3.90548	4.26441	4.78394	4.11272	5.08169	5.50843	4.73038	5.15045	6.05206	5.24848	5.52367	5.18717	5.73267	4.11272	4.74824	3.21014	3.07586	2.73061	2.72491	2.87344	3.12517	2.80327	2.83819	3.26885
AREL1	7.45374	6.48386	6.85217	6.73485	6.53971	5.25069	6.08037	6.03058	6.80638	5.56842	4.3584	5.95081	5.7528	2.10309	5.33637	5.20918	6.26366	5.93112	5.5822	4.8849	7.51616	7.24804	7.81733	7.75951	7.55741	7.37949	7.5174	7.60789	7.55349
DDX52	5.41686	5.44584	5.227	5.08565	6.08176	4.16206	7.14145	6.00925	4.58161	5.85094	6.1627	5.95834	6.23944	6.43037	6.30344	6.52468	6.21777	5.23586	6.15964	7.30266	7.72246	7.66116	8.66655	8.6996	8.60926	8.46011	8.71988	8.76532	8.52371
SPA17	6.09151	6.09847	4.46688	5.7759	6.22447	6.2048	5.98044	4.49675	6.2961	5.17947	8.79704	9.17595	9.24607	4.7894	8.60319	10.2839	9.35221	9.51641	7.96986	6.8651	6.96362	6.97472	7.07016	7.10046	6.35055	6.40726	6.64507	6.94841	6.69433
PSMD3	4.88282	4.79156	4.15134	4.59288	4.74077	3.84915	4.71618	4.4601	3.8597	4.1986	4.44992	3.8601	4.33024	3.85916	4.17658	4.59866	4.77607	3.85335	4.17993	4.32119	6.3514	6.13549	6.05024	5.96706	6.78997	6.53247	6.76086	6.68147	7.02903
FBXL7	5.21375	4.8488	4.9192	5.4433	3.80603	5.48443	3.67716	6.67192	7.35498	5.11013	5.83998	7.35166	6.69667	3.58222	5.85954	6.43007	5.70714	6.15614	7.49146	6.242	4.63026	4.51394	7.03497	7.07486	4.55985	4.64999	3.1281	4.11042	3.31691
MAP2K1	6.0148	7.74244	6.45397	6.90153	6.67852	5.62967	4.85516	5.85097	6.62884	5.31566	5.67097	6.70241	6.56005	4.79386	5.70686	5.8733	5.89931	6.04831	6.1377	6.59268	8.7338	8.64252	8.57479	8.49793	8.23958	8.20842	7.78745	7.64765	7.59433
TYROBP	3.76773	5.1245	5.84836	6.05901	4.13646	4.23969	4.94689	5.0569	5.88709	4.11747	5.35851	4.33018	5.44206	4.61181	6.14589	5.25592	5.21154	4.5734	5.87258	6.57668	3.48515	3.47814	3.62924	3.37186	3.16573	2.87221	3.08119	3.32587	3.48946
DMXL1	6.25124	7.19341	6.94959	7.09299	6.14074	6.87796	6.02478	6.80285	8.04097	7.44858	8.33274	8.87988	8.68587	3.47027	8.70642	8.21321	8.70106	8.5262	8.96312	8.33902	6.46424	6.62812	6.88107	6.74329	6.53666	6.39431	6.30629	6.8037	6.46223
CBLB	7.36987	8.17253	8.58001	9.10451	10.4611	7.88005	8.89387	8.09382	8.55506	9.45187	8.50294	8.44056	8.39264	7.09102	9.12339	8.72745	8.37751	8.93902	8.52568	8.74764	6.53666	6.62889	7.32038	6.85925	5.89807	6.25062	6.15971	6.73127	6.23151
EFNA1	9.11538	8.46372	9.79586	9.27373	8.47156	8.69259	8.72861	8.47058	9.24489	8.18802	8.13115	6.86079	8.41621	7.07667	8.55134	8.91967	9.08235	8.99226	8.33963	7.60131	7.57889	7.61968	5.03395	5.33845	5.7139	5.75074	5.89754	6.23746	5.18791
DCLRE1C	6.20016	7.35022	5.41641	6.33908	6.79055	4.42111	7.09099	5.30916	4.49527	6.03227	4.4807	4.57145	4.60198	4.24588	5.03665	4.95916	4.6074	4.54602	4.94489	5.48055	5.4069	5.42434	6.6124	6.70567	6.96947	6.69209	5.98037	6.27082	6.47481
C1orf216	8.30113	7.29828	7.70268	7.03594	7.76557	6.16697	6.43516	9.16809	7.77397	6.70384	5.60138	6.88334	5.49118	5.56065	5.55866	5.27388	5.5612	6.08914	5.60323	6.02274	5.92257	5.9067	7.9981	7.86596	7.50438	7.5889	7.8544	8.00373	7.9448
JHY	2.08956	2.86742	2.66925	3.35201	2.3882	3.51283	2.99561	2.8468	3.59129	2.74266	4.66728	4.87334	5.05805	2.81937	4.38839	5.17383	5.84948	4.90843	3.93305	3.30618	2.69484	2.59542	4.61679	4.56165	3.2668	3.29885	2.50221	2.21561	2.27634
DNAAF2	3.82088	4.95508	5.23166	3.88765	3.71029	3.54934	2.71658	5.62026	5.46138	4.12363	5.4641	6.04839	6.06429	2.27592	5.00621	5.53655	7.09258	6.13508	5.4706	4.65006	6.10267	6.11169	6.63019	6.51647	7.27116	7.0894	7.62877	7.01076	7.21666
NEK4	5.8936	7.17991	6.40688	5.7388	5.66554	5.89182	5.36332	6.62964	7.33713	6.42322	5.58877	7.90133	8.02318	3.65129	7.91687	7.60547	8.55923	7.80831	7.16341	6.38377	6.53938	6.72327	8.30793	8.40853	8.63066	8.52271	8.24974	8.46275	8.55482
NEIL3	3.22893	3.31183	3.85569	4.34991	4.13666	4.85464	2.98883	4.11493	4.61773	2.98187	3.03308	3.00994	2.63444	4.08275	2.29344	2.79586	2.91072	2.20574	3.01408	2.69231	4.68986	4.32792	6.56684	6.64774	6.83782	6.82113	6.21115	6.26282	6.70944
DUSP8	6.1152	5.77576	5.07548	4.5259	5.32956	4.10802	5.07548	4.89563	3.73283	6.13697	7.54536	5.64435	6.96394	5.39006	5.5643	5.15032	6.36267	6.22288	6.03094	7.06568	3.90643	4.21314	4.37735	4.16552	4.18311	4.12886	3.53358	3.58161	3.5536
HMGB1	9.24629	8.15174	8.74999	9.57939	9.42951	6.60176	10.2658	8.78661	7.88537	9.77824	9.02429	7.78573	8.32745	6.54995	9.35658	8.44083	7.75243	8.99511	8.55674	8.74903	10.1829	10.3061	10.7719	10.9104	11.1654	11.2443	10.8347	10.7192	10.6251
SCRN3	5.7608	6.5773	4.37392	5.47799	6.70952	4.767	3.4495	6.73896	5.38318	4.57148	4.93734	5.36388	4.51037	3.93695	5.05557	4.72211	4.79807	5.2733	4.63694	4.59213	6.39861	6.5214	6.81442	7.0188	7.25009	7.06962	6.55696	6.78829	6.5864
EIF3E	9.63263	11.9059	10.0496	9.94257	10.1385	9.46059	9.67611	9.25136	10.5677	9.62262	9.85156	10.6503	10.3561	8.9311	9.70719	9.77014	10.7639	9.64088	9.91392	10.5781	11.9735	11.9148	11.0535	11.1343	11.937	11.859	11.808	11.8559	11.5708
RBPJ	6.97179	8.37147	7.46845	7.3771	6.36389	5.88897	5.68401	5.93104	7.39845	4.81026	6.61901	6.66546	7.05055	5.05235	6.68792	6.52162	7.05055	6.5094	6.48478	7.12874	7.81001	7.78765	9.02411	9.08688	9.26646	9.18575	9.54739	9.33139	10.1942
HOXA9	3.50146	2.43881	4.79015	3.85806	3.32851	2.58177	4.2389	3.07491	3.79947	2.4615	2.65702	5.87057	2.94887	2.93757	2.24899	2.55816	2.25647	3.14386	3.37304	2.97664	4.52103	4.79851	5.83215	5.64315	8.59764	8.3006	7.69433	2.99787	9.17787
MIR196B	3.50146	2.43881	4.79015	3.85806	3.32851	2.58177	4.2389	3.07491	3.79947	2.4615	2.65702	5.87057	2.94887	2.93757	2.24899	2.55816	2.25647	3.14386	3.37304	2.97664	4.52103	4.79851	5.83215	5.64315	8.59764	8.3006	7.69433	2.99787	9.17787
HOXA10-HOXA9	3.50146	2.43881	4.79015	3.85806	3.32851	2.58177	4.2389	3.07491	3.79947	2.4615	2.65702	5.87057	2.94887	2.93757	2.24899	2.55816	2.25647	3.14386	3.37304	2.97664	4.52103	4.79851	5.83215	5.64315	8.59764	8.3006	7.69433	2.99787	9.17787
CLEC4A	3.38577	3.39997	5.96249	4.37118	3.03773	2.81546	3.25053	5.73705	4.49504	3.00019	4.93426	4.95025	4.2171	1.51347	4.82809	4.7378	5.41602	4.81305	6.22089	5.71115	3.00164	2.99686	2.9009	2.9672	2.4788	2.93246	2.81835	3.10319	2.39008
HOMER3	7.09975	6.50853	6.21546	6.96777	7.19307	5.33049	6.13084	4.63658	5.95747	6.53945	4.82355	4.58668	4.93251	5.2162	4.69306	4.67515	5.0203	4.4047	4.57984	4.77343	7.65501	7.63612	7.7344	7.57843	6.54841	6.6839	5.36685	5.55084	5.29166
LSM8	6.25124	5.75192	5.99576	6.91741	6.34149	6.28789	5.13383	5.42715	6.32349	7.14499	5.00761	5.59491	5.25332	3.89521	5.15939	5.1128	5.02841	4.9523	4.99815	5.53831	6.91551	7.00227	7.08969	7.19934	7.14449	7.11069	7.18349	7.01964	7.37632
ZNF337	7.8989	6.30385	6.39976	6.12624	6.96632	7.06889	7.31734	7.37526	6.24925	7.10651	6.49202	5.97207	6.40239	4.01593	6.39402	6.73553	6.54298	6.7618	6.62413	6.44773	5.51687	5.2923	4.55774	4.3442	4.662	4.7372	4.83328	4.87533	4.62015
GINS3	3.15998	4.58161	3.81678	3.54548	3.76282	4.1986	3.80877	4.13584	4.24361	4.06122	2.4365	3.64029	2.93742	3.24074	3.1527	3.59619	3.31643	2.99677	3.00304	3.75977	5.17661	5.095	6.82901	6.73998	7.38779	7.29081	6.96668	6.95314	7.03257
ISY1	5.34322	5.56223	6.34484	6.41026	5.72741	5.44717	5.85435	5.99838	7.35934	5.34214	5.14233	6.18925	5.95523	4.61142	4.98577	5.59141	6.04101	5.4994	4.84942	5.57127	6.73495	6.70551	7.6384	7.62988	7.65683	7.71768	8.07231	7.6439	8.19886
SMUG1	5.54219	4.70038	4.45082	4.96602	4.9228	4.56596	4.61222	4.60954	4.74222	4.14928	4.31824	4.30335	4.63815	3.79243	4.66537	4.60272	4.70038	4.23155	4.58425	4.48412	6.86331	6.85355	6.76032	6.83764	7.1511	7.02748	6.33703	6.42579	6.54893
GPX3	7.39605	7.91189	6.2927	6.01207	4.53398	4.34736	7.66328	4.77092	7.62549	3.67638	5.48982	5.50403	6.39378	4.36516	4.13831	6.15824	5.8917	3.69772	6.49712	5.55932	7.00409	7.03012	3.3833	3.54934	5.20061	5.0516	6.05885	5.22024	4.63742
KIF22	7.31	6.71179	5.5622	6.38133	5.62461	5.48902	5.66546	4.89955	5.63772	5.13404	4.14394	4.5378	4.22995	4.61224	4.55369	3.66418	4.01731	3.71743	4.1134	4.03648	5.37727	5.27265	6.39715	6.25687	6.73485	6.96178	6.69603	6.74416	6.60293
CADM1	7.35865	5.76982	6.42276	7.23884	7.90687	6.84447	7.8507	8.37388	7.21147	5.9478	7.48292	7.90488	7.80933	5.41265	7.80692	8.17909	7.2937	7.92367	7.7877	7.1587	3.10167	3.30301	6.7584	6.90466	5.16821	5.0759	5.46883	6.20841	6.91029
KPNA6	7.23806	6.62576	6.47699	5.26338	5.55004	4.15318	4.34509	5.37935	6.71558	4.69529	5.44434	6.09917	6.16841	6.30724	5.81137	5.95533	5.92867	5.18628	4.68545	5.3795	7.28374	7.34742	7.73079	7.51067	7.15551	7.18422	7.50736	7.584	7.89851
TTBK2	2.94639	4.56221	5.77145	5.30395	4.02687	2.11418	5.06068	5.19279	5.37017	5.0401	6.89467	6.62841	6.42074	4.36516	7.04213	7.30181	6.99752	7.30334	6.77411	5.91951	5.44579	5.32722	5.14054	5.92161	5.65169	5.1976	4.08579	4.38682	4.27655
GIMAP1	2.48132	3.22121	3.1417	3.94512	2.05595	2.86185	3.5729	3.1618	4.13026	2.44156	4.33019	3.94086	2.74151	2.21604	3.71739	3.85916	4.78619	5.4989	4.97671	3.88513	1.82008	1.60619	1.82819	1.75077	2.02701	1.88818	1.86441	1.85556	2.0644
RFWD3	4.2256	6.0698	4.77759	5.06134	4.85526	4.13802	3.9505	3.94069	4.0657	3.97041	4.19746	5.38847	5.33862	4.62339	4.4271	4.70924	4.83319	4.21177	4.00061	4.38553	5.85059	6.05041	7.03317	7.51845	7.61683	7.21154	7.59318	7.77495	7.61687
UBE2E3	8.36101	9.62961	8.45967	8.40703	8.40681	7.23807	7.56755	8.12347	9.38796	7.74766	7.67038	8.73639	9.01971	3.21503	8.07311	8.36125	8.39465	7.64251	8.02528	8.42308	9.86953	9.93109	10.3784	10.3473	10.1202	10.3285	10.1595	10.3481	10.2339
ATP6V1A	2.96563	3.21217	2.64593	2.54472	2.42201	2.50726	2.71217	2.7534	4.38445	2.92327	2.74887	3.40466	2.71657	2.75979	2.10322	3.09589	3.84215	2.77268	2.81287	3.12424	5.4185	5.6421	4.54523	4.86287	4.6059	4.78839	4.86316	4.97145	4.88202
HLA-B	11.2788	12.1051	9.40182	8.77493	10.1139	8.35586	10.6881	8.2374	9.46435	10.0257	10.6507	10.2831	10.3157	8.26444	10.8014	10.7173	10.915	10.4048	9.84521	11.4383	9.71494	9.72858	12.3751	12.3883	8.70461	8.86028	8.72655	9.14585	8.25225
MIR22HG	7.08051	6.24706	6.59515	8.07179	6.32701	8.1849	6.76423	6.66521	7.68489	6.7094	10.1853	8.32109	9.89139	8.60457	8.61267	8.49373	9.87717	9.11986	8.86397	10.4818	8.49593	8.40816	7.99014	8.01318	7.47707	7.28817	6.74756	6.66117	6.55421
MIR22	7.08051	6.24706	6.59515	8.07179	6.32701	8.1849	6.76423	6.66521	7.68489	6.7094	10.1853	8.32109	9.89139	8.60457	8.61267	8.49373	9.87717	9.11986	8.86397	10.4818	8.49593	8.40816	7.99014	8.01318	7.47707	7.28817	6.74756	6.66117	6.55421
DEK	8.14762	9.50288	9.40235	9.25139	9.93043	8.17856	8.07447	7.92133	10.6821	8.08536	8.54949	9.76778	9.61206	5.83128	8.16922	9.4742	10.0627	8.70452	8.97362	9.54857	9.57142	9.56335	10.5265	10.811	10.607	10.4064	10.6262	10.5843	10.7664
IQCH	1.79278	3.43234	1.74113	2.54964	2.39513	2.52175	1.90832	2.38958	2.46273	2.76981	4.13426	4.9924	5.05505	2.79591	6.02325	6.31256	7.27837	5.19416	5.28057	2.21611	1.96639	1.99579	2.7137	2.47289	3.02157	3.14242	2.27759	2.48968	2.21091
CUL5	4.44307	3.46796	3.4315	4.60861	5.00924	4.76873	4.74898	3.84637	4.26217	4.14064	4.05064	4.09169	3.34183	4.10177	4.40308	3.98315	4.1142	3.55179	3.64625	3.47419	5.94467	5.95362	6.36083	6.17073	7.00349	6.905	5.83897	5.67557	5.97264
SPATA5L1	5.15905	7.64053	7.41431	7.05396	6.10712	5.90988	6.07814	6.5719	5.70416	6.28983	6.02323	6.02231	5.96643	4.58754	6.06166	6.16297	4.87843	5.91205	6.69946	5.69804	7.82173	7.50565	8.06847	7.94756	8.92937	9.14377	8.4067	8.46119	8.27776
CDO1	3.95363	1.92437	2.02216	2.68877	2.31292	1.86077	2.76568	2.25089	7.17436	2.18529	3.12461	3.03062	4.16805	4.01437	4.09478	4.13668	4.40667	5.14246	4.22802	4.35381	1.75587	1.9996	4.74596	4.59993	4.01522	3.89971	3.84366	4.10317	3.72228
LOXL1	5.90509	4.66666	5.56138	5.98267	5.09986	4.72673	5.28061	3.97372	3.7559	5.69482	3.68198	3.61831	4.29418	5.04921	3.70034	3.79238	3.27997	4.35721	4.2919	5.06577	6.56957	6.82964	7.61259	7.68848	5.93286	6.14682	7.28156	8.13835	6.24404
YTHDF3	3.57604	3.20163	2.34814	2.35265	2.23866	2.79044	2.50883	2.37434	2.93694	2.61716	1.86033	2.26074	2.80471	2.01066	3.47551	2.33383	3.29061	1.83014	2.29904	2.23455	4.18835	4.1457	5.49005	5.53211	5.29806	4.9726	4.73848	4.65621	4.54899
MTFP1	5.20384	5.99118	6.012	7.05467	6.1741	5.03879	5.86124	4.72351	6.48149	4.87933	5.30008	5.50568	5.4599	5.79315	4.54603	4.95981	4.505	4.9703	4.94097	5.48603	6.23863	6.17344	7.1338	6.89325	7.60791	7.69239	7.35234	7.42494	6.90646
SLC4A7	5.5555	5.57846	6.03618	6.13621	5.96999	6.39219	5.94181	5.47605	6.62414	4.12394	6.09743	6.11003	6.39297	4.40366	6.26386	5.64544	6.47927	5.57873	6.21979	5.83437	8.01038	8.26892	7.68828	7.69684	9.19798	8.61105	7.75889	7.61078	8.04086
