_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-3.6574393632154356,GO:0008152,metabolic process,M1,1,GO:0032787 monocarboxylic acid metabolic process
1,-3.1696223171405573,GO:0009987,cellular process,M1,1,GO:0016050 vesicle organization
1,-2.7321464463791436,GO:0023052,signaling,M1,1,GO:0098916 anterograde trans-synaptic signaling
