	0	1
0	1	MIR22HG
1	2	SOCS2
2	3	PDE8B
3	4	NDC1
4	5	MCM4
5	6	STMN1
6	7	TACC3
7	8	SPAG6
8	9	SLC4A3
9	10	TEDC2
10	11	MRGBP
11	12	SETDB1
12	13	SNRPB
13	14	SIX2
14	15	MCM6
15	16	OSBPL2
16	17	SLC39A4
17	18	THBS3
18	19	TM9SF4
19	20	TBX19
20	21	SLC6A10PB
21	22	MFAP2
22	23	SLC6A8
23	24	MIR22
24	25	SMAD6
25	26	SPAG5
26	27	MAST4
27	28	MELK
28	29	MCM2
29	30	SPDL1
30	31	RPL10
31	32	NREP
32	33	MROH9
33	34	SOX3
34	35	SLC9C2
35	36	SNRPF
36	37	MBD3L1
37	38	MIR3917
38	39	SPACA9
39	40	SORBS2
40	41	TCTEX1D1
41	42	SOX12
42	43	MOSPD3
43	44	NCAPH
44	45	SPAG8
45	46	MMP15
46	47	STIL
47	48	MAP3K19
48	49	MAN2A1
49	50	MAL
50	51	MAK
51	52	SRD5A2
52	53	SYNGR3
53	54	MYBL2
54	55	STX10
55	56	MRPL30
56	57	MRPS15
57	58	SYNE1
58	59	NCAPG
59	60	SQOR
60	61	MRPL47
61	62	TCTN1
62	63	NUSAP1
63	64	PAK3
64	65	TMEM183A
65	66	SGIP1
66	67	TMEM183B
67	68	TMEM39B
68	69	TMEM40
69	70	TACC1
70	71	PLCH1
71	72	SLC22A4
72	73	TMC5
73	74	SLC29A3
74	75	TFPI
75	76	SUB1
76	77	TCF7
77	78	LRRC43
78	79	LRRC36
79	80	TIMELESS
80	81	SERPINB1
81	82	TMEM79
82	83	TNFAIP8L2-SCNM1
83	84	SLC43A3
84	85	TNNT1
85	86	TOMM40
86	87	SLC6A10P
87	88	SLC5A6
88	89	LPCAT1
89	90	LOC728196
90	91	LOC642846
91	92	LOC101928817
92	93	LOC101928635
93	94	TOP2A
94	95	SLC48A1
95	96	SIDT1
96	97	SLC27A2
97	98	SLC19A1
98	99	SLC40A1
99	100	SHCBP1
100	101	PLA2G4C
101	102	SLC35F6
102	103	TEKT3
103	104	LOC101927151
104	105	TARP
105	106	LOC100996696
106	107	LOC100507387
107	108	LINC01091
108	109	LIMA1
109	110	LCP2
110	111	LAMA2
111	112	LAGE3
112	113	L1CAM
113	114	KRT8
114	115	KRT7
115	116	KLRC2
116	117	KLRC1
117	118	KLK8
118	119	KLK7
119	120	KLK6
120	121	KLHL6
121	122	KLF4
122	123	KLF2
123	124	KL
124	125	KIFC1
125	126	KIF5C
126	127	KIF2C
127	128	SCRIB
128	129	SERPINA6
129	130	SERPINA3
130	131	KIF23
131	132	KIF22
132	133	SELPLG
133	134	PDLIM5
134	135	KIF20A
135	136	SCO2
136	137	KIF18B
137	138	NBEA
138	139	PDSS1
139	140	PLXNA1
140	141	NDC80
141	142	TPBG
142	143	TPPP3
143	144	PLXNA3
144	145	TPX2
145	146	TRGC2
146	147	SCNM1
147	148	SCN1A
148	149	KIF15
149	150	KIF14
150	151	TRGV9
151	152	SAT1
152	153	TRIM22
153	154	TRIM23
154	155	KIF11
155	156	TROAP
156	157	NXF3
157	158	KIAA0319
158	159	SCIN
159	160	PAMR1
160	161	SAXO2
161	162	OR7E37P
162	163	SATB1
163	164	PAFAH1B3
164	165	NSD2
165	166	RSPH10B2
166	167	SAC3D1
167	168	RSRC1
168	169	RUSC1
169	170	RUNX1T1
170	171	KCNG1
171	172	RUBCN
172	173	JPT1
173	174	ITPA
174	175	ITGAL
175	176	ITCH
176	177	IP6K2
177	178	NUF2
178	179	TSGA10
179	180	TTC25
180	181	RNF181
181	182	IMP4
182	183	IL7
183	184	TENT5A
184	185	IL6ST
185	186	IL33
186	187	TTC29
187	188	TTK
188	189	ORC6
189	190	RNFT2
190	191	TUBA4B
191	192	TUBG1
192	193	UBE2C
193	194	RSPH10B
194	195	PFDN4
195	196	USP19
196	197	VAX2
197	198	IL2RB
198	199	IL15RA
199	200	RPL39L
200	201	VNN1
201	202	RRAD
202	203	IFT88
203	204	IFT57
204	205	ICA1
205	206	HSPB8
206	207	HSPA4L
207	208	HRASLS
208	209	HOXA-AS2
209	210	HOMER3
210	211	HMMR
211	212	HJURP
212	213	RNASEH2A
213	214	RFC4
214	215	VNN2
215	216	HIST3H2A
216	217	VNN3
217	218	RHBDL2
218	219	RIPOR2
219	220	HIPK1
220	221	HHATL
221	222	HGH1
222	223	RGS22
223	224	HGF
224	225	HELLS
225	226	HAND2-AS1
226	227	REEP1
227	228	PSRC1
228	229	PTTG1
229	230	TMEM232
230	231	RECQL4
231	232	PCLAF
232	233	RBM15
233	234	PFKM
234	235	VWA3B
235	236	RAD54L
236	237	GTSE1
237	238	GSTA3
238	239	VWA5A
239	240	RAD51AP1
240	241	WDR12
241	242	WDR17
242	243	WDR49
243	244	RAE1
244	245	WDR66
245	246	GPR19
246	247	GPR137
247	248	GPI
248	249	GNGT1
249	250	GMPS
250	251	GLE1
251	252	RAB36
252	253	RAD51
253	254	RACGAP1
254	255	GLDC
255	256	GK
256	257	GINS2
257	258	GINS1
258	259	PZP
259	260	GGH
260	261	G0S2
261	262	FSCN1
262	263	PTGS2
263	264	FOXRED1
264	265	FOXM1
265	266	PSMB2
266	267	FMO3
267	268	FLAD1
268	269	FKBP1A
269	270	WDR86-AS1
270	271	XPO4
271	272	XPO5
272	273	FHOD3
273	274	FGF2
274	275	PRSS8
275	276	FBXL13
276	277	FANCI
277	278	ZBBX
278	279	PRC1
279	280	ZBED3-AS1
280	281	PRELID1
281	282	ZFP36
282	283	PRMT1
283	284	ZHX1-C8orf76
284	285	PLAC8
285	286	FANCA
286	287	FAM189B
287	288	FAM185A
288	289	FAM162A
289	290	POU2AF1
290	291	PRAME
291	292	PPFIA1
292	293	PPFIA4
293	294	FAM153C
294	295	FAM153B
295	296	FAM153A
296	297	FAM149A
297	298	FAM13C
298	299	FADS2
299	300	FABP6
300	301	ZNF204P
301	302	ZNF467
302	303	POLR2J
303	304	FABP5
304	305	F5
305	306	USP5
306	307	POLQ
307	308	EZH2
308	309	POLE2
309	310	PMM2
310	311	EYA1
311	312	EXO1
312	313	ETS2
313	314	ESPL1
314	315	EPHB3
315	316	EPB41L3
316	317	EP300-AS1
317	318	ENPP2
318	319	EGR3
319	320	EGR1
320	321	EFNA4
321	322	EFHC2
322	323	EFHC1
323	324	EFCAB6
324	325	EFCAB1
325	326	PEA15
326	327	NCBP2
327	328	ZNF516
328	329	PFDN2
329	330	E2F1
330	331	DZIP3
331	332	DUSP1
332	333	DTL
333	334	DTHD1
334	335	DRC3
335	336	DPYD
336	337	DPP3
337	338	DNMT3A
338	339	DNAJC11
339	340	PARPBP
340	341	PCK2
341	342	DNAJB14
342	343	DNAI2
343	344	DNAI1
344	345	DNAH9
345	346	DNAH7
346	347	DNAH6
347	348	DNAH11
348	349	DNAAF1
349	350	PABPC4
350	351	PACRG
351	352	DNA2
352	353	DMD
353	354	DLGAP5
354	355	DLEC1
355	356	DLC1
356	357	DIXDC1
357	358	DGAT1
358	359	DEPDC1
359	360	DDX39A
360	361	OGN
361	362	OGDHL
362	363	DDX12P
363	364	DDX11
364	365	DBN1
365	366	CYB5D1
366	367	CXorf57
367	368	CXCL2
368	369	CXCL12
369	370	CWH43
370	371	NUDT1
371	372	CTSS
372	373	CTGF
373	374	CSTF1
374	375	CRISP3
375	376	CRISP2
376	377	NR2F6
377	378	CRABP2
378	379	NPM3
379	380	NME5
380	381	NMU
381	382	CPNE1
382	383	CPEB1
383	384	NFKBIZ
384	385	NINL
385	386	CORO2B
386	387	COL21A1
387	388	NDNF
388	389	NDUFS5
389	390	NDUFAF5
390	391	CNPY2
391	392	CNGA1
392	393	CLPB
393	394	CKS2
394	395	CIT
395	396	CIAO1
396	397	CHERP
397	398	CHEK2
398	399	CHCHD7
399	400	CFI
400	401	CFAP58
401	402	CFAP54
402	403	CFAP53
403	404	CFAP45
404	405	CFAP157
405	406	MYCL
406	407	NABP2
407	408	MYLK3
408	409	CEP55
409	410	CENPU
410	411	CENPN
411	412	CENPI
412	413	CENPF
413	414	MSH3
414	415	MUC13
415	416	CENPE
416	417	CENPA
417	418	CDKN2A
418	419	CDKN1A
419	420	CDK1
420	421	CDH6
421	422	CDCA8
422	423	CDCA4
423	424	CDCA3
424	425	CDC25C
