	0	1
0	1	ZNF516
1	2	ZNF467
2	3	ZHX1-C8orf76
3	4	ZNF668
4	5	ZNF204P
5	6	ZBBX
6	7	ZFP36
7	8	ZBED3-AS1
8	9	XPO4
9	10	UTP11
10	11	WDR86-AS1
11	12	WDR17
12	13	VNN2
13	14	VNN1
14	15	VAX2
15	16	WDR12
16	17	ZNF767P
17	18	XPO5
18	19	USP19
19	20	UBE2C
20	21	TUBG1
21	22	TTK
22	23	TTC29
23	24	TTC25
24	25	ZWINT
25	26	WDR49
26	27	WDR66
27	28	TSGA10
28	29	TRIM23
29	30	TRIM22
30	31	TRGV9
31	32	TPX2
32	33	TPPP3
33	34	TOP2A
34	35	VWA5A
35	36	TOMM40
36	37	VWA3B
37	38	TNNT1
38	39	VNN3
39	40	TNFAIP8L2-SCNM1
40	41	TMEM79
41	42	TMEM40
42	43	TMEM39B
43	44	TMEM232
44	45	TMEM183B
45	46	TMEM183A
46	47	TMC5
47	48	USP5
48	49	TM9SF4
49	50	TIMELESS
50	51	THBS3
51	52	TFPI
52	53	TCTN1
53	54	TCTEX1D1
54	55	TBX19
55	56	TUBA4B
56	57	TARP
57	58	TACC3
58	59	SYNGR3
59	60	SUB1
60	61	STMN1
61	62	SRD5A2
62	63	SQOR
63	64	SPDL1
64	65	SPAG8
65	66	SPAG6
66	67	TROAP
67	68	SPACA9
68	69	SOX3
69	70	SOX12
70	71	SORBS2
71	72	SOCS2
72	73	SNRPF
73	74	SNRPB
74	75	TRGC2
75	76	SMAD6
76	77	SLC9C2
77	78	SLC6A10PB
78	79	SLC6A10P
79	80	SLC5A6
80	81	TPBG
81	82	SLC4A3
82	83	SLC48A1
83	84	SLC43A3
84	85	SLC40A1
85	86	SLC39A4
86	87	SLC35F6
87	88	SLC29A3
88	89	SLC27A2
89	90	SLC22A4
90	91	SLC19A1
91	92	SIX2
92	93	SIDT1
93	94	SHCBP1
94	95	SGIP1
95	96	SETDB1
96	97	SERPINB1
97	98	SERPINA6
98	99	SERPINA3
99	100	SELPLG
100	101	SCRIB
101	102	SCO2
102	103	SCNM1
103	104	SCN1A
104	105	SCIN
105	106	SAXO2
106	107	SATB1
107	108	SAT1
108	109	SAC3D1
109	110	RUSC1
110	111	RUNX1T1
111	112	TEKT3
112	113	TENT5A
113	114	RUBCN
114	115	RSRC1
115	116	RSPH10B2
116	117	TEDC2
117	118	RSPH10B
118	119	RRAD
119	120	RPL39L
120	121	RPL10
121	122	RNFT2
122	123	TCF7
123	124	RNF181
124	125	RNASEH2A
125	126	RIPOR2
126	127	RHBDL2
127	128	RGS22
128	129	RFC4
129	130	REEP1
130	131	TACC1
131	132	RECQL4
132	133	RBM15
133	134	SYNE1
134	135	RAE1
135	136	RAD54L
136	137	RAD51AP1
137	138	RAD51
138	139	STX10
139	140	RACGAP1
140	141	RAB36
141	142	PZP
142	143	STIL
143	144	PTGS2
144	145	PSRC1
145	146	PSMB2
146	147	PRSS8
147	148	PRMT1
148	149	PRELID1
149	150	PRC1
150	151	PRAME
151	152	PPFIA4
152	153	PPFIA1
153	154	POU2AF1
154	155	SPAG5
155	156	POLR2J
156	157	POLQ
157	158	POLE2
158	159	PMM2
159	160	PLXNA3
160	161	PLXNA1
161	162	PLCH1
162	163	PLAC8
163	164	PLA2G4C
164	165	PFKM
165	166	PFDN4
166	167	PFDN2
167	168	PEA15
168	169	PDSS1
169	170	PDLIM5
170	171	PDE8B
171	172	PCLAF
172	173	PCK2
173	174	PARPBP
174	175	SLC6A8
175	176	PAMR1
176	177	PAK3
177	178	PAFAH1B3
178	179	PACRG
179	180	PABPC4
180	181	OSBPL2
181	182	ORC6
182	183	OR7E37P
183	184	OGN
184	185	OGDHL
185	186	NXF3
186	187	NUSAP1
187	188	NUF2
188	189	NUDT1
189	190	NSD2
190	191	NREP
191	192	NR2F6
192	193	NPM3
193	194	NMU
194	195	NME5
195	196	NINL
196	197	NFKBIZ
197	198	NDUFS5
198	199	NDUFAF5
199	200	NDNF
200	201	NDC80
201	202	NDC1
202	203	NCBP2
203	204	NCAPH
204	205	NCAPG
205	206	NBEA
206	207	NABP2
207	208	MYLK3
