	0	1
322	323	PLXNA3
323	324	EZH2
324	325	PLXNA1
325	326	F5
326	327	PLCH1
327	328	FABP5
328	329	PLAC8
329	330	FABP6
330	331	PLA2G4C
331	332	FADS2
332	333	PFKM
333	334	FAM13C
334	335	PFDN4
335	336	FAM149A
336	337	PFDN2
337	338	FAM153A
338	339	PEA15
339	340	FAM153B
340	341	PDSS1
341	342	FAM153C
342	343	PDLIM5
343	344	FAM162A
344	345	PDE8B
345	346	FAM185A
346	347	PCLAF
347	348	FAM189B
348	349	PCK2
349	350	FANCA
350	351	PARPBP
351	352	FANCI
352	353	PAMR1
353	354	FBXL13
354	355	PAK3
355	356	FGF2
356	357	PAFAH1B3
357	358	FHOD3
358	359	PACRG
359	360	FKBP1A
360	361	PABPC4
361	362	FLAD1
362	363	OSBPL2
363	364	FMO3
364	365	ORC6
365	366	FOXM1
366	367	OR7E37P
367	368	FOXRED1
368	369	OGN
369	370	FSCN1
370	371	OGDHL
371	372	G0S2
372	373	NXF3
373	374	GGH
374	375	NUSAP1
375	376	GINS1
376	377	NUF2
377	378	GINS2
378	379	NUDT1
379	380	GK
380	381	NSD2
381	382	GLDC
382	383	NREP
383	384	GLE1
384	385	NR2F6
385	386	GMPS
386	387	NPM3
387	388	GNGT1
388	389	NMU
389	390	GPI
390	391	NME5
391	392	GPR137
392	393	NINL
393	394	GPR19
394	395	NFKBIZ
395	396	GSTA3
396	397	NDUFS5
397	398	GTSE1
398	399	NDUFAF5
399	400	HAND2-AS1
400	401	NDNF
401	402	HELLS
402	403	NDC80
403	404	HGF
404	405	NDC1
405	406	HGH1
406	407	NCBP2
407	408	HHATL
408	409	NCAPH
409	410	HIPK1
410	411	NCAPG
411	412	HIST3H2A
412	413	NBEA
413	414	HJURP
414	415	NABP2
415	416	HMMR
416	417	MYLK3
417	418	HOMER3
418	419	MYCL
419	420	HOXA-AS2
420	421	MYBL2
421	422	HRASLS
422	423	MUC13
423	424	HSPA4L
424	425	MSH3
425	426	HSPB8
426	427	MRPS15
427	428	ICA1
428	429	MRPL47
429	430	IFT57
430	431	MRPL30
431	432	IFT88
432	433	MROH9
433	434	IL15RA
434	435	MRGBP
435	436	IL2RB
436	437	MOSPD3
437	438	IL33
438	439	MMP15
439	440	IL6ST
440	441	MLLT3
441	442	IL7
442	443	MLF2
443	444	IMP4
444	445	MIR7112
445	446	IP6K2
446	447	MIR3917
447	448	ITCH
448	449	MIR22HG
449	450	ITGAL
450	451	MIR22
451	452	ITPA
452	453	MIR1178
453	454	JPT1
454	455	MFAP2
455	456	KCNG1
456	457	MEST
457	458	KIAA0319
458	459	MEOX1
459	460	KIF11
460	461	MELK
461	462	KIF14
462	463	MEGF11
463	464	KIF15
464	465	MCM6
465	466	KIF18B
466	467	MCM4
467	468	KIF20A
468	469	MCM2
469	470	KIF22
470	471	MBD3L1
471	472	KIF23
472	473	MAST4
473	474	KIF2C
474	475	MARCKSL1
475	476	KIF5C
476	477	MAPK10
477	478	KIFC1
478	479	MAP3K19
479	480	KL
480	481	MAN2A1
481	482	KLF2
482	483	MAL
483	484	KLF4
484	485	MAK
485	486	KLHL6
486	487	LZTS3
487	488	KLK6
488	489	LXN
489	490	KLK7
490	491	LTBP2
491	492	KLK8
492	493	LRRC43
493	494	KLRC1
494	495	LRRC36
495	496	KLRC2
496	497	LPCAT1
497	498	KRT7
498	499	LOC728196
499	500	KRT8
500	501	LOC642846
501	502	L1CAM
502	503	LOC101928817
503	504	LAGE3
504	505	LOC101928635
505	506	LAMA2
506	507	LOC101927151
507	508	LCP2
508	509	LOC100996696
509	510	LIMA1
510	511	LOC100507387
511	512	LINC01091
512	513	LOC100288637
513	514	LITAF
514	515	ABCC1
515	516	ABCA8
516	517	ABCA13
