GSM1701033	GSM1701034	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044	GSM371141	GSM371142	GSM371143	GSM371145	GSM371645	GSM371648	GSM372253
AASS	0.469393100071035	1.3956575513681	0.906600858789377	1.08931914599395	1.62448548157977	1.96821191126906	1.98772850503453	-0.805895541178898	-0.336056843191391	-0.785177829329318	-0.684542610699519	-0.832709352356702	-0.236928703084911	-0.453613569232295
ABCA8	0.827312522363773	-0.574158163665212	1.32252531371629	1.56293099166706	1.842379258713	1.71368615581959	1.94814008211248	-0.756619936741858	0.395981647178427	-0.723358543915971	-0.178214410156691	-0.546149420380368	-0.219521525753948	-0.556621479485716
ACKR4	-0.924023256565477	-0.62409080142782	2.84249021329509	1.76291268464187	3.06858228745507	1.73816204738741	0.0949269688367619	-0.3900589224139	-0.362750955758443	-0.209257128111617	0.779253890474466	-0.557809019322944	-0.510732834616756	-0.732517308539832
ACOT7	-0.941013334471357	-0.566567951922001	-1.78075437381748	-1.70624063411508	-1.81751861410888	-1.96841339413084	-0.521827804471924	0.604285170018279	0.805515987108443	-0.204896888849114	1.59866135599882	2.16573935746339	1.18260382772917	1.23744765590539
ACTL6A	1.80493205684998	0.165935593020065	-0.475480437117207	-0.808301221168337	-1.62237728773203	-0.811208285724135	-0.564325556125883	0.179498755043693	0.799324192174811	-0.711814071032136	0.0938228997515244	1.14507263921783	0.941295747353643	1.14742842202553
ACTR2	-0.400515210724096	-0.677917389659762	-1.38762331150627	-1.59636140649223	-1.14584507123443	-1.32033665050717	-1.04568031470835	0.903894983995496	1.75165915085687	1.20161083113983	1.08947921439196	1.33173460587469	1.05426390793451	0.533860394585273
ACVR2B	-0.686870199442927	1.23948034568997	-0.611337555237925	-1.25167971843224	-0.0285066827504085	-0.0343478228321846	-1.42162816789349	0.746833075034257	0.868225781781898	0.481618742942772	0.301421551001655	0.873624993958498	0.931444036222964	0.532593833946821
ADGB	-0.6761203083999	-0.650627688659979	2.52242426370303	2.02983839600914	2.58722851206735	1.9475526673659	0.435080126619908	-0.332696462034503	-0.382405485031007	-0.331645294299049	-0.382405485031007	-0.586602164596647	-0.303248106857315	-0.396286415877168
ADRB2	-1.15894372287441	-1.13854159333951	2.58431574132268	2.91263889994909	1.6279423057985	0.745998861355336	0.661167090112142	-0.252032361477629	0.29880244579547	0.193848801216014	-0.15720618595037	-0.459069973701124	-0.303827165450242	-0.403140624805078
AGBL2	-0.200886220563659	-0.602597076171502	2.32434150392221	1.84733115799263	2.43190114198977	1.86688393597107	0.744511889798878	-0.918928752419106	-0.476848394873632	-0.186540824299753	-0.627589089704732	-1.26631163982685	-0.399186159466237	-0.194378698007785
AGMAT	-0.803939001835413	0.0187801924006855	-1.65881967622002	-0.00597554574363407	-0.821844953111834	-0.942183015820158	-0.000867052321480355	1.83937759358207	1.45007425718167	0.814649742417621	-0.139658666968759	1.96384888817242	0.913442168912272	0.621225506581341
AGR2	-0.0718482689992123	-0.993540193761222	2.08392976230689	2.45062110212648	1.76930486006202	1.31151836190139	1.05397235277313	-0.714699616575668	-0.0780034210688703	-0.538099240982693	-0.893555927122121	-0.14194910764538	-0.704818085697486	-0.67056508730741
AIF1L	0.496080457903617	0.0274154722864722	-1.15929751613633	-0.932153333479374	-1.07127922558344	-0.143319730082503	0.322662475495914	0.178766972100164	0.117730868263195	0.583526894436577	0.456051106789216	0.264883766995341	0.847129383113377	0.613717813989814
ALDH1A1	0.339816369033243	-1.61889641411794	1.03988819322175	1.2758685687377	0.965465384704793	1.14081396988533	0.994554168760446	-1.12385687139116	-0.140299942175369	-0.529261985181805	-0.61449778384937	0.72405755053523	-0.999497243718014	-1.10312707865448
ALDH1A2	-0.936075539240758	0.309475344823594	1.40112380265518	1.28892842750225	1.42670084578221	1.36316054156673	1.7386470588577	-0.96298309706268	0.12042182983531	-0.913931594959125	-0.566601584028965	-0.419153211138226	-0.721951435600615	-1.34679503476037
ALDH1A3	-0.770836871642445	-0.544914188171	2.15734264030822	1.62246987272575	0.485919139954436	1.36960280949683	1.13957906111208	-0.672834865420921	0.175367205529578	-0.516368174480571	-0.108398318297564	0.66442078773749	-0.162047657127814	-1.65346602369616
ANKFN1	-0.487306671653265	-0.72149718174513	2.28869488355745	2.37476888898349	1.81403853131313	1.51164507014168	-0.409812782717388	-0.379603452836529	-0.531184497468822	0.146706815544333	-0.680930505651513	-0.179211105103449	-0.323305371805845	-0.354892464463433
ANLN	1.5796379541643	-1.52157611335049	-1.68274600598762	-1.08205349615987	-1.6789742432207	-1.60388697789946	-1.78169865119719	0.438889672899986	0.90572307647656	0.00683753778845467	0.734964275025796	0.996116268852022	0.391749845980628	0.23735326579423
ANXA8	-0.6948945373446	-1.06501864392976	1.18508319757002	1.06016474962881	1.41704336151511	-0.852114498301427	-0.273951778633559	-0.773217860456765	-0.404651505473297	-0.602957812543606	0.145820555470986	-0.838691346319244	-0.689161490949805	-0.259895280621311
ANXA8L1	-0.6948945373446	-1.06501864392976	1.18508319757002	1.06016474962881	1.41704336151511	-0.852114498301427	-0.273951778633559	-0.773217860456765	-0.404651505473297	-0.602957812543606	0.145820555470986	-0.838691346319244	-0.689161490949805	-0.259895280621311
ARHGAP10	0.316419863603908	0.0467858049892766	0.283468480596588	1.17870608131248	1.1936059893567	1.55123879982829	2.33016607253269	-1.19361878388954	-0.804439225587268	-0.464738067724307	-0.623898913129192	-1.35875289696464	-0.662068046596065	0.573356998955621
ARHGAP11B	0.39506413926047	-0.721224485361661	-1.59331600342754	-1.66254584725655	-1.43901543675913	-0.876727021332101	-0.888648045230619	1.37081159739954	1.1449888395355	0.603698132369519	0.545223079054823	0.306168959607442	0.0826286120628827	0.87845638865011
ARHGAP44	-0.53119298661385	0.742998331325013	1.75019748228009	1.36515861470552	1.76605515467741	2.11455211234147	1.90164372183736	-0.365179032639014	-0.887690189957751	-1.35936816916441	-0.665722226173644	-0.552604274425792	-0.540705298865149	0.0215949139738944
ARHGEF6	0.874720041800954	-2.29025086094133	1.81112609228938	1.51809012072024	0.957877448599228	0.417542079199996	3.48214735693075	-0.638438016807706	0.259491438815918	0.74513503876816	-0.0197507564961916	-0.79885565724889	-0.591458405833958	-0.679100821195672
ARMC4	-1.14126999368899	-0.822529657314972	2.29657117953221	2.71735583590156	2.25053090872263	0.414085149628839	-0.570453966457085	-0.308863534017993	0.100572182857303	0.00180373282296648	-0.259353966884795	-0.172877000050251	-0.4208550549828	-0.255577189573117
ASPM	1.80809102382295	-1.09297255872324	-1.55779127204169	-1.60320514001641	-1.68492966211525	-1.35339601574462	-0.975003083321957	0.200091915085337	0.442777470083923	-0.301285253938443	0.561006336856002	0.785967620758614	1.17931615914456	1.07975853117767
