GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044	GSM371112	GSM371113	GSM371141	GSM371142	GSM371143	GSM371144	GSM371145	GSM371146	GSM371642	GSM371643	GSM371645	GSM371647	GSM371648	GSM371649	GSM371651	GSM371653	GSM371654	GSM371655	GSM371656	GSM372253	GSM372255	GSM372258	GSM372259	GSM372260	GSM372261	GSM372262	GSM372263	GSM372264
Label	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
AASS	-0.104092767769464	-0.119177186661327	-0.664995766265406	0.611072452810346	0.797561844737887	-1.11917349623709	-1.40376419608736	-0.224708021617947	0.469393100071035	1.3956575513681	1.95806298202458	1.69895353161714	0.770503041526487	0.380456628327625	1.71001894447955	0.906600858789377	1.08931914599395	1.62448548157977	1.96821191126906	1.98772850503453	-0.357775033610154	-0.846307972528315	-0.805895541178898	-0.336056843191391	-0.785177829329318	-0.833054977428483	-0.684542610699519	-1.45145628669009	-1.37942835798161	-0.568823200422479	-0.832709352356702	-0.523295315125219	-0.236928703084911	-0.521238126947025	-0.836172779792977	-1.26117893416472	-0.0723388240903161	-0.907112038363285	-0.477349309864894	-0.453613569232295	-1.7124539641909	-0.140104428631104	-0.196452433677621	0.0490381500998534	0.420672345493187	0.970541902868471	0.536984514039933	0.510114975089928
ABCA8	-0.887030926953487	-1.16499576498772	-1.35908148477074	-0.978052147194161	-1.20245122030745	-0.927042930144438	-0.660242135371506	-0.187763231790995	0.827312522363773	-0.574158163665212	1.59302791766431	0.143875584830696	0.56905609834212	-0.161800969634864	1.79830924302803	1.32252531371629	1.56293099166706	1.842379258713	1.71368615581959	1.94814008211248	-0.742686825184579	-0.803816381401538	-0.756619936741858	0.395981647178427	-0.723358543915971	-0.750867892052495	-0.178214410156691	-0.826017790545486	-0.630944978819359	-0.708663882226026	-0.546149420380368	-0.710015299182814	-0.219521525753948	-0.511737311011981	-0.750444719541743	-0.610796309052917	-0.694246305127459	-0.094523711797978	-0.70272725002607	-0.556621479485716	-0.797434079567671	0.979556616353709	1.08560074173838	0.650059858022466	0.915034538836448	1.74464637693178	1.63065255735566	-0.304748477880969
ACKR4	-0.813343521503286	-1.14782251634796	-1.10889611327881	-0.868738504764609	-0.861455879610461	-0.809727929600318	-0.317933943156395	-0.912177048948436	-0.924023256565477	-0.62409080142782	1.88318255676376	1.51675113591481	0.979674065515428	0.37573793996726	1.73785339929813	2.84249021329509	1.76291268464187	3.06858228745507	1.73816204738741	0.0949269688367619	-0.397451137498785	-0.612423770726326	-0.3900589224139	-0.362750955758443	-0.209257128111617	0.0513530802083133	0.779253890474466	-0.209507213668924	-0.210257981385888	0.33729558791113	-0.557809019322944	-0.244861867980578	-0.510732834616756	-0.838110087837623	0.185483032332267	-0.405571401369792	-0.51754781146068	-0.494703954011221	-0.404266114342708	-0.732517308539832	-0.246701359311609	-0.443437554070994	-0.216291896117093	-0.450000536191022	-0.138284537989741	0.600998512634709	-0.285878832086878	-0.688025662619555
ACOT7	0.404831856063391	1.17284603150255	-0.420252280951142	1.01237077947	0.448370925729573	0.0878974558381794	-0.200820999885694	-0.709674493189016	-0.941013334471357	-0.566567951922001	-1.19705872110522	-0.731725530627708	-0.871773076913866	-1.37184368892246	-1.1495316978597	-1.78075437381748	-1.70624063411508	-1.81751861410888	-1.96841339413084	-0.521827804471924	1.28700559307844	1.10581137765235	0.604285170018279	0.805515987108443	-0.204896888849114	0.0725097836311405	1.59866135599882	0.777895119463966	0.275213115486613	-0.200433476969521	2.16573935746339	0.673279697415987	1.18260382772917	1.03324347017001	-0.213959618437958	0.131885937644083	-0.300743794299612	1.85659082626595	-0.404163485809582	1.23744765590539	0.949975388821413	-0.421177991788547	-0.296975977885591	-0.698513907544443	-0.687403483294913	-0.00179657969786836	-0.228557147158227	0.729658235770611
ACTL6A	1.94370900377211	1.82559725732528	0.37662700208096	1.36300380495744	0.26785705858872	-0.509788154028523	0.23329892038608	-0.147733406185934	1.80493205684998	0.165935593020065	-0.811208285724135	0.0350305849512762	-0.234259406279311	-3.21531800972289	-0.838939721767653	-0.475480437117207	-0.808301221168337	-1.62237728773203	-0.811208285724135	-0.564325556125883	-0.0574411044465253	0.204990445413027	0.179498755043693	0.799324192174811	-0.711814071032136	-0.503585312344393	0.0938228997515244	-0.284245868359305	0.788898833484338	-0.026686742599595	1.14507263921783	0.878696281304641	0.941295747353643	0.243616128301828	0.358659342506041	0.320422893461528	0.50542273885046	0.041181526996354	-0.192573345296539	1.14742842202553	1.24850912226259	-1.62034688116241	-0.994221187297761	-1.47303785349386	-1.37406759443038	-0.599370297947585	-0.165450241159705	1.12894902106648
ACTR2	0.0922420950190904	-0.820080042032888	-0.303582446611535	0.0178342473929816	-0.378845556854036	-0.546125921855938	-0.772311374216296	-0.00827376931793361	-0.400515210724096	-0.677917389659762	-1.04568031470835	-1.46690165466362	-1.42676733104388	-1.52110729901411	-0.930850055002233	-1.38762331150627	-1.59636140649223	-1.14584507123443	-1.32033665050717	-1.04568031470835	0.622384352187464	0.627277405143888	0.903894983995496	1.75165915085687	1.20161083113983	0.407301574489601	1.08947921439196	-0.322482453588615	1.42390438664542	0.129822679571689	1.33173460587469	1.11384091321575	1.05426390793451	1.02679692342877	0.22400229911986	1.64659261787673	0.408361705363817	1.12844542551487	1.13279132496965	0.533860394585273	1.54600713379938	-0.648613415852776	-1.01092975516458	-0.346269652706868	-1.12316743952191	0.180522939210841	-0.529551369678662	1.18118809493808
ACVR2B	2.04212959804184	1.55593607916954	-0.505909764581606	-0.788486885586874	0.966708679510505	-1.99338960114407	1.11767821152572	1.07981613302844	-0.686870199442927	1.23948034568997	-1.32355446835653	-0.954298658793491	-0.788486885586874	-2.07081822196578	-1.19646658120024	-0.611337555237925	-1.25167971843224	-0.0285066827504085	-0.0343478228321846	-1.42162816789349	0.442622129473642	0.554821087753388	0.746833075034257	0.868225781781898	0.481618742942772	0.636878122612339	0.301421551001655	0.715408141110929	-0.0429876724330504	-0.148285241280529	0.873624993958498	-0.331906502181977	0.931444036222964	0.827732863385788	0.205221773238541	0.0934977473235747	1.67215329148244	-0.929771005930923	-0.453769096631495	0.532593833946821	1.08292304577195	-1.21538450232318	-0.844182457925204	-1.3590202263849	-0.888379337853126	-0.372538723130872	0.0991772847357585	1.17405943113669
ADGB	-0.672230482686382	0.172886858440288	-0.62675135144289	-0.741920782053227	-0.740465714411188	-0.549587295551029	-0.448765989331364	-0.603110635974655	-0.6761203083999	-0.650627688659979	2.08203481395238	1.82542206087717	1.76165950866568	0.46527278019221	2.29753777242511	2.52242426370303	2.02983839600914	2.58722851206735	1.9475526673659	0.435080126619908	-0.315180283150962	-0.263337570395777	-0.332696462034503	-0.382405485031007	-0.331645294299049	-0.658674883890455	-0.382405485031007	-0.497681253257184	-0.539321331325142	-0.608573936898719	-0.586602164596647	-0.455936256395155	-0.303248106857315	-0.471837120185525	-0.479272059627075	-0.439600831194585	-0.56389413144077	-0.535435826579043	-0.51530828960148	-0.396286415877168	-0.335866099206775	-0.429834370243149	-0.557499306839777	-0.529040059654361	-0.561141369952414	-0.37446991946205	-0.224911031639192	-0.345252167141262
ADRB2	-1.52443464988963	-1.78785589529073	-0.14539001342806	0.0202119940120309	-1.96030583972749	-1.28572501161615	-1.38337895454621	-1.04431161890779	-1.15894372287441	-1.13854159333951	1.75609318193958	0.707060074777737	0.732220339846525	-1.3683843338811	0.749115853367613	2.58431574132268	2.91263889994909	1.6279423057985	0.745998861355336	0.661167090112142	-0.487422747913127	0.0819983005401189	-0.252032361477629	0.29880244579547	0.193848801216014	0.028234858199639	-0.15720618595037	0.104614371815532	0.124149162426482	0.0522978840984821	-0.459069973701124	-0.67091406279341	-0.303827165450242	-0.517126925726101	0.0746924631435988	-0.243703023281683	-0.12440083956343	0.644549291359664	-0.0350290347692609	-0.403140624805078	-0.51549322020388	1.38525829959686	0.285457577265991	0.456808203662689	0.425588781605309	0.343804498870544	0.0707244580895552	-0.100955941030768
