GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044	GSM371112	GSM371113	GSM371141	GSM371142	GSM371143	GSM371144	GSM371145	GSM371146	GSM371642	GSM371643	GSM371645	GSM371647	GSM371648	GSM371649	GSM371651	GSM371653	GSM371654	GSM371655	GSM371656	GSM372253	GSM372255	GSM372258	GSM372259	GSM372260	GSM372261	GSM372262	GSM372263	GSM372264
Lable	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
ALDH1A1	-0.536946295922178	-1.26453435963133	-1.42890145180375	-1.00504477230112	-1.44838389685889	-1.61739624610964	-0.381836819485181	-0.925055550911262	0.339816369033243	-1.61889641411794	0.266920047261567	1.65354902419541	1.64539021572922	0.695264071420594	0.635184974561927	1.03988819322175	1.2758685687377	0.965465384704793	1.14081396988533	0.994554168760446	-0.500644968704964	-0.998999348556385	-1.12385687139116	-0.140299942175369	-0.529261985181805	-0.650565734484115	-0.61449778384937	-0.896862442719908	-0.31054298291935	-0.376302741947766	0.72405755053523	0.327804136560066	-0.999497243718014	1.26093727835486	-0.748848905410822	-0.340494410557312	0.128257796131153	-0.0741076764432355	-0.668841746565869	-1.10312707865448	-0.299105793172821	1.28446426141035	0.924798059981115	0.658536048183168	0.861377974973252	1.65693458726267	2.1268825722699	-0.0039117895797175
ALDH1A2	0.426219117172135	-0.966262508349612	-0.01468669880535	-0.596862607909375	0.209386941602375	0.345086313085591	0.0837688250896606	-0.479749662843605	-0.936075539240758	0.309475344823594	1.54245542456792	1.62303446957862	1.70285623722064	0.482347569141701	1.3476742193773	1.40112380265518	1.28892842750225	1.42670084578221	1.36316054156673	1.7386470588577	-1.30737509962373	-0.273490805245324	-0.96298309706268	0.12042182983531	-0.913931594959125	-0.852375853578689	-0.566601584028965	-0.766137653490039	-0.774021579352764	-0.865722113045858	-0.419153211138226	-1.11106001352845	-0.721951435600615	-0.826453447101658	-0.963559537062242	-1.08928774887111	-1.04139159054772	-1.09895055807963	-0.884239646825703	-1.34679503476037	-1.15550670707372	0.682963389123692	0.780910000725833	0.464787160839177	0.598944618115987	1.53656118189401	1.46430434837508	-0.0051323388073939
CENPF	1.09377806656532	1.19802550023561	0.782481703113209	1.31795169462345	0.633296928907777	0.932006305961478	0.710224805016657	0.737817558153675	2.13158808856255	-0.189814687190432	-1.4364394152509	-0.398502790425946	-0.977197652643703	-1.46243963808129	-0.937664253860335	-1.13514467518895	-1.2059356458066	-1.16823465637186	-1.26368652516872	-0.528757110233342	0.50177427131809	0.188765035922492	0.480554029155118	0.710936529605914	0.118547605358413	0.54827838589636	-0.0180298218892989	0.523199802859377	-0.842297675810812	-0.270296472704744	1.17563289069716	0.528178650877204	0.497249632118798	0.379385352562108	0.348695662112644	0.582634163098995	0.968457095727377	0.461837541937945	-0.257080229288994	1.05900943735351	1.0969938908939	-1.28443760133174	-1.67611652897951	-1.07594726400641	-1.76886675668717	-1.19563634760425	-1.74388352682202	1.12910864671191
CRABP2	0.320899752167415	0.838969100818337	0.192822694039628	0.376849203875869	0.450340666360944	0.22453626669477	0.454949559272765	0.563979661999663	1.04718446018838	0.678590601041554	-1.2881133605191	-0.957848559771595	-0.844052799067848	-0.726808206933489	-1.16732587791511	-1.11258351720737	-1.16821943878577	-1.41711533253056	-1.23956321987997	-1.17175449100215	0.374902021938393	0.116956505074065	0.315084426619227	0.80676804981004	0.160247076935028	0.539984076281066	1.38160600709366	0.92742513116342	0.916065903816055	0.754335676362152	0.885953359730865	0.363501372587947	1.27434532788578	1.20101416334105	0.538435115010146	0.803711258867251	0.625914727245667	-0.25113674371991	0.102891506956111	1.50187292873944	1.07996865391837	-1.71313887736749	-1.63492676087586	-1.5968451660215	-1.78248329704484	-1.61448244062929	-1.25476871816175	1.12106155159856
HBB	0.904902110393384	-0.404666777153999	-0.727761644881229	-0.708404984432499	-1.08765239661459	-1.10917630087359	-0.46349968233371	-0.68580083403754	-0.981146879147303	-0.68258710178306	0.193397992943452	-0.688082853999755	0.943885492824833	1.67933056526297	-0.565029316037233	-0.51107102154604	1.79027184342605	-0.0556527537020824	0.346455367332259	1.64967780883088	-0.205181637355554	-0.35758769065466	-0.452723684264527	-0.376380942547331	-0.565928936301444	-0.564227173348687	-0.567472331410731	-0.0508642857157878	-0.464629514579137	-0.490757658489251	-0.62154735840837	-0.276855339847328	-0.358840350865973	-0.3865059703538	-0.190971310136498	-0.479028072227001	-0.294046384071448	-0.641032896172316	-0.522259161103931	-0.332665823495948	-0.359736533248308	0.434946097443699	0.092243140391004	2.107319127139	1.62961779693684	2.92838323191777	3.07915897553954	-0.549813949241015
KRT7	0.921624663457395	1.28577813014205	1.25003943016512	0.748620119609528	0.171360620298331	0.537186866109043	1.17110987455508	-0.519806095447894	0.307978450633944	0.905394184909995	-0.57295827542624	-2.13357831458351	-1.2224110035966	-2.41896799656252	-0.769879039752032	-1.53329926468629	-0.90812443896705	-1.82799472243411	-0.897530171168701	-0.0233900521882539	0.296689482090642	1.30311343212613	0.544112257710217	0.60797130797109	0.233352371939596	0.90460865602299	1.0503105855817	-0.693982108218429	0.513635510841549	0.81089368168253	0.435172909882342	1.11887748104319	-0.812108793693204	-0.206787906585454	-0.42212407970905	1.51671551317981	0.146628157685742	0.586666684866814	-0.338916172052286	0.814459782963656	0.444086097873216	-1.83835383805421	-0.91954951904827	-1.11156238129687	-0.688997756958481	-0.124276628710806	0.0914333765656046	1.26677892923296
LAMA2	0.381512491586153	0.0384778027554464	-0.661281494759424	-0.0863636790446132	-0.135285659015026	-1.08889665512299	-0.569723722506412	0.0790917218051246	0.451969259553761	-0.350038005416554	1.66635778911086	1.2392646396547	1.24607283824993	0.304328399952642	1.60596627371005	1.44492958490754	1.41368245312601	1.68310625174575	1.78049437117588	2.56878965949384	-0.26354931368633	-0.950579266848929	-0.859443108980438	-0.023617178893288	-1.16256193566223	-1.08086857547963	0.539757035461407	-1.21194199476864	-1.03561796605676	-0.870975489912523	-0.27991849822503	-1.2580495541166	-0.79039054237706	-0.461253929383511	-0.730405526777098	-1.29435083692307	-0.629137845803321	-0.175432473896092	-0.815237500311611	-0.28428243684163	-0.866340808128645	-0.162338660934557	0.929675528486773	0.289096790983754	0.370333090800426	-0.216521047737203	1.49545865004798	-1.21396092499881
LOC101928635	0.426219117172135	-0.966262508349612	-0.01468669880535	-0.596862607909375	0.209386941602375	0.345086313085591	0.0837688250896606	-0.479749662843605	-0.936075539240758	0.309475344823594	1.54245542456792	1.62303446957862	1.70285623722064	0.482347569141701	1.3476742193773	1.40112380265518	1.28892842750225	1.42670084578221	1.36316054156673	1.7386470588577	-1.30737509962373	-0.273490805245324	-0.96298309706268	0.12042182983531	-0.913931594959125	-0.852375853578689	-0.566601584028965	-0.766137653490039	-0.774021579352764	-0.865722113045858	-0.419153211138226	-1.11106001352845	-0.721951435600615	-0.826453447101658	-0.963559537062242	-1.08928774887111	-1.04139159054772	-1.09895055807963	-0.884239646825703	-1.34679503476037	-1.15550670707372	0.682963389123692	0.780910000725833	0.464787160839177	0.598944618115987	1.53656118189401	1.46430434837508	-0.0051323388073939
RUNX1T1	-1.37007956212804	-1.43590025291076	-1.17012256352695	0.582510206501373	-1.05874300728862	-1.0637026182642	-1.23049977884865	-1.14302615234325	-0.843151137502287	-0.724725304694983	0.852695598932082	0.783593702107595	1.16368437617261	1.29478141019193	1.09598871050889	1.56640327531374	-0.295492143829184	0.765025402479484	0.437146730544655	1.06905106735947	-0.719009981997975	-0.76619552237387	-0.444580859857905	0.363207049668681	-1.01764978656095	-0.583195326433925	0.822442467830108	-1.27883397783867	-1.14593506821128	0.463798927226662	-0.498405676343362	-0.674597162718875	0.389273843618825	-0.85412737334224	-0.259671777680721	0.66674963424028	-1.00048136784868	0.107623171575368	-1.1086208603766	1.14791018275793	-0.525432318094591	1.2053708199744	1.05959760410567	0.708377360655494	0.907270736323394	2.10092137405153	1.99958341730767	-0.340827488431271
