"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TTK",-1.84978307308823,-4.9960036108132e-17,-7.2540756905926,1.04780928078718e-12,4.19123712314874e-11,19.1131320227963
"UBE2C",-1.81156801484226,-8.32667268468867e-18,-7.1042122125071,2.9137963425144e-12,5.8275926850288e-11,18.0465514884767
"ZHX1-C8orf76",-1.78206310361639,-7.04991620636974e-16,-6.98850628872042,6.34027865091114e-12,7.20449333006716e-11,17.2383017746175
"ZBBX",1.7771746689061,-5.78703751585863e-16,6.96933589197883,7.20449333006716e-12,7.20449333006716e-11,17.1056709185395
"WDR66",1.74837953846018,4.02455846426619e-16,6.85641343160273,1.52020937633295e-11,1.21616750106636e-10,16.331807711496
"TPX2",-1.72591590791552,4.9960036108132e-17,-6.76832046620197,2.70276018477253e-11,1.59922027085433e-10,15.7368796600495
"TROAP",-1.72454720194453,2.48412401759879e-16,-6.76295297373423,2.79863547399508e-11,1.59922027085433e-10,15.7008794278128
"VNN1",1.70183636750263,5.10008701937181e-16,6.67389057802154,4.97355760872736e-11,2.48677880436368e-10,15.1076989873729
"VNN2",1.69575306256188,-3.64291929955129e-17,6.65003439989384,5.79539840574791e-11,2.57573262477685e-10,14.9501454218488
"TUBA4B",1.68051200354209,-7.53563877964325e-16,6.59026533975766,8.48398697875207e-11,3.1358367835229e-10,14.5578895693826
"TTC29",1.67985689356415,1.90125692967058e-16,6.58769627237091,8.62355115468797e-11,3.1358367835229e-10,14.5411085274557
"ZWINT",-1.67612693441712,2.70616862252382e-17,-6.57306893234975,9.46210209390378e-11,3.15403403130126e-10,14.4456880277733
"VWA3B",1.66845257507474,8.06386207807819e-16,6.54297330418864,1.14464111129724e-10,3.52197265014534e-10,14.2500283169434
"WDR49",1.62966073641976,-4.71844785465692e-17,6.39084793453073,2.96265406508644e-10,7.26828536489638e-10,13.2747609580382
"TPPP3",1.62952288129355,3.25434124093249e-16,6.39030732437247,2.97258287440598e-10,7.26828536489638e-10,13.2713360453784
"USP19",-1.6281038426281,-7.48012762841199e-16,-6.38474244812467,3.07669841389773e-10,7.26828536489638e-10,13.2360978791322
"VNN3",1.62793900839769,-1.46757606067638e-16,6.38409603720157,3.08902128008096e-10,7.26828536489638e-10,13.2320066361956
"TSGA10",1.61541273624093,-5.3707038816242e-16,6.33497323590227,4.18124901073544e-10,9.29166446830099e-10,12.9223120266834
"WDR12",-1.60459566512769,-2.43555176027144e-16,-6.29255320636068,5.42194606806626e-10,1.14146233011921e-09,12.6567998509056
"USP5",-1.60091134408306,7.79584730103977e-16,-6.27810483989274,5.92167570076368e-10,1.18433514015274e-09,12.5667730226853
"WDR86-AS1",1.58124788797831,7.9658502016855e-16,6.20099298769896,9.45212897442348e-10,1.72081852880997e-09,12.0897937439733
"ZNF467",-1.58099847527962,-1.06858966120171e-16,-6.20001489539139,9.50805853603643e-10,1.72081852880997e-09,12.0837815634095
"ZFP36",1.57813313630271,-7.69696806290909e-16,6.18877823412004,1.01742558384629e-09,1.72081852880997e-09,12.0147795951967
"VAX2",-1.57751062319533,2.38004060904018e-16,-6.18633699802865,1.03249111728598e-09,1.72081852880997e-09,11.9998050299675
"WDR17",1.57460019177091,-4.02455846426619e-17,6.17492350303446,1.10586817170354e-09,1.76938907472567e-09,11.9298729251389
"UTP11",-1.56785587740904,-4.5102810375397e-17,-6.14847512237082,1.29603736881615e-09,1.99390364433254e-09,11.7683163000577
"ZNF204P",1.56157690683216,1.52655665885959e-16,6.12385162543958,1.50158456166459e-09,2.22456972098458e-09,11.6185300915026
"ZNF668",-1.55500758827125,7.46624984060418e-16,-6.09808950512947,1.75066823649866e-09,2.50095462356951e-09,11.4624609720839
"XPO4",-1.53882892431502,-9.0205620750794e-17,-6.03464355050993,2.54878138173619e-09,3.31927589536061e-09,11.0809054291768
"XPO5",-1.53815879453296,-4.19803081186387e-16,-6.03201558173223,2.58855864127317e-09,3.31927589536061e-09,11.0651872427956
"TPBG",1.53771033426688,-6.69603261727048e-16,6.03025690810091,2.61551584527981e-09,3.31927589536061e-09,11.054672235569
"TRIM23",1.53704045498425,-2.692290834716e-16,6.0276299216772,2.65629364331558e-09,3.31927589536061e-09,11.0389713474043
"ZBED3-AS1",1.53572152627354,4.3229309021342e-16,6.022457634809,2.7384026136725e-09,3.31927589536061e-09,11.0080777846989
"TRGV9",1.53092124233736,1.38430933382949e-16,6.00363292854154,3.05868223700958e-09,3.49563684229666e-09,10.895863571999
"TRGC2",1.53092124233736,1.38430933382949e-16,6.00363292854154,3.05868223700958e-09,3.49563684229666e-09,10.895863571999
"ZNF767P",-1.52455402984258,-8.00921828858492e-16,-5.97866338370832,3.54040758541099e-09,3.93378620601221e-09,10.7475619608465
"ZNF516",1.51941132957394,2.4008572907519e-16,5.95849586377289,3.98282315232665e-09,4.30575475927206e-09,10.6282322272938
"TUBG1",-1.51768380111992,-4.10175365894716e-16,-5.95172121957518,4.14320040237769e-09,4.3612635814502e-09,10.5882376273684
"TRIM22",1.51327762384546,1.23963339593303e-15,5.93444203483177,4.58130854531606e-09,4.69877799519596e-09,10.4864347326114
"VWA5A",1.50288195013466,6.95971058561895e-16,5.89367454968718,5.80165768769896e-09,5.80165768769896e-09,10.2474199805657
