"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TTK",-1.84978307308823,-4.9960036108132e-17,-7.32591158887169,6.37741860026334e-13,2.55096744010534e-11,18.7096158471718
"UBE2C",-1.81156801484226,-8.32667268468867e-18,-7.16905411208305,1.87595144826664e-12,3.48215719472181e-11,17.6582791760613
"TOP2A",-1.79969187650894,-1.60288449180257e-16,-7.12038047419155,2.61161789604135e-12,3.48215719472181e-11,17.3360454856323
"ZHX1-C8orf76",-1.78206310361639,-7.04991620636974e-16,-7.04819302736916,4.25118630156238e-12,3.88973099812043e-11,16.8616522107571
"ZBBX",1.7771746689061,-5.78703751585863e-16,7.02818878281356,4.86216374765054e-12,3.88973099812043e-11,16.7309343000001
"TTC25",1.75098316446794,-8.05779054591227e-16,6.92110586494632,9.92332326378578e-12,6.08380401352523e-11,16.0367092665595
"WDR66",1.74837953846018,4.02455846426619e-16,6.91046989713304,1.06466570236692e-11,6.08380401352523e-11,15.9682638526078
"TPX2",-1.72591590791552,4.9960036108132e-17,-6.81877036349706,1.9454594553691e-11,8.96780218371301e-11,15.3819760806827
"TROAP",-1.72454720194453,2.48412401759879e-16,-6.81318690903951,2.01775549133543e-11,8.96780218371301e-11,15.3464996600705
"VNN1",1.70183636750263,5.10008701937181e-16,6.72060388002248,3.68159455268736e-11,1.47263782107494e-10,14.7619658180792
"VNN2",1.69575306256188,-3.64291929955129e-17,6.69582464899481,4.3194189136995e-11,1.57069778679982e-10,14.6067137740092
"ZWINT",-1.67612693441712,2.70616862252382e-17,-6.61593813015977,7.20542592055057e-11,2.40180864018352e-10,14.1096390435685
"VWA3B",1.66845257507474,8.06386207807819e-16,6.58472374844737,8.78784156963352e-11,2.70395125219493e-10,13.9168482987284
"TOMM40",-1.63193457894516,2.0122792321331e-16,-6.43636997385322,2.23333989733808e-10,5.81251195070055e-10,13.0116263582137
"WDR49",1.62966073641976,-4.71844785465692e-17,6.4271421529121,2.36533400767289e-10,5.81251195070055e-10,12.9559261087937
"TPPP3",1.62952288129355,3.25434124093249e-16,6.42658273833643,2.3735767858863e-10,5.81251195070055e-10,12.9525517020742
"VNN3",1.62793900839769,-1.46757606067638e-16,6.42015569435074,2.47031757904773e-10,5.81251195070055e-10,12.91380233305
"TSGA10",1.61541273624093,-5.3707038816242e-16,6.36934558737055,3.38371277436643e-10,7.51936172081428e-10,12.6086792486113
"TNNT1",-1.60558315459663,2.38351005599213e-16,-6.32949755539398,4.32423321076336e-10,8.86350161546586e-10,12.3708992507466
"WDR12",-1.60459566512769,-2.43555176027144e-16,-6.32549552049856,4.43175080773293e-10,8.86350161546586e-10,12.3470920963519
"USP5",-1.60091134408306,7.79584730103977e-16,-6.3105657640811,4.85641182295417e-10,9.25030823419842e-10,12.2583973001929
"WDR86-AS1",1.58124788797831,7.9658502016855e-16,6.23093315318194,7.88736351271506e-10,1.38012837443402e-09,11.7884852132282
"ZNF467",-1.58099847527962,-1.06858966120171e-16,-6.22992360858291,7.93573815299562e-10,1.38012837443402e-09,11.7825622170406
"ZFP36",1.57813313630271,-7.69696806290909e-16,6.21832654404908,8.51266544759057e-10,1.38292983524313e-09,11.7145840050641
"VAX2",-1.57751062319533,2.38004060904018e-16,-6.21580723446907,8.64331147026956e-10,1.38292983524313e-09,11.6998316566023
"WDR17",1.57460019177091,-4.02455846426619e-17,6.2040297935883,9.28051838799452e-10,1.42777205969147e-09,11.6309375280851
"ZNF204P",1.56157690683216,1.52655665885959e-16,6.1513508897938,1.27390377552854e-09,1.88726485263487e-09,11.3242200275979
"ZNF668",-1.55500758827125,7.46624984060418e-16,-6.12479141496008,1.49318545769317e-09,2.13312208241882e-09,11.1704720319108
"XPO4",-1.53882892431502,-9.0205620750794e-17,-6.05941939905741,2.20193170204368e-09,2.87248875220972e-09,10.7945981994756
"XPO5",-1.53815879453296,-4.19803081186387e-16,-6.05671279965969,2.23745737437513e-09,2.87248875220972e-09,10.7791142840479
"TPBG",1.53771033426688,-6.69603261727048e-16,6.05490155610089,2.26154281767337e-09,2.87248875220972e-09,10.7687560065725
"TRIM23",1.53704045498425,-2.692290834716e-16,6.05219612012779,2.29799100176778e-09,2.87248875220972e-09,10.7532891593882
"ZBED3-AS1",1.53572152627354,4.3229309021342e-16,6.04686963884248,2.37143376578268e-09,2.87446517064567e-09,10.7228561517042
"TRGV9",1.53092124233736,1.38430933382949e-16,6.02748670290361,2.6585345238309e-09,3.03832517009245e-09,10.6123153466281
"TRGC2",1.53092124233736,1.38430933382949e-16,6.02748670290361,2.6585345238309e-09,3.03832517009245e-09,10.6123153466281
"ZNF767P",-1.52455402984258,-8.00921828858492e-16,-6.00178386644877,3.09204548522675e-09,3.43560609469639e-09,10.4662265946021
"ZNF516",1.51941132957394,2.4008572907519e-16,5.98103001264629,3.49174583013164e-09,3.77486035689907e-09,10.3486784830122
"TUBG1",-1.51768380111992,-4.10175365894716e-16,-5.97405959407937,3.63697143712226e-09,3.82839098644448e-09,10.3092812229176
"TRIM22",1.51327762384546,1.23963339593303e-15,5.95628376696669,4.03451300081647e-09,4.13796205211945e-09,10.2089992815792
"VWA5A",1.50288195013466,6.95971058561895e-16,5.9143598050797,5.14740101787331e-09,5.14740101787331e-09,9.97355811431531
