"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TTK",-1.84978307308823,-4.9960036108132e-17,-7.32463988164019,6.43394923772025e-13,2.5735796950881e-11,19.6178191425626
"UBE2C",-1.81156801484226,-8.32667268468867e-18,-7.17331860306436,1.82219032528151e-12,3.34533539129868e-11,18.5302052831756
"TOP2A",-1.79969187650894,-1.60288449180257e-16,-7.12629231239188,2.50900154347401e-12,3.34533539129868e-11,18.1968304404576
"ZHX1-C8orf76",-1.78206310361639,-7.04991620636974e-16,-7.05648714719617,4.02058541590335e-12,3.66327118315044e-11,17.7060166144788
"ZBBX",1.7771746689061,-5.78703751585863e-16,7.03713026997164,4.57908897893805e-12,3.66327118315044e-11,17.5707702335341
"TTC25",1.75098316446794,-8.05779054591227e-16,6.93341900741388,9.14604874260006e-12,5.59575708552753e-11,16.852467892288
"WDR66",1.74837953846018,4.02455846426619e-16,6.92310935371949,9.79257489967319e-12,5.59575708552753e-11,16.7816461850748
"TPX2",-1.72591590791552,4.9960036108132e-17,-6.83415946193615,1.75909827673495e-11,8.79549138367474e-11,16.1749859533614
"VNN1",1.70183636750263,5.10008701937181e-16,6.7388110048085,3.27275099498857e-11,1.4545559977727e-10,15.5333976272646
"VNN2",1.69575306256188,-3.64291929955129e-17,6.71472276514976,3.82405739275562e-11,1.52962295710225e-10,15.3727370527032
"TTC29",1.67985689356415,1.90125692967058e-16,6.65177824203245,5.73106318065134e-11,2.08402297478231e-10,14.9556338138687
"ZWINT",-1.67612693441712,2.70616862252382e-17,-6.63700861421892,6.29887074055341e-11,2.09962358018447e-10,14.8583315900001
"VWA3B",1.66845257507474,8.06386207807819e-16,6.60662023013054,7.64599961994554e-11,2.35261526767555e-10,14.6588134041952
"TOMM40",-1.63193457894516,2.0122792321331e-16,-6.46201885781841,1.90318452381804e-10,4.66821323080075e-10,13.7219621164164
"WDR49",1.62966073641976,-4.71844785465692e-17,6.45301505737908,2.01324091048319e-10,4.66821323080075e-10,13.6643134465997
"TPPP3",1.62952288129355,3.25434124093249e-16,6.45246918842286,2.02010994315721e-10,4.66821323080075e-10,13.6608209935161
"USP19",-1.6281038426281,-7.48012762841199e-16,-6.44685017971112,2.09216476867787e-10,4.66821323080075e-10,13.6248879188391
"VNN3",1.62793900839769,-1.46757606067638e-16,6.44619748081064,2.10069595386034e-10,4.66821323080075e-10,13.6207159952227
"TSGA10",1.61541273624093,-5.3707038816242e-16,6.39659683631208,2.85905725521e-10,6.01906790570526e-10,13.3049141043717
"TNNT1",-1.60558315459663,2.38351005599213e-16,-6.35767435573633,3.63621905065147e-10,7.09498799912314e-10,13.0588070645075
"WDR12",-1.60459566512769,-2.43555176027144e-16,-6.35376416494036,3.72486869953965e-10,7.09498799912314e-10,13.0341659396341
"WDR86-AS1",1.58124788797831,7.9658502016855e-16,6.26131329210883,6.55918001528211e-10,1.14759926243617e-09,12.4559782825248
"ZNF467",-1.58099847527962,-1.06858966120171e-16,-6.26032568538545,6.59869575900799e-10,1.14759926243617e-09,12.4498475397483
"ZFP36",1.57813313630271,-7.69696806290909e-16,6.24897971922861,7.06969941258296e-10,1.14820673209704e-09,12.3794848296309
"VAX2",-1.57751062319533,2.38004060904018e-16,-6.246514735956,7.17629207560647e-10,1.14820673209704e-09,12.3642149609642
"WDR17",1.57460019177091,-4.02455846426619e-17,6.23499021592215,7.69585007726226e-10,1.18397693496342e-09,12.2929037716256
"UTP11",-1.56785587740904,-4.5102810375397e-17,-6.20828455801663,9.04519232745905e-10,1.3400284929569e-09,12.1281611958329
"ZNF204P",1.56157690683216,1.52655665885959e-16,6.18342153544273,1.05076899799949e-09,1.5010985685707e-09,11.9754211531193
"TNFAIP8L2-SCNM1",-1.55600555694933,5.20070098097847e-16,-6.16136049912985,1.19970586070277e-09,1.63797312026472e-09,11.8404076471832
"ZNF668",-1.55500758827125,7.46624984060418e-16,-6.15740881350439,1.22847984019854e-09,1.63797312026472e-09,11.8162742984372
"XPO4",-1.53882892431502,-9.0205620750794e-17,-6.09334568687646,1.80074125583248e-09,2.27649108961487e-09,11.4271943525366
"XPO5",-1.53815879453296,-4.19803081186387e-16,-6.09069215447097,1.82935748681008e-09,2.27649108961487e-09,11.4111661982598
"TRIM23",1.53704045498425,-2.692290834716e-16,6.08626383280512,1.87810514893226e-09,2.27649108961487e-09,11.3844333166383
"ZBED3-AS1",1.53572152627354,4.3229309021342e-16,6.08104123239536,1.93722769768954e-09,2.27909140904651e-09,11.3529305225379
"TRGV9",1.53092124233736,1.38430933382949e-16,6.06203340835713,2.16814429690025e-09,2.47787919645742e-09,11.2385034080111
"ZNF767P",-1.52455402984258,-8.00921828858492e-16,-6.03682097169218,2.51627611244479e-09,2.79586234716088e-09,11.0872772394576
"ZNF516",1.51941132957394,2.4008572907519e-16,6.0164572717346,2.83676298742226e-09,3.06677079721325e-09,10.9655942836257
"TUBG1",-1.51768380111992,-4.10175365894716e-16,-6.00961672702691,2.95310438284706e-09,3.1085309293127e-09,10.9248109768055
"TRIM22",1.51327762384546,1.23963339593303e-15,5.99216945860952,3.27132655665835e-09,3.35520672477779e-09,10.8210004948956
"VWA5A",1.50288195013466,6.95971058561895e-16,5.9510054067991,4.16050938608379e-09,4.16050938608379e-09,10.5772722919534
