"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TTK",-1.84978307308823,-4.9960036108132e-17,-7.57010763966874,2.9341971025178e-12,1.17367884100712e-10,17.3559685556715
"STMN1",-1.81798067797986,2.44249065417534e-16,-7.39430012349937,7.87571113348138e-12,1.27703496632812e-10,16.3895678878746
"UBE2C",-1.81156801484226,-8.32667268468867e-18,-7.35923909454488,9.57776224746093e-12,1.27703496632812e-10,16.1981329678647
"TOP2A",-1.79969187650894,-1.60288449180257e-16,-7.29464285217547,1.37194550439501e-11,1.37194550439501e-10,15.8465903778919
"TBX19",-1.78253734425826,9.15933995315754e-16,-7.20209385967053,2.28999944099783e-11,1.54826834512284e-10,15.3455845524561
"ZHX1-C8orf76",-1.78206310361639,-7.04991620636974e-16,-7.19954785115246,2.32240251768426e-11,1.54826834512284e-10,15.3318469092111
"TPX2",-1.72591590791552,4.9960036108132e-17,-6.90271059910971,1.1755310001484e-10,6.10845620650907e-10,13.7472945328635
"TROAP",-1.72454720194453,2.48412401759879e-16,-6.89558515547004,1.22169124130181e-10,6.10845620650907e-10,13.7096868016818
"SNRPB",-1.70532608290006,5.72025066203352e-16,-6.7960560705093,2.08786844685464e-10,9.27941531935394e-10,13.1865551028678
"TEDC2",-1.69108139377494,9.69276742202041e-17,-6.72292979126806,3.08749712135011e-10,1.23499884854004e-09,12.8048295700985
"ZWINT",-1.67612693441712,2.70616862252382e-17,-6.64672747827933,4.63070470165614e-10,1.68389261878405e-09,12.4094697205463
"SPAG5",-1.67052087179424,-5.6621374255883e-16,-6.61830844408352,5.38309665999546e-10,1.79436555333182e-09,12.2626661805618
"TOMM40",-1.63193457894516,2.0122792321331e-16,-6.42482105907252,1.48674062482763e-09,4.40455152333031e-09,11.2726895291551
"SLC39A4",-1.63053342411744,-5.79397640976254e-17,-6.41786325281927,1.54159303316561e-09,4.40455152333031e-09,11.2374049923874
"TACC3",-1.60930581021703,-2.41473507855972e-16,-6.31301953918175,2.65421671368286e-09,6.64466558642194e-09,10.7084341409029
"STX10",-1.60682760802109,1.2490009027033e-17,-6.30084824505573,2.82612380499838e-09,6.64466558642194e-09,10.6473590698762
"TNNT1",-1.60558315459663,2.38351005599213e-16,-6.29474165800326,2.9164498572456e-09,6.64466558642194e-09,10.6167428200349
"WDR12",-1.60459566512769,-2.43555176027144e-16,-6.28989854255902,2.99009951388987e-09,6.64466558642194e-09,10.5924737142604
"USP5",-1.60091134408306,7.79584730103977e-16,-6.27184865771305,3.2810406027126e-09,6.90745390044758e-09,10.5021227929046
"SIX2",-1.59808928240523,1.65579355781986e-16,-6.25804408820528,3.52216306009093e-09,7.04432612018186e-09,10.4331269127827
"ZNF467",-1.58099847527962,-1.06858966120171e-16,-6.17482687810294,5.39089353896776e-09,1.02683686456529e-08,10.0191413214617
"VAX2",-1.57751062319533,2.38004060904018e-16,-6.15792446643137,5.87538021132395e-09,1.06825094751345e-08,9.93546570708203
"SLC4A3",-1.56860642983037,5.01248348383498e-16,-6.11489588542649,7.31004422971867e-09,1.19659894148356e-08,9.72308362060894
"UTP11",-1.56785587740904,-4.5102810375397e-17,-6.11127687336851,7.44531671261202e-09,1.19659894148356e-08,9.7052623081207
"THBS3",-1.56767243522291,-1.16573417585641e-16,-6.11039253943059,7.47874338427227e-09,1.19659894148356e-08,9.70090851445455
"TNFAIP8L2-SCNM1",-1.55600555694933,5.20070098097847e-16,-6.05429929811712,9.92886011928e-09,1.45300986248538e-08,9.42554073319655
"SLC5A6",-1.55556150262518,-8.98239815860791e-16,-6.05217013571737,1.00359393581044e-08,1.45300986248538e-08,9.41511934431433
"ZNF668",-1.55500758827125,7.46624984060418e-16,-6.04951480734999,1.01710690373976e-08,1.45300986248538e-08,9.4021257672058
"SMAD6",-1.55214607037543,4.44089209850063e-17,-6.03580787389498,1.08975129430216e-08,1.50310523352022e-08,9.33510853535396
"SOX12",-1.54294961338239,-4.16333634234434e-17,-5.99187416575554,1.3586058091234e-08,1.81147441216454e-08,9.12094165527229
"XPO5",-1.53815879453296,-4.19803081186387e-16,-5.96905811333882,1.52288598049061e-08,1.96501416837498e-08,9.01010456601834
"SLC43A3",-1.53208743523399,-4.12170297892089e-16,-5.940212632601,1.75866858854122e-08,2.19833573567653e-08,8.87035780161982
"TM9SF4",-1.52488614127731,-6.99440505513849e-16,-5.906098045783,2.08396977985635e-08,2.47092844716568e-08,8.70563579707964
"ZNF767P",-1.52455402984258,-8.00921828858492e-16,-5.90452732202016,2.10028918009082e-08,2.47092844716568e-08,8.69806604025605
"TMEM79",-1.52276923728931,3.39832328943857e-16,-5.89609001488271,2.19011688424067e-08,2.50299072484648e-08,8.65742616922499
"STIL",-1.51740322680299,-9.71965563589805e-16,-5.87076241041274,2.48298220823607e-08,2.75886912026231e-08,8.53565308876274
"SLC6A8",-1.5129126104507,1.38777878078145e-17,-5.84961177413495,2.7566688477114e-08,2.91390317514468e-08,8.4342188459536
"SLC6A10PB",-1.51161425054146,2.26207941267376e-16,-5.84350416677514,2.84105559576606e-08,2.91390317514468e-08,8.40497155187649
"SLC6A10P",-1.51161425054146,2.26207941267376e-16,-5.84350416677514,2.84105559576606e-08,2.91390317514468e-08,8.40497155187649
"SNRPF",-1.50083790300796,-1.47278023110431e-16,-5.79294212545491,3.64397696210395e-08,3.64397696210395e-08,8.16360106663591
