"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZHX1-C8orf76",-1.78206310361639,-7.04991620636974e-16,-6.98669330905278,6.41744379950574e-12,1.14825215322062e-10,17.2468227490557
"ZBBX",1.7771746689061,-5.78703751585863e-16,6.96752788555414,7.29173275041303e-12,1.14825215322062e-10,17.1143509688251
"ADGB",1.77078881229323,3.85802501057242e-16,6.94249172292937,8.61189114915462e-12,1.14825215322062e-10,16.9418486824986
"WDR66",1.74837953846018,4.02455846426619e-16,6.85463471986794,1.53807008702604e-11,1.50890922301952e-10,16.3414159239688
"ALDH1A1",1.73640319238501,-2.48412401759879e-16,6.80768068281926,2.09163082103169e-11,1.50890922301952e-10,16.0236578497254
"AGR2",1.73331787805257,-2.09207651202803e-16,6.7955845090311,2.26336383452927e-11,1.50890922301952e-10,15.9421516711208
"ACSL5",1.72613025511731,1.07414077632484e-15,6.76740496983979,2.71888195301694e-11,1.5536468302954e-10,15.7528350863481
"ACKR4",1.71905107789973,1.27523859527745e-16,6.73965059907745,3.25501276058128e-11,1.62750638029064e-10,15.5671438440873
"ALG3",-1.71117020560544,6.18949336228525e-16,-6.70875313107179,3.97418963674908e-11,1.76630650522181e-10,15.3613212824408
"ALDH1A2",1.7045082633131,-6.89726054048379e-16,6.6826345567381,4.70190127626032e-11,1.88076051050413e-10,15.1880708208887
"AHI1",1.69327560545122,-1.10744746706359e-15,6.63859619728423,6.23528563508062e-11,2.26737659457477e-10,14.8974847232339
"ABR",1.68428658355663,1.21777588013572e-16,6.60335415731472,7.80659097776958e-11,2.5497886935699e-10,14.6663249050598
"AGBL2",1.68189207928708,3.40699690681845e-16,6.59396634892307,8.28681325410216e-11,2.5497886935699e-10,14.6049558649612
"ZWINT",-1.67612693441712,2.70616862252382e-17,-6.57136372671124,9.56491053899378e-11,2.64641680932866e-10,14.4575584294222
"ACTR2",-1.67464265714292,-4.87457296749483e-17,-6.56554452194832,9.92406303498247e-11,2.64641680932866e-10,14.4196918430876
"VWA3B",1.66845257507474,8.06386207807819e-16,6.54127590605,1.15697251431243e-10,2.89243128578107e-10,14.2621333904872
"WDR49",1.62966073641976,-4.71844785465692e-17,6.38919000122058,2.99320685524848e-10,6.93514384697351e-10,13.2880357554772
"VNN3",1.62793900839769,-1.46757606067638e-16,6.38243985548927,3.12081473113808e-10,6.93514384697351e-10,13.245332712652
"WDR12",-1.60459566512769,-2.43555176027144e-16,-6.29092077296943,5.47627231818089e-10,1.1528994354065e-09,12.6708158234354
"AFF1",1.58628333237354,-1.02348685082632e-16,6.21912609158752,8.47160754443311e-10,1.69432150888662e-09,12.2259279597652
"WDR86-AS1",1.58124788797831,7.9658502016855e-16,6.19938430713958,9.54428834209231e-10,1.74558836485845e-09,12.1044897767819
"ZNF467",-1.58099847527962,-1.06858966120171e-16,-6.1984064685717,9.60073600672146e-10,1.74558836485845e-09,12.0984848071549
"ZFP36",1.57813313630271,-7.69696806290909e-16,6.18717272234937,1.02730925876959e-09,1.78662479786016e-09,12.0295655990697
"WDR17",1.57460019177091,-4.02455846426619e-17,6.17332158550049,1.11656628237798e-09,1.8609438039633e-09,11.9447607650468
"ALDH1A3",1.56257175083063,-2.56392129749372e-16,6.12616330717395,1.48100687908578e-09,2.33213519811665e-09,11.6574550836408
"ZNF204P",1.56157690683216,1.52655665885959e-16,6.12226295712824,1.51588787877582e-09,2.33213519811665e-09,11.6337913522461
"ZNF668",-1.55500758827125,7.46624984060418e-16,-6.09650752010614,1.76721375575432e-09,2.61809445296936e-09,11.4779094202449
"AIF1L",-1.54468526721441,-5.47305256670683e-17,-6.056038194797,2.24639868787518e-09,3.20914098267883e-09,11.2343008421097
"XPO4",-1.53882892431502,-9.0205620750794e-17,-6.03307802483013,2.57240494582798e-09,3.48337521868695e-09,11.0968115104492
"XPO5",-1.53815879453296,-4.19803081186387e-16,-6.03045073780812,2.61253141401521e-09,3.48337521868695e-09,11.0811121762709
"ZBED3-AS1",1.53572152627354,4.3229309021342e-16,6.0208952704367,2.76368825037187e-09,3.56604935531854e-09,11.0240712145688
"AJUBA",-1.52785667961405,1.47104550762833e-16,-5.99006063196565,3.31198547851299e-09,4.05358187152645e-09,10.8406220312415
"ADH6",1.5269012261916,9.99200722162641e-17,5.98631471521323,3.38542708177416e-09,4.05358187152645e-09,10.8184000452421
"AK7",1.52613404770986,-1.60982338570648e-16,5.98330694250623,3.44554459079749e-09,4.05358187152645e-09,10.8005670297519
"ZNF767P",-1.52455402984258,-8.00921828858492e-16,-5.97711238057453,3.57265692559127e-09,4.08303648639002e-09,10.7638678502501
"AKR1C3",1.5221247228221,-7.54951656745106e-16,5.96758812575372,3.77706579132537e-09,4.1967397681393e-09,10.707516332085
"ZNF516",1.51941132957394,2.4008572907519e-16,5.95695009255879,4.0188745637824e-09,4.34472925814314e-09,10.6446812393391
"ADRB2",1.51380701556189,3.68281793949876e-16,5.9349780180961,4.56706386171266e-09,4.80743564390806e-09,10.5152548943774
"AIP",-1.50837817306977,4.26048085699904e-16,-5.91369389104212,5.1672955122941e-09,5.29979026901959e-09,10.3903369392945
"VWA5A",1.50288195013466,6.95971058561895e-16,5.89214559461655,5.85311211330068e-09,5.85311211330068e-09,10.2643257342218
